district,localities,facility,type,owned,rented,rentfree,total,pct
GWADAR DISTRICT,Rural,Latrine,Other,1687,1,14,1702,10
GWADAR DISTRICT,Rural,Latrine,None,5891,17,12,5920,34.79
GWADAR DISTRICT,Urban,Kitchen,Separate,15323,1347,265,16935,76.36
GWADAR DISTRICT,Urban,Kitchen,Shared,4559,238,148,4945,22.3
GWADAR DISTRICT,Urban,Kitchen,None,229,52,17,298,1.34
GWADAR DISTRICT,Urban,Bathroom,Separate,14784,1341,244,16369,73.81
GWADAR DISTRICT,Urban,Bathroom,Shared,5033,263,173,5469,24.66
GWADAR DISTRICT,Urban,Bathroom,None,294,33,13,340,1.53
GWADAR DISTRICT,Urban,Latrine,Connected With Sewerage,1463,78,108,1649,7.44
GWADAR DISTRICT,Urban,Latrine,Connected With Septic Tank,999,45,15,1059,4.78
GWADAR DISTRICT,Urban,Latrine,Connected With Open Drain,936,132,45,1113,5.02
GWADAR DISTRICT,Urban,Latrine,Pit With Slab,13542,1253,201,14996,67.62
GWADAR DISTRICT,Urban,Latrine,Other,1621,108,45,1774,8
GWADAR DISTRICT,Urban,Latrine,None,1550,21,16,1587,7.16
KECH DISTRICT,All,Kitchen,Separate,86747,1224,581,88552,64.61
KECH DISTRICT,All,Kitchen,Shared,40701,907,272,41880,30.56
KECH DISTRICT,All,Kitchen,None,6103,255,262,6620,4.83
KECH DISTRICT,All,Bathroom,Separate,89904,1252,637,91793,66.98
KECH DISTRICT,All,Bathroom,Shared,39011,905,290,40206,29.34
KECH DISTRICT,All,Bathroom,None,4636,229,188,5053,3.69
KECH DISTRICT,All,Latrine,Connected With Sewerage,21946,535,260,22741,16.59
KECH DISTRICT,All,Latrine,Connected With Septic Tank,17549,643,141,18333,13.38
KECH DISTRICT,All,Latrine,Connected With Open Drain,10233,146,65,10444,7.62
KECH DISTRICT,All,Latrine,Pit With Slab,52138,630,302,53070,38.72
KECH DISTRICT,All,Latrine,Other,20641,262,201,21104,15.4
KECH DISTRICT,All,Latrine,None,11044,170,146,11360,8.289999999999999
KECH DISTRICT,Rural,Kitchen,Separate,56533,651,310,57494,63.43
KECH DISTRICT,Rural,Kitchen,Shared,27727,450,119,28296,31.22
KECH DISTRICT,Rural,Kitchen,None,4463,216,176,4855,5.36
KECH DISTRICT,Rural,Bathroom,Separate,57561,660,344,58565,64.61
KECH DISTRICT,Rural,Bathroom,Shared,27572,457,145,28174,31.08
KECH DISTRICT,Rural,Bathroom,None,3590,200,116,3906,4.31
KECH DISTRICT,Rural,Latrine,Connected With Sewerage,10567,242,76,10885,12.01
KECH DISTRICT,Rural,Latrine,Connected With Septic Tank,10330,396,72,10798,11.91
KECH DISTRICT,Rural,Latrine,Connected With Open Drain,7633,95,44,7772,8.57
KECH DISTRICT,Rural,Latrine,Pit With Slab,35892,251,177,36320,40.07
KECH DISTRICT,Rural,Latrine,Other,15271,206,139,15616,17.23
KECH DISTRICT,Rural,Latrine,None,9030,127,97,9254,10.21
KECH DISTRICT,Urban,Kitchen,Separate,30214,573,271,31058,66.93000000000001
KECH DISTRICT,Urban,Kitchen,Shared,12974,457,153,13584,29.27
KECH DISTRICT,Urban,Kitchen,None,1640,39,86,1765,3.8
KECH DISTRICT,Urban,Bathroom,Separate,32343,592,293,33228,71.59999999999999
KECH DISTRICT,Urban,Bathroom,Shared,11439,448,145,12032,25.93
KECH DISTRICT,Urban,Bathroom,None,1046,29,72,1147,2.47
KECH DISTRICT,Urban,Latrine,Connected With Sewerage,11379,293,184,11856,25.55
KECH DISTRICT,Urban,Latrine,Connected With Septic Tank,7219,247,69,7535,16.24
KECH DISTRICT,Urban,Latrine,Connected With Open Drain,2600,51,21,2672,5.76
KECH DISTRICT,Urban,Latrine,Pit With Slab,16246,379,125,16750,36.09
KECH DISTRICT,Urban,Latrine,Other,5370,56,62,5488,11.83
KECH DISTRICT,Urban,Latrine,None,2014,43,49,2106,4.54
PANJGUR DISTRICT,All,Kitchen,Separate,19129,236,37,19402,45.91
PANJGUR DISTRICT,All,Kitchen,Shared,21459,139,104,21702,51.35
PANJGUR DISTRICT,All,Kitchen,None,1147,6,3,1156,2.74
PANJGUR DISTRICT,All,Bathroom,Separate,19305,208,49,19562,46.29
PANJGUR DISTRICT,All,Bathroom,Shared,21596,170,93,21859,51.73
PANJGUR DISTRICT,All,Bathroom,None,834,3,2,839,1.99
PANJGUR DISTRICT,All,Latrine,Connected With Sewerage,2623,51,43,2717,6.43
PANJGUR DISTRICT,All,Latrine,Connected With Septic Tank,1854,11,10,1875,4.44
PANJGUR DISTRICT,All,Latrine,Connected With Open Drain,4507,7,7,4521,10.7
PANJGUR DISTRICT,All,Latrine,Pit With Slab,15893,151,62,16106,38.11
PANJGUR DISTRICT,All,Latrine,Other,13070,153,21,13244,31.34
PANJGUR DISTRICT,All,Latrine,None,3788,8,1,3797,8.98
PANJGUR DISTRICT,Rural,Kitchen,Separate,12746,52,22,12820,41.42
PANJGUR DISTRICT,Rural,Kitchen,Shared,17004,39,30,17073,55.16
PANJGUR DISTRICT,Rural,Kitchen,None,1052,5,3,1060,3.42
PANJGUR DISTRICT,Rural,Bathroom,Separate,13905,59,35,13999,45.23
PANJGUR DISTRICT,Rural,Bathroom,Shared,16150,34,19,16203,52.35
PANJGUR DISTRICT,Rural,Bathroom,None,747,3,1,751,2.43
PANJGUR DISTRICT,Rural,Latrine,Connected With Sewerage,1497,3,1,1501,4.85
PANJGUR DISTRICT,Rural,Latrine,Connected With Septic Tank,1443,5,7,1455,4.7
PANJGUR DISTRICT,Rural,Latrine,Connected With Open Drain,4203,7,6,4216,13.62
PANJGUR DISTRICT,Rural,Latrine,Pit With Slab,10540,33,30,10603,34.26
