district,localities,facility,type,owned,rented,rentfree,total,pct
LAKKI MARWAT DISTRICT,Urban,Latrine,Connected With Open Drain,231,114,57,402,3.68
LAKKI MARWAT DISTRICT,Urban,Latrine,Pit With Slab,2111,478,77,2666,24.41
LAKKI MARWAT DISTRICT,Urban,Latrine,Other,25,10,12,47,.43
LAKKI MARWAT DISTRICT,Urban,Latrine,None,114,37,24,175,1.6
DERA ISMAIL KHAN DISTRICT,All,Kitchen,Separate,86845,8004,2288,97137,49.08
DERA ISMAIL KHAN DISTRICT,All,Kitchen,Shared,33081,3004,1088,37173,18.78
DERA ISMAIL KHAN DISTRICT,All,Kitchen,None,55374,3313,4906,63593,32.13
DERA ISMAIL KHAN DISTRICT,All,Bathroom,Separate,93990,9558,2550,106098,53.61
DERA ISMAIL KHAN DISTRICT,All,Bathroom,Shared,40794,3475,1408,45677,23.08
DERA ISMAIL KHAN DISTRICT,All,Bathroom,None,40516,1288,4324,46128,23.31
DERA ISMAIL KHAN DISTRICT,All,Latrine,Connected With Sewerage,17109,2716,513,20338,10.28
DERA ISMAIL KHAN DISTRICT,All,Latrine,Connected With Septic Tank,47073,4596,1477,53146,26.85
DERA ISMAIL KHAN DISTRICT,All,Latrine,Connected With Open Drain,20103,2857,1315,24275,12.27
DERA ISMAIL KHAN DISTRICT,All,Latrine,Pit With Slab,65152,3196,1549,69897,35.32
DERA ISMAIL KHAN DISTRICT,All,Latrine,Other,5738,388,449,6575,3.32
DERA ISMAIL KHAN DISTRICT,All,Latrine,None,20125,568,2979,23672,11.96
DERA ISMAIL KHAN DISTRICT,Rural,Kitchen,Separate,63528,3820,1646,68994,46.62
DERA ISMAIL KHAN DISTRICT,Rural,Kitchen,Shared,23499,1427,817,25743,17.39
DERA ISMAIL KHAN DISTRICT,Rural,Kitchen,None,47184,1871,4215,53270,35.99
DERA ISMAIL KHAN DISTRICT,Rural,Bathroom,Separate,67037,4482,1669,73188,49.45
DERA ISMAIL KHAN DISTRICT,Rural,Bathroom,Shared,30100,1656,1006,32762,22.14
DERA ISMAIL KHAN DISTRICT,Rural,Bathroom,None,37074,980,4003,42057,28.42
DERA ISMAIL KHAN DISTRICT,Rural,Latrine,Connected With Sewerage,9685,1426,275,11386,7.69
DERA ISMAIL KHAN DISTRICT,Rural,Latrine,Connected With Septic Tank,32801,2085,1119,36005,24.33
DERA ISMAIL KHAN DISTRICT,Rural,Latrine,Connected With Open Drain,11582,1183,860,13625,9.210000000000001
DERA ISMAIL KHAN DISTRICT,Rural,Latrine,Pit With Slab,55967,1758,1280,59005,39.87
DERA ISMAIL KHAN DISTRICT,Rural,Latrine,Other,5283,224,419,5926,4
DERA ISMAIL KHAN DISTRICT,Rural,Latrine,None,18893,442,2725,22060,14.9
DERA ISMAIL KHAN DISTRICT,Urban,Kitchen,Separate,23317,4184,642,28143,56.4
DERA ISMAIL KHAN DISTRICT,Urban,Kitchen,Shared,9582,1577,271,11430,22.91
DERA ISMAIL KHAN DISTRICT,Urban,Kitchen,None,8190,1442,691,10323,20.69
DERA ISMAIL KHAN DISTRICT,Urban,Bathroom,Separate,26953,5076,881,32910,65.95999999999999
DERA ISMAIL KHAN DISTRICT,Urban,Bathroom,Shared,10694,1819,402,12915,25.88
DERA ISMAIL KHAN DISTRICT,Urban,Bathroom,None,3442,308,321,4071,8.16
DERA ISMAIL KHAN DISTRICT,Urban,Latrine,Connected With Sewerage,7424,1290,238,8952,17.94
DERA ISMAIL KHAN DISTRICT,Urban,Latrine,Connected With Septic Tank,14272,2511,358,17141,34.35
DERA ISMAIL KHAN DISTRICT,Urban,Latrine,Connected With Open Drain,8521,1674,455,10650,21.34
DERA ISMAIL KHAN DISTRICT,Urban,Latrine,Pit With Slab,9185,1438,269,10892,21.83
DERA ISMAIL KHAN DISTRICT,Urban,Latrine,Other,455,164,30,649,1.3
DERA ISMAIL KHAN DISTRICT,Urban,Latrine,None,1232,126,254,1612,3.23
TANK DISTRICT,All,Kitchen,Separate,20614,817,612,22043,51.73
TANK DISTRICT,All,Kitchen,Shared,15408,546,255,16209,38.04
TANK DISTRICT,All,Kitchen,None,3805,277,281,4363,10.24
TANK DISTRICT,All,Bathroom,Separate,22115,968,659,23742,55.71
TANK DISTRICT,All,Bathroom,Shared,15558,573,293,16424,38.54
TANK DISTRICT,All,Bathroom,None,2154,99,196,2449,5.75
TANK DISTRICT,All,Latrine,Connected With Sewerage,3447,380,170,3997,9.380000000000001
TANK DISTRICT,All,Latrine,Connected With Septic Tank,6045,302,135,6482,15.21
TANK DISTRICT,All,Latrine,Connected With Open Drain,3009,256,71,3336,7.83
TANK DISTRICT,All,Latrine,Pit With Slab,20639,478,401,21518,50.49
TANK DISTRICT,All,Latrine,Other,1995,121,60,2176,5.11
TANK DISTRICT,All,Latrine,None,4692,103,311,5106,11.98
TANK DISTRICT,Rural,Kitchen,Separate,17640,266,488,18394,49.85
TANK DISTRICT,Rural,Kitchen,Shared,14272,357,236,14865,40.28
TANK DISTRICT,Rural,Kitchen,None,3262,115,264,3641,9.869999999999999
TANK DISTRICT,Rural,Bathroom,Separate,18585,291,523,19399,52.57
TANK DISTRICT,Rural,Bathroom,Shared,14505,364,273,15142,41.04
TANK DISTRICT,Rural,Bathroom,None,2084,83,192,2359,6.39
TANK DISTRICT,Rural,Latrine,Connected With Sewerage,1832,58,72,1962,5.32
TANK DISTRICT,Rural,Latrine,Connected With Septic Tank,4885,101,117,5103,13.83
TANK DISTRICT,Rural,Latrine,Connected With Open Drain,2159,60,55,2274,6.16
TANK DISTRICT,Rural,Latrine,Pit With Slab,19974,362,385,20721,56.15
TANK DISTRICT,Rural,Latrine,Other,1637,60,50,1747,4.73
TANK DISTRICT,Rural,Latrine,None,4687,97,309,5093,13.8
TANK DISTRICT,Urban,Kitchen,Separate,2974,551,124,3649,63.85
TANK DISTRICT,Urban,Kitchen,Shared,1136,189,19,1344,23.52
TANK DISTRICT,Urban,Kitchen,None,543,162,17,722,12.63
TANK DISTRICT,Urban,Bathroom,Separate,3530,677,136,4343,75.98999999999999
TANK DISTRICT,Urban,Bathroom,Shared,1053,209,20,1282,22.43
TANK DISTRICT,Urban,Bathroom,None,70,16,4,90,1.57
TANK DISTRICT,Urban,Latrine,Connected With Sewerage,1615,322,98,2035,35.61
TANK DISTRICT,Urban,Latrine,Connected With Septic Tank,1160,201,18,1379,24.13
TANK DISTRICT,Urban,Latrine,Connected With Open Drain,850,196,16,1062,18.58
TANK DISTRICT,Urban,Latrine,Pit With Slab,665,116,16,797,13.95
TANK DISTRICT,Urban,Latrine,Other,358,61,10,429,7.51
TANK DISTRICT,Urban,Latrine,None,5,6,2,13,.23
ABBOTTABAD DISTRICT,All,Kitchen,Separate,125415,18457,4430,148302,69.26000000000001
ABBOTTABAD DISTRICT,All,Kitchen,Shared,33585,4656,1251,39492,18.44
ABBOTTABAD DISTRICT,All,Kitchen,None,22852,1821,1666,26339,12.3
ABBOTTABAD DISTRICT,All,Bathroom,Separate,128432,19841,4755,153028,71.45999999999999
ABBOTTABAD DISTRICT,All,Bathroom,Shared,34266,4438,1274,39978,18.67
ABBOTTABAD DISTRICT,All,Bathroom,None,19154,655,1318,21127,9.869999999999999
ABBOTTABAD DISTRICT,All,Latrine,Connected With Sewerage,15418,6149,734,22301,10.41
ABBOTTABAD DISTRICT,All,Latrine,Connected With Septic Tank,66620,8671,2371,77662,36.27
ABBOTTABAD DISTRICT,All,Latrine,Connected With Open Drain,5141,1377,376,6894,3.22
ABBOTTABAD DISTRICT,All,Latrine,Pit With Slab,79975,8211,2629,90815,42.41
ABBOTTABAD DISTRICT,All,Latrine,Other,1105,170,173,1448,.68
ABBOTTABAD DISTRICT,All,Latrine,None,13593,356,1064,15013,7.01
ABBOTTABAD DISTRICT,Rural,Kitchen,Separate,104396,5523,3001,112920,66.48999999999999
ABBOTTABAD DISTRICT,Rural,Kitchen,Shared,29536,1772,995,32303,19.02
ABBOTTABAD DISTRICT,Rural,Kitchen,None,22414,763,1425,24602,14.49
ABBOTTABAD DISTRICT,Rural,Bathroom,Separate,106045,5695,3156,114896,67.66
ABBOTTABAD DISTRICT,Rural,Bathroom,Shared,31374,1925,1048,34347,20.22
ABBOTTABAD DISTRICT,Rural,Bathroom,None,18927,438,1217,20582,12.12
ABBOTTABAD DISTRICT,Rural,Latrine,Connected With Sewerage,8960,1103,316,10379,6.11
ABBOTTABAD DISTRICT,Rural,Latrine,Connected With Septic Tank,58180,3010,1676,62866,37.02
ABBOTTABAD DISTRICT,Rural,Latrine,Connected With Open Drain,3195,235,256,3686,2.17
ABBOTTABAD DISTRICT,Rural,Latrine,Pit With Slab,71613,3374,2021,77008,45.35
ABBOTTABAD DISTRICT,Rural,Latrine,Other,1019,75,152,1246,.73
ABBOTTABAD DISTRICT,Rural,Latrine,None,13379,261,1000,14640,8.619999999999999
ABBOTTABAD DISTRICT,Urban,Kitchen,Separate,21019,12934,1429,35382,79.84999999999999
ABBOTTABAD DISTRICT,Urban,Kitchen,Shared,4049,2884,256,7189,16.23
ABBOTTABAD DISTRICT,Urban,Kitchen,None,438,1058,241,1737,3.92
ABBOTTABAD DISTRICT,Urban,Bathroom,Separate,22387,14146,1599,38132,86.06
ABBOTTABAD DISTRICT,Urban,Bathroom,Shared,2892,2513,226,5631,12.71
ABBOTTABAD DISTRICT,Urban,Bathroom,None,227,217,101,545,1.23
ABBOTTABAD DISTRICT,Urban,Latrine,Connected With Sewerage,6458,5046,418,11922,26.91
ABBOTTABAD DISTRICT,Urban,Latrine,Connected With Septic Tank,8440,5661,695,14796,33.39
ABBOTTABAD DISTRICT,Urban,Latrine,Connected With Open Drain,1946,1142,120,3208,7.24
ABBOTTABAD DISTRICT,Urban,Latrine,Pit With Slab,8362,4837,608,13807,31.16
ABBOTTABAD DISTRICT,Urban,Latrine,Other,86,95,21,202,.46
ABBOTTABAD DISTRICT,Urban,Latrine,None,214,95,64,373,.84
BATAGRAM DISTRICT,All,Kitchen,Separate,37319,2075,5986,45380,65.95
BATAGRAM DISTRICT,All,Kitchen,Shared,11875,768,2134,14777,21.48
BATAGRAM DISTRICT,All,Kitchen,None,5775,782,2093,8650,12.57
BATAGRAM DISTRICT,All,Bathroom,Separate,38980,2340,6428,47748,69.39
BATAGRAM DISTRICT,All,Bathroom,Shared,10336,695,1921,12952,18.82
BATAGRAM DISTRICT,All,Bathroom,None,5653,590,1864,8107,11.78
BATAGRAM DISTRICT,All,Latrine,Connected With Sewerage,5069,198,661,5928,8.619999999999999
BATAGRAM DISTRICT,All,Latrine,Connected With Septic Tank,9656,508,840,11004,15.99
BATAGRAM DISTRICT,All,Latrine,Connected With Open Drain,6833,587,1271,8691,12.63
BATAGRAM DISTRICT,All,Latrine,Pit With Slab,20074,839,2488,23401,34.01
BATAGRAM DISTRICT,All,Latrine,Other,1912,113,439,2464,3.58
BATAGRAM DISTRICT,All,Latrine,None,11425,1380,4514,17319,25.17
BATAGRAM DISTRICT,Rural,Kitchen,Separate,37319,2075,5986,45380,65.95
BATAGRAM DISTRICT,Rural,Kitchen,Shared,11875,768,2134,14777,21.48
BATAGRAM DISTRICT,Rural,Kitchen,None,5775,782,2093,8650,12.57
BATAGRAM DISTRICT,Rural,Bathroom,Separate,38980,2340,6428,47748,69.39
BATAGRAM DISTRICT,Rural,Bathroom,Shared,10336,695,1921,12952,18.82
BATAGRAM DISTRICT,Rural,Bathroom,None,5653,590,1864,8107,11.78
BATAGRAM DISTRICT,Rural,Latrine,Connected With Sewerage,5069,198,661,5928,8.619999999999999
BATAGRAM DISTRICT,Rural,Latrine,Connected With Septic Tank,9656,508,840,11004,15.99
BATAGRAM DISTRICT,Rural,Latrine,Connected With Open Drain,6833,587,1271,8691,12.63
BATAGRAM DISTRICT,Rural,Latrine,Pit With Slab,20074,839,2488,23401,34.01
BATAGRAM DISTRICT,Rural,Latrine,Other,1912,113,439,2464,3.58
BATAGRAM DISTRICT,Rural,Latrine,None,11425,1380,4514,17319,25.17
BATAGRAM DISTRICT,Urban,Kitchen,Separate,,,,,
BATAGRAM DISTRICT,Urban,Kitchen,Shared,,,,,
BATAGRAM DISTRICT,Urban,Kitchen,None,,,,,
BATAGRAM DISTRICT,Urban,Bathroom,Separate,,,,,
BATAGRAM DISTRICT,Urban,Bathroom,Shared,,,,,
BATAGRAM DISTRICT,Urban,Bathroom,None,,,,,
BATAGRAM DISTRICT,Urban,Latrine,Connected With Sewerage,,,,,
BATAGRAM DISTRICT,Urban,Latrine,Connected With Septic Tank,,,,,
BATAGRAM DISTRICT,Urban,Latrine,Connected With Open Drain,,,,,
BATAGRAM DISTRICT,Urban,Latrine,Pit With Slab,,,,,
BATAGRAM DISTRICT,Urban,Latrine,Other,,,,,
BATAGRAM DISTRICT,Urban,Latrine,None,,,,,
HARIPUR DISTRICT,All,Kitchen,Separate,94905,12025,3535,110465,68.26000000000001
HARIPUR DISTRICT,All,Kitchen,Shared,23449,3794,1052,28295,17.48
HARIPUR DISTRICT,All,Kitchen,None,18635,2064,2380,23079,14.26
HARIPUR DISTRICT,All,Bathroom,Separate,97676,12825,4008,114509,70.75
HARIPUR DISTRICT,All,Bathroom,Shared,27811,4342,1217,33370,20.62
HARIPUR DISTRICT,All,Bathroom,None,11502,716,1742,13960,8.630000000000001
HARIPUR DISTRICT,All,Latrine,Connected With Sewerage,13768,6092,951,20811,12.86
HARIPUR DISTRICT,All,Latrine,Connected With Septic Tank,42191,4660,1344,48195,29.78
HARIPUR DISTRICT,All,Latrine,Connected With Open Drain,3956,1062,397,5415,3.35
HARIPUR DISTRICT,All,Latrine,Pit With Slab,64718,5477,2184,72379,44.72
HARIPUR DISTRICT,All,Latrine,Other,814,68,238,1120,.6899999999999999
HARIPUR DISTRICT,All,Latrine,None,11542,524,1853,13919,8.6
HARIPUR DISTRICT,Rural,Kitchen,Separate,83388,7173,3015,93576,66.48999999999999
HARIPUR DISTRICT,Rural,Kitchen,Shared,21101,2854,928,24883,17.68
HARIPUR DISTRICT,Rural,Kitchen,None,18409,1591,2268,22268,15.82
HARIPUR DISTRICT,Rural,Bathroom,Separate,86399,7814,3413,97626,69.37
HARIPUR DISTRICT,Rural,Bathroom,Shared,25071,3177,1122,29370,20.87
HARIPUR DISTRICT,Rural,Bathroom,None,11428,627,1676,13731,9.76
HARIPUR DISTRICT,Rural,Latrine,Connected With Sewerage,9496,3552,686,13734,9.76
HARIPUR DISTRICT,Rural,Latrine,Connected With Septic Tank,35846,2687,1074,39607,28.14
HARIPUR DISTRICT,Rural,Latrine,Connected With Open Drain,3112,513,341,3966,2.82
HARIPUR DISTRICT,Rural,Latrine,Pit With Slab,62120,4324,2071,68515,48.69
HARIPUR DISTRICT,Rural,Latrine,Other,794,60,231,1085,.77
HARIPUR DISTRICT,Rural,Latrine,None,11530,482,1808,13820,9.82
HARIPUR DISTRICT,Urban,Kitchen,Separate,11517,4852,520,16889,80
HARIPUR DISTRICT,Urban,Kitchen,Shared,2348,940,124,3412,16.16
HARIPUR DISTRICT,Urban,Kitchen,None,226,473,112,811,3.84
HARIPUR DISTRICT,Urban,Bathroom,Separate,11277,5011,595,16883,79.97
HARIPUR DISTRICT,Urban,Bathroom,Shared,2740,1165,95,4000,18.95
HARIPUR DISTRICT,Urban,Bathroom,None,74,89,66,229,1.08
HARIPUR DISTRICT,Urban,Latrine,Connected With Sewerage,4272,2540,265,7077,33.52
HARIPUR DISTRICT,Urban,Latrine,Connected With Septic Tank,6345,1973,270,8588,40.68
HARIPUR DISTRICT,Urban,Latrine,Connected With Open Drain,844,549,56,1449,6.86
HARIPUR DISTRICT,Urban,Latrine,Pit With Slab,2598,1153,113,3864,18.3
HARIPUR DISTRICT,Urban,Latrine,Other,20,8,7,35,.17
HARIPUR DISTRICT,Urban,Latrine,None,12,42,45,99,.47
MANSEHRA DISTRICT,All,Kitchen,Separate,137927,14836,7308,160071,68.05
MANSEHRA DISTRICT,All,Kitchen,Shared,40860,4145,2812,47817,20.33
MANSEHRA DISTRICT,All,Kitchen,None,22567,1428,3347,27342,11.62
MANSEHRA DISTRICT,All,Bathroom,Separate,137030,14726,7294,159050,67.61
MANSEHRA DISTRICT,All,Bathroom,Shared,44469,4604,2961,52034,22.12
MANSEHRA DISTRICT,All,Bathroom,None,19855,1079,3212,24146,10.26
MANSEHRA DISTRICT,All,Latrine,Connected With Sewerage,15747,4135,833,20715,8.81
MANSEHRA DISTRICT,All,Latrine,Connected With Septic Tank,83176,7669,3874,94719,40.27
MANSEHRA DISTRICT,All,Latrine,Connected With Open Drain,4565,720,669,5954,2.53
MANSEHRA DISTRICT,All,Latrine,Pit With Slab,71733,6801,3834,82368,35.02
MANSEHRA DISTRICT,All,Latrine,Other,2159,248,186,2593,1.1
MANSEHRA DISTRICT,All,Latrine,None,23974,836,4071,28881,12.28
MANSEHRA DISTRICT,Rural,Kitchen,Separate,127269,9128,6806,143203,66.94
MANSEHRA DISTRICT,Rural,Kitchen,Shared,38648,2888,2690,44226,20.67
MANSEHRA DISTRICT,Rural,Kitchen,None,22300,951,3243,26494,12.38
MANSEHRA DISTRICT,Rural,Bathroom,Separate,126375,8881,6748,142004,66.38
MANSEHRA DISTRICT,Rural,Bathroom,Shared,42251,3204,2832,48287,22.57
MANSEHRA DISTRICT,Rural,Bathroom,None,19591,882,3159,23632,11.05
MANSEHRA DISTRICT,Rural,Latrine,Connected With Sewerage,11732,2016,646,14394,6.73
MANSEHRA DISTRICT,Rural,Latrine,Connected With Septic Tank,78036,4711,3609,86356,40.37
MANSEHRA DISTRICT,Rural,Latrine,Connected With Open Drain,4163,441,631,5235,2.45
MANSEHRA DISTRICT,Rural,Latrine,Pit With Slab,68404,4846,3650,76900,35.95
MANSEHRA DISTRICT,Rural,Latrine,Other,1991,151,171,2313,1.08
MANSEHRA DISTRICT,Rural,Latrine,None,23891,802,4032,28725,13.43
MANSEHRA DISTRICT,Urban,Kitchen,Separate,10658,5708,502,16868,79.17
MANSEHRA DISTRICT,Urban,Kitchen,Shared,2212,1257,122,3591,16.85
MANSEHRA DISTRICT,Urban,Kitchen,None,267,477,104,848,3.98
MANSEHRA DISTRICT,Urban,Bathroom,Separate,10655,5845,546,17046,80
MANSEHRA DISTRICT,Urban,Bathroom,Shared,2218,1400,129,3747,17.59
MANSEHRA DISTRICT,Urban,Bathroom,None,264,197,53,514,2.41
MANSEHRA DISTRICT,Urban,Latrine,Connected With Sewerage,4015,2119,187,6321,29.67
MANSEHRA DISTRICT,Urban,Latrine,Connected With Septic Tank,5140,2958,265,8363,39.25
MANSEHRA DISTRICT,Urban,Latrine,Connected With Open Drain,402,279,38,719,3.37
MANSEHRA DISTRICT,Urban,Latrine,Pit With Slab,3329,1955,184,5468,25.66
MANSEHRA DISTRICT,Urban,Latrine,Other,168,97,15,280,1.31
MANSEHRA DISTRICT,Urban,Latrine,None,83,34,39,156,.73
TORGHAR DISTRICT,All,Kitchen,Separate,10155,1019,602,11776,44.81
TORGHAR DISTRICT,All,Kitchen,Shared,4754,625,314,5693,21.66
TORGHAR DISTRICT,All,Kitchen,None,6634,1220,958,8812,33.53
TORGHAR DISTRICT,All,Bathroom,Separate,12428,1472,819,14719,56.01
TORGHAR DISTRICT,All,Bathroom,Shared,5200,620,452,6272,23.87
TORGHAR DISTRICT,All,Bathroom,None,3915,772,603,5290,20.13
TORGHAR DISTRICT,All,Latrine,Connected With Sewerage,418,20,20,458,1.74
TORGHAR DISTRICT,All,Latrine,Connected With Septic Tank,1285,122,41,1448,5.51
TORGHAR DISTRICT,All,Latrine,Connected With Open Drain,799,136,63,998,3.8
TORGHAR DISTRICT,All,Latrine,Pit With Slab,6847,400,343,7590,28.88
TORGHAR DISTRICT,All,Latrine,Other,619,140,36,795,3.02
TORGHAR DISTRICT,All,Latrine,None,11575,2046,1371,14992,57.05
TORGHAR DISTRICT,Rural,Kitchen,Separate,10155,1019,602,11776,44.81
TORGHAR DISTRICT,Rural,Kitchen,Shared,4754,625,314,5693,21.66
TORGHAR DISTRICT,Rural,Kitchen,None,6634,1220,958,8812,33.53
TORGHAR DISTRICT,Rural,Bathroom,Separate,12428,1472,819,14719,56.01
TORGHAR DISTRICT,Rural,Bathroom,Shared,5200,620,452,6272,23.87
TORGHAR DISTRICT,Rural,Bathroom,None,3915,772,603,5290,20.13
TORGHAR DISTRICT,Rural,Latrine,Connected With Sewerage,418,20,20,458,1.74
TORGHAR DISTRICT,Rural,Latrine,Connected With Septic Tank,1285,122,41,1448,5.51
TORGHAR DISTRICT,Rural,Latrine,Connected With Open Drain,799,136,63,998,3.8
TORGHAR DISTRICT,Rural,Latrine,Pit With Slab,6847,400,343,7590,28.88
TORGHAR DISTRICT,Rural,Latrine,Other,619,140,36,795,3.02
TORGHAR DISTRICT,Rural,Latrine,None,11575,2046,1371,14992,57.05
TORGHAR DISTRICT,Urban,Kitchen,Separate,,,,,
TORGHAR DISTRICT,Urban,Kitchen,Shared,,,,,
TORGHAR DISTRICT,Urban,Kitchen,None,,,,,
TORGHAR DISTRICT,Urban,Bathroom,Separate,,,,,
TORGHAR DISTRICT,Urban,Bathroom,Shared,,,,,
TORGHAR DISTRICT,Urban,Bathroom,None,,,,,
TORGHAR DISTRICT,Urban,Latrine,Connected With Sewerage,,,,,
TORGHAR DISTRICT,Urban,Latrine,Connected With Septic Tank,,,,,
TORGHAR DISTRICT,Urban,Latrine,Connected With Open Drain,,,,,
TORGHAR DISTRICT,Urban,Latrine,Pit With Slab,,,,,
TORGHAR DISTRICT,Urban,Latrine,Other,,,,,
TORGHAR DISTRICT,Urban,Latrine,None,,,,,
KOHISTAN DISTRICT,All,Kitchen,Separate,30772,455,678,31905,32.09
KOHISTAN DISTRICT,All,Kitchen,Shared,40865,883,616,42364,42.61
KOHISTAN DISTRICT,All,Kitchen,None,23973,119,1052,25144,25.29
KOHISTAN DISTRICT,All,Bathroom,Separate,34197,463,782,35442,35.65
KOHISTAN DISTRICT,All,Bathroom,Shared,37296,783,674,38753,38.98
KOHISTAN DISTRICT,All,Bathroom,None,24117,211,890,25218,25.37
KOHISTAN DISTRICT,All,Latrine,Connected With Sewerage,3299,36,63,3398,3.42
KOHISTAN DISTRICT,All,Latrine,Connected With Septic Tank,5259,38,201,5498,5.53
KOHISTAN DISTRICT,All,Latrine,Connected With Open Drain,10178,238,251,10667,10.73
KOHISTAN DISTRICT,All,Latrine,Pit With Slab,22712,695,534,23941,24.08
KOHISTAN DISTRICT,All,Latrine,Other,23170,316,286,23772,23.91
KOHISTAN DISTRICT,All,Latrine,None,30992,134,1011,32137,32.33
KOHISTAN DISTRICT,Rural,Kitchen,Separate,30772,455,678,31905,32.09
KOHISTAN DISTRICT,Rural,Kitchen,Shared,40865,883,616,42364,42.61
KOHISTAN DISTRICT,Rural,Kitchen,None,23973,119,1052,25144,25.29
KOHISTAN DISTRICT,Rural,Bathroom,Separate,34197,463,782,35442,35.65
KOHISTAN DISTRICT,Rural,Bathroom,Shared,37296,783,674,38753,38.98
KOHISTAN DISTRICT,Rural,Bathroom,None,24117,211,890,25218,25.37
KOHISTAN DISTRICT,Rural,Latrine,Connected With Sewerage,3299,36,63,3398,3.42
KOHISTAN DISTRICT,Rural,Latrine,Connected With Septic Tank,5259,38,201,5498,5.53
KOHISTAN DISTRICT,Rural,Latrine,Connected With Open Drain,10178,238,251,10667,10.73
KOHISTAN DISTRICT,Rural,Latrine,Pit With Slab,22712,695,534,23941,24.08
KOHISTAN DISTRICT,Rural,Latrine,Other,23170,316,286,23772,23.91
KOHISTAN DISTRICT,Rural,Latrine,None,30992,134,1011,32137,32.33
HANGU DISTRICT,All,Kitchen,Separate,22805,3860,1370,28035,59.73
HANGU DISTRICT,All,Kitchen,Shared,10320,1678,604,12602,26.85
HANGU DISTRICT,All,Kitchen,None,3622,1910,771,6303,13.43
HANGU DISTRICT,All,Bathroom,Separate,24677,4704,1565,30946,65.93000000000001
HANGU DISTRICT,All,Bathroom,Shared,10096,1959,690,12745,27.15
HANGU DISTRICT,All,Bathroom,None,1974,785,490,3249,6.92
HANGU DISTRICT,All,Latrine,Connected With Sewerage,3233,642,90,3965,8.449999999999999
HANGU DISTRICT,All,Latrine,Connected With Septic Tank,13680,2466,711,16857,35.91
HANGU DISTRICT,All,Latrine,Connected With Open Drain,2626,1046,202,3874,8.25
HANGU DISTRICT,All,Latrine,Pit With Slab,12678,2505,1019,16202,34.52
HANGU DISTRICT,All,Latrine,Other,1832,274,258,2364,5.04
HANGU DISTRICT,All,Latrine,None,2698,515,465,3678,7.84
HANGU DISTRICT,Rural,Kitchen,Separate,19188,2407,1083,22678,61.16
HANGU DISTRICT,Rural,Kitchen,Shared,8618,1005,437,10060,27.13
HANGU DISTRICT,Rural,Kitchen,None,2935,870,538,4343,11.71
HANGU DISTRICT,Rural,Bathroom,Separate,20581,2618,1216,24415,65.84
HANGU DISTRICT,Rural,Bathroom,Shared,8416,1177,483,10076,27.17
HANGU DISTRICT,Rural,Bathroom,None,1744,487,359,2590,6.98
HANGU DISTRICT,Rural,Latrine,Connected With Sewerage,2683,390,75,3148,8.49
HANGU DISTRICT,Rural,Latrine,Connected With Septic Tank,11419,1334,628,13381,36.09
HANGU DISTRICT,Rural,Latrine,Connected With Open Drain,1336,248,89,1673,4.51
HANGU DISTRICT,Rural,Latrine,Pit With Slab,10844,1661,653,13158,35.48
HANGU DISTRICT,Rural,Latrine,Other,1803,218,189,2210,5.96
HANGU DISTRICT,Rural,Latrine,None,2656,431,424,3511,9.470000000000001
HANGU DISTRICT,Urban,Kitchen,Separate,3617,1453,287,5357,54.34
HANGU DISTRICT,Urban,Kitchen,Shared,1702,673,167,2542,25.78
HANGU DISTRICT,Urban,Kitchen,None,687,1040,233,1960,19.88
HANGU DISTRICT,Urban,Bathroom,Separate,4096,2086,349,6531,66.23999999999999
HANGU DISTRICT,Urban,Bathroom,Shared,1680,782,207,2669,27.07
HANGU DISTRICT,Urban,Bathroom,None,230,298,131,659,6.68
HANGU DISTRICT,Urban,Latrine,Connected With Sewerage,550,252,15,817,8.289999999999999
HANGU DISTRICT,Urban,Latrine,Connected With Septic Tank,2261,1132,83,3476,35.26
HANGU DISTRICT,Urban,Latrine,Connected With Open Drain,1290,798,113,2201,22.32
HANGU DISTRICT,Urban,Latrine,Pit With Slab,1834,844,366,3044,30.88
HANGU DISTRICT,Urban,Latrine,Other,29,56,69,154,1.56
HANGU DISTRICT,Urban,Latrine,None,42,84,41,167,1.69
KARAK DISTRICT,All,Kitchen,Separate,46862,1243,331,48436,67.08
KARAK DISTRICT,All,Kitchen,Shared,18114,564,148,18826,26.07
KARAK DISTRICT,All,Kitchen,None,4583,217,145,4945,6.85
KARAK DISTRICT,All,Bathroom,Separate,47454,1364,327,49145,68.06
KARAK DISTRICT,All,Bathroom,Shared,15667,475,146,16288,22.56
KARAK DISTRICT,All,Bathroom,None,6438,185,151,6774,9.380000000000001
KARAK DISTRICT,All,Latrine,Connected With Sewerage,4841,93,16,4950,6.86
KARAK DISTRICT,All,Latrine,Connected With Septic Tank,14755,335,116,15206,21.06
KARAK DISTRICT,All,Latrine,Connected With Open Drain,4076,76,61,4213,5.83
KARAK DISTRICT,All,Latrine,Pit With Slab,27642,1183,220,29045,40.22
KARAK DISTRICT,All,Latrine,Other,6379,172,49,6600,9.140000000000001
KARAK DISTRICT,All,Latrine,None,11866,165,162,12193,16.89
KARAK DISTRICT,Rural,Kitchen,Separate,43825,774,309,44908,67.11
KARAK DISTRICT,Rural,Kitchen,Shared,16873,287,133,17293,25.84
KARAK DISTRICT,Rural,Kitchen,None,4437,147,135,4719,7.05
KARAK DISTRICT,Rural,Bathroom,Separate,44222,810,312,45344,67.76000000000001
