district,age,rural,urban,total
ABBOTTABAD DISTRICT,<1,26861,6434,33295
ABBOTTABAD DISTRICT,1,25693,6643,32336
ABBOTTABAD DISTRICT,2,25744,6702,32446
ABBOTTABAD DISTRICT,3,27295,7121,34416
ABBOTTABAD DISTRICT,4,25885,6716,32601
ABBOTTABAD DISTRICT,5,26232,6712,32944
ABBOTTABAD DISTRICT,6,25304,6760,32064
ABBOTTABAD DISTRICT,7,28144,7317,35461
ABBOTTABAD DISTRICT,8,24880,6198,31078
ABBOTTABAD DISTRICT,9,27492,7381,34873
ABBOTTABAD DISTRICT,10,21695,5771,27466
ABBOTTABAD DISTRICT,11,25504,6984,32488
ABBOTTABAD DISTRICT,12,21620,6062,27682
ABBOTTABAD DISTRICT,13,22905,6756,29661
ABBOTTABAD DISTRICT,14,21194,6116,27310
ABBOTTABAD DISTRICT,15,21512,6171,27683
ABBOTTABAD DISTRICT,16,21691,6267,27958
ABBOTTABAD DISTRICT,17,22544,6704,29248
ABBOTTABAD DISTRICT,18,19343,5601,24944
ABBOTTABAD DISTRICT,19,21433,6917,28350
ABBOTTABAD DISTRICT,20,17768,5970,23738
ABBOTTABAD DISTRICT,21,20574,7216,27790
ABBOTTABAD DISTRICT,22,19306,6239,25545
ABBOTTABAD DISTRICT,23,19959,6168,26127
ABBOTTABAD DISTRICT,24,19557,5870,25427
ABBOTTABAD DISTRICT,25,16269,4739,21008
ABBOTTABAD DISTRICT,26,17902,5334,23236
ABBOTTABAD DISTRICT,27,16832,5143,21975
ABBOTTABAD DISTRICT,28,16754,5003,21757
ABBOTTABAD DISTRICT,29,15859,4928,20787
ABBOTTABAD DISTRICT,30,15218,4541,19759
ABBOTTABAD DISTRICT,31,15907,4764,20671
ABBOTTABAD DISTRICT,32,15484,4805,20289
ABBOTTABAD DISTRICT,33,14641,4452,19093
ABBOTTABAD DISTRICT,34,14226,4049,18275
ABBOTTABAD DISTRICT,35,12284,3773,16057
ABBOTTABAD DISTRICT,36,13173,3895,17068
ABBOTTABAD DISTRICT,37,11645,3327,14972
ABBOTTABAD DISTRICT,38,13227,4201,17428
ABBOTTABAD DISTRICT,39,12029,3469,15498
ABBOTTABAD DISTRICT,40,11100,3680,14780
ABBOTTABAD DISTRICT,41,10361,3028,13389
ABBOTTABAD DISTRICT,42,9750,3139,12889
ABBOTTABAD DISTRICT,43,9703,2989,12692
ABBOTTABAD DISTRICT,44,9333,2769,12102
ABBOTTABAD DISTRICT,45,8501,2807,11308
ABBOTTABAD DISTRICT,46,8790,2458,11248
ABBOTTABAD DISTRICT,47,7642,2068,9710
ABBOTTABAD DISTRICT,48,9541,2578,12119
ABBOTTABAD DISTRICT,49,8684,2328,11012
ABBOTTABAD DISTRICT,50,8396,2640,11036
ABBOTTABAD DISTRICT,51,7932,2135,10067
ABBOTTABAD DISTRICT,52,7969,2309,10278
ABBOTTABAD DISTRICT,53,7990,2155,10145
ABBOTTABAD DISTRICT,54,7532,2074,9606
ABBOTTABAD DISTRICT,55,6861,2015,8876
ABBOTTABAD DISTRICT,56,6209,1681,7890
ABBOTTABAD DISTRICT,57,5044,1336,6380
ABBOTTABAD DISTRICT,58,5886,1581,7467
ABBOTTABAD DISTRICT,59,5137,1312,6449
ABBOTTABAD DISTRICT,60,5449,1656,7105
ABBOTTABAD DISTRICT,61,5393,1294,6687
ABBOTTABAD DISTRICT,62,5390,1384,6774
ABBOTTABAD DISTRICT,63,5382,1287,6669
ABBOTTABAD DISTRICT,64,4719,1189,5908
ABBOTTABAD DISTRICT,65,4354,1154,5508
ABBOTTABAD DISTRICT,66,3781,795,4576
ABBOTTABAD DISTRICT,67,3606,697,4303
ABBOTTABAD DISTRICT,68,4004,872,4876
ABBOTTABAD DISTRICT,69,3240,671,3911
ABBOTTABAD DISTRICT,70,3063,785,3848
ABBOTTABAD DISTRICT,71,2943,620,3563
ABBOTTABAD DISTRICT,72,2885,616,3501
ABBOTTABAD DISTRICT,73,2757,573,3330
ABBOTTABAD DISTRICT,74,2178,477,2655
ABBOTTABAD DISTRICT,>=75,16014,3614,19628
ATTOCK DISTRICT,<1,31301,10381,41682
ATTOCK DISTRICT,1,32971,12170,45141
ATTOCK DISTRICT,2,32710,11100,43810
ATTOCK DISTRICT,3,34761,12251,47012
ATTOCK DISTRICT,4,33232,11148,44380
ATTOCK DISTRICT,5,31933,11383,43316
ATTOCK DISTRICT,6,31595,11172,42767
ATTOCK DISTRICT,7,33588,11981,45569
ATTOCK DISTRICT,8,29491,10482,39973
ATTOCK DISTRICT,9,33892,12299,46191
ATTOCK DISTRICT,10,26913,9579,36492
ATTOCK DISTRICT,11,32783,12007,44790
ATTOCK DISTRICT,12,26332,9470,35802
ATTOCK DISTRICT,13,29872,10896,40768
ATTOCK DISTRICT,14,26341,9728,36069
ATTOCK DISTRICT,15,27933,9849,37782
ATTOCK DISTRICT,16,28789,9941,38730
ATTOCK DISTRICT,17,29456,10510,39966
ATTOCK DISTRICT,18,23576,8503,32079
ATTOCK DISTRICT,19,28683,10534,39217
ATTOCK DISTRICT,20,22732,8250,30982
ATTOCK DISTRICT,21,28610,10905,39515
ATTOCK DISTRICT,22,23421,8832,32253
ATTOCK DISTRICT,23,25137,9446,34583
ATTOCK DISTRICT,24,25026,8914,33940
ATTOCK DISTRICT,25,19740,7150,26890
ATTOCK DISTRICT,26,23976,8680,32656
ATTOCK DISTRICT,27,23350,8782,32132
ATTOCK DISTRICT,28,21408,8007,29415
ATTOCK DISTRICT,29,23177,8432,31609
ATTOCK DISTRICT,30,18697,7120,25817
ATTOCK DISTRICT,31,23166,8474,31640
ATTOCK DISTRICT,32,19939,7575,27514
ATTOCK DISTRICT,33,20792,7833,28625
ATTOCK DISTRICT,34,20561,7557,28118
ATTOCK DISTRICT,35,15453,5919,21372
ATTOCK DISTRICT,36,19083,7118,26201
ATTOCK DISTRICT,37,16731,6448,23179
ATTOCK DISTRICT,38,17900,6980,24880
ATTOCK DISTRICT,39,17591,6803,24394
ATTOCK DISTRICT,40,14045,5707,19752
ATTOCK DISTRICT,41,15975,5964,21939
ATTOCK DISTRICT,42,13756,5343,19099
ATTOCK DISTRICT,43,15104,5680,20784
ATTOCK DISTRICT,44,14224,5043,19267
ATTOCK DISTRICT,45,11041,4062,15103
ATTOCK DISTRICT,46,13441,4481,17922
ATTOCK DISTRICT,47,11940,3974,15914
ATTOCK DISTRICT,48,13413,4646,18059
ATTOCK DISTRICT,49,13460,4529,17989
ATTOCK DISTRICT,50,11156,3932,15088
ATTOCK DISTRICT,51,13114,4285,17399
ATTOCK DISTRICT,52,11650,3859,15509
ATTOCK DISTRICT,53,12703,4133,16836
ATTOCK DISTRICT,54,11383,3701,15084
ATTOCK DISTRICT,55,8370,3043,11413
ATTOCK DISTRICT,56,9429,3080,12509
ATTOCK DISTRICT,57,7967,2655,10622
ATTOCK DISTRICT,58,8517,2732,11249
ATTOCK DISTRICT,59,8199,2605,10804
ATTOCK DISTRICT,60,7032,2249,9281
ATTOCK DISTRICT,61,9152,2767,11919
ATTOCK DISTRICT,62,8442,2525,10967
ATTOCK DISTRICT,63,8535,2520,11055
ATTOCK DISTRICT,64,8058,2197,10255
ATTOCK DISTRICT,65,5866,1791,7657
ATTOCK DISTRICT,66,6444,1640,8084
ATTOCK DISTRICT,67,6521,1574,8095
ATTOCK DISTRICT,68,6639,1635,8274
ATTOCK DISTRICT,69,5488,1455,6943
ATTOCK DISTRICT,70,4437,1226,5663
ATTOCK DISTRICT,71,5351,1293,6644
ATTOCK DISTRICT,72,4990,1267,6257
ATTOCK DISTRICT,73,4514,1138,5652
ATTOCK DISTRICT,74,3586,825,4411
ATTOCK DISTRICT,>=75,28886,6743,35629
AWARAN DISTRICT,<1,2550,665,3215
AWARAN DISTRICT,1,2355,1038,3393
AWARAN DISTRICT,2,3176,1133,4309
AWARAN DISTRICT,3,2636,1218,3854
AWARAN DISTRICT,4,3809,1277,5086
AWARAN DISTRICT,5,2846,1252,4098
AWARAN DISTRICT,6,3787,1187,4974
AWARAN DISTRICT,7,2669,1141,3810
AWARAN DISTRICT,8,3926,1331,5257
AWARAN DISTRICT,9,2548,927,3475
AWARAN DISTRICT,10,3837,1190,5027
AWARAN DISTRICT,11,1841,813,2654
AWARAN DISTRICT,12,2651,925,3576
AWARAN DISTRICT,13,1578,765,2343
AWARAN DISTRICT,14,2009,799,2808
AWARAN DISTRICT,15,1550,674,2224
AWARAN DISTRICT,16,1461,619,2080
AWARAN DISTRICT,17,1133,582,1715
AWARAN DISTRICT,18,1455,610,2065
AWARAN DISTRICT,19,1219,539,1758
AWARAN DISTRICT,20,1960,694,2654
AWARAN DISTRICT,21,1262,583,1845
AWARAN DISTRICT,22,1286,611,1897
AWARAN DISTRICT,23,891,448,1339
AWARAN DISTRICT,24,861,455,1316
AWARAN DISTRICT,25,1457,520,1977
AWARAN DISTRICT,26,960,453,1413
AWARAN DISTRICT,27,1108,566,1674
AWARAN DISTRICT,28,1223,552,1775
AWARAN DISTRICT,29,1134,516,1650
AWARAN DISTRICT,30,1669,591,2260
AWARAN DISTRICT,31,1355,581,1936
AWARAN DISTRICT,32,992,490,1482
AWARAN DISTRICT,33,991,437,1428
AWARAN DISTRICT,34,852,380,1232
AWARAN DISTRICT,35,1114,394,1508
AWARAN DISTRICT,36,880,381,1261
AWARAN DISTRICT,37,857,490,1347
AWARAN DISTRICT,38,875,339,1214
AWARAN DISTRICT,39,780,347,1127
AWARAN DISTRICT,40,1107,278,1385
AWARAN DISTRICT,41,758,285,1043
AWARAN DISTRICT,42,665,278,943
AWARAN DISTRICT,43,740,238,978
AWARAN DISTRICT,44,660,235,895
AWARAN DISTRICT,45,708,192,900
AWARAN DISTRICT,46,604,182,786
AWARAN DISTRICT,47,594,238,832
AWARAN DISTRICT,48,599,170,769
AWARAN DISTRICT,49,635,208,843
AWARAN DISTRICT,50,727,202,929
AWARAN DISTRICT,51,514,217,731
AWARAN DISTRICT,52,372,176,548
AWARAN DISTRICT,53,453,155,608
AWARAN DISTRICT,54,429,186,615
AWARAN DISTRICT,55,437,120,557
AWARAN DISTRICT,56,346,111,457
AWARAN DISTRICT,57,340,150,490
AWARAN DISTRICT,58,340,138,478
AWARAN DISTRICT,59,369,165,534
AWARAN DISTRICT,60,480,141,621
AWARAN DISTRICT,61,341,117,458
AWARAN DISTRICT,62,252,102,354
AWARAN DISTRICT,63,313,117,430
AWARAN DISTRICT,64,393,147,540
AWARAN DISTRICT,65,291,104,395
AWARAN DISTRICT,66,228,109,337
AWARAN DISTRICT,67,203,87,290
AWARAN DISTRICT,68,231,87,318
AWARAN DISTRICT,69,256,102,358
AWARAN DISTRICT,70,231,73,304
AWARAN DISTRICT,71,143,73,216
AWARAN DISTRICT,72,117,57,174
AWARAN DISTRICT,73,167,47,214
AWARAN DISTRICT,74,164,52,216
AWARAN DISTRICT,>=75,834,385,1219
BADIN DISTRICT,<1,34495,8832,43327
BADIN DISTRICT,1,40447,9887,50334
BADIN DISTRICT,2,50640,11858,62498
BADIN DISTRICT,3,52345,12766,65111
BADIN DISTRICT,4,55417,12637,68054
BADIN DISTRICT,5,53521,13108,66629
BADIN DISTRICT,6,52689,12363,65052
BADIN DISTRICT,7,45161,11580,56741
BADIN DISTRICT,8,54331,12681,67012
BADIN DISTRICT,9,38495,10491,48986
BADIN DISTRICT,10,47850,11025,58875
BADIN DISTRICT,11,30366,8672,39038
BADIN DISTRICT,12,36387,9363,45750
BADIN DISTRICT,13,26411,7927,34338
BADIN DISTRICT,14,27152,7991,35143
BADIN DISTRICT,15,28172,8439,36611
BADIN DISTRICT,16,26286,7773,34059
BADIN DISTRICT,17,22921,7984,30905
BADIN DISTRICT,18,32908,8644,41552
BADIN DISTRICT,19,24007,7558,31565
BADIN DISTRICT,20,30518,7846,38364
BADIN DISTRICT,21,19789,6709,26498
BADIN DISTRICT,22,21183,6435,27618
BADIN DISTRICT,23,18265,6236,24501
BADIN DISTRICT,24,16915,5687,22602
BADIN DISTRICT,25,23539,6403,29942
BADIN DISTRICT,26,18195,6071,24266
BADIN DISTRICT,27,20823,6634,27457
BADIN DISTRICT,28,21289,6253,27542
BADIN DISTRICT,29,21418,6389,27807
BADIN DISTRICT,30,21235,5847,27082
BADIN DISTRICT,31,20384,6426,26810
BADIN DISTRICT,32,19774,6190,25964
BADIN DISTRICT,33,17167,5338,22505
BADIN DISTRICT,34,15882,5043,20925
BADIN DISTRICT,35,17964,4859,22823
BADIN DISTRICT,36,15985,4909,20894
BADIN DISTRICT,37,21875,5647,27522
BADIN DISTRICT,38,14798,4418,19216
BADIN DISTRICT,39,15786,4664,20450
BADIN DISTRICT,40,13658,3934,17592
BADIN DISTRICT,41,12320,3762,16082
BADIN DISTRICT,42,12552,3740,16292
BADIN DISTRICT,43,10908,3314,14222
BADIN DISTRICT,44,10128,3136,13264
BADIN DISTRICT,45,10130,2939,13069
BADIN DISTRICT,46,9455,2917,12372
BADIN DISTRICT,47,12006,3429,15435
BADIN DISTRICT,48,9318,2745,12063
BADIN DISTRICT,49,9602,2912,12514
BADIN DISTRICT,50,8807,2537,11344
BADIN DISTRICT,51,7572,2470,10042
BADIN DISTRICT,52,7232,2245,9477
BADIN DISTRICT,53,6050,1999,8049
BADIN DISTRICT,54,5460,1748,7208
BADIN DISTRICT,55,5522,1625,7147
BADIN DISTRICT,56,4609,1423,6032
BADIN DISTRICT,57,6157,1707,7864
BADIN DISTRICT,58,4971,1532,6503
BADIN DISTRICT,59,5462,1665,7127
BADIN DISTRICT,60,5781,1379,7160
BADIN DISTRICT,61,4881,1577,6458
BADIN DISTRICT,62,4974,1465,6439
BADIN DISTRICT,63,4697,1421,6118
BADIN DISTRICT,64,5038,1362,6400
BADIN DISTRICT,65,4376,1090,5466
BADIN DISTRICT,66,3523,1066,4589
BADIN DISTRICT,67,3621,1021,4642
BADIN DISTRICT,68,3107,910,4017
BADIN DISTRICT,69,3662,910,4572
BADIN DISTRICT,70,3217,742,3959
BADIN DISTRICT,71,2489,699,3188
BADIN DISTRICT,72,2132,568,2700
BADIN DISTRICT,73,2029,605,2634
BADIN DISTRICT,74,2237,531,2768
BADIN DISTRICT,>=75,14146,3636,17782
BAHAWALNAGAR DISTRICT,<1,56032,14032,70064
BAHAWALNAGAR DISTRICT,1,64966,15983,80949
BAHAWALNAGAR DISTRICT,2,66113,15483,81596
BAHAWALNAGAR DISTRICT,3,70154,16522,86676
BAHAWALNAGAR DISTRICT,4,71591,16204,87795
BAHAWALNAGAR DISTRICT,5,70068,16074,86142
BAHAWALNAGAR DISTRICT,6,67735,15834,83569
BAHAWALNAGAR DISTRICT,7,72420,16827,89247
BAHAWALNAGAR DISTRICT,8,68528,15032,83560
BAHAWALNAGAR DISTRICT,9,66168,16711,82879
BAHAWALNAGAR DISTRICT,10,62202,14004,76206
BAHAWALNAGAR DISTRICT,11,58360,16213,74573
BAHAWALNAGAR DISTRICT,12,54455,13325,67780
BAHAWALNAGAR DISTRICT,13,50243,14774,65017
BAHAWALNAGAR DISTRICT,14,49243,13410,62653
BAHAWALNAGAR DISTRICT,15,47597,13473,61070
BAHAWALNAGAR DISTRICT,16,47829,13298,61127
BAHAWALNAGAR DISTRICT,17,44990,13260,58250
BAHAWALNAGAR DISTRICT,18,45628,12073,57701
BAHAWALNAGAR DISTRICT,19,42142,13159,55301
BAHAWALNAGAR DISTRICT,20,44184,11135,55319
BAHAWALNAGAR DISTRICT,21,40140,12531,52671
BAHAWALNAGAR DISTRICT,22,40497,11430,51927
BAHAWALNAGAR DISTRICT,23,35937,10959,46896
BAHAWALNAGAR DISTRICT,24,34030,10728,44758
BAHAWALNAGAR DISTRICT,25,36697,9509,46206
BAHAWALNAGAR DISTRICT,26,34028,10436,44464
BAHAWALNAGAR DISTRICT,27,33563,10179,43742
BAHAWALNAGAR DISTRICT,28,34538,9856,44394
BAHAWALNAGAR DISTRICT,29,35619,10184,45803
BAHAWALNAGAR DISTRICT,30,34263,8702,42965
BAHAWALNAGAR DISTRICT,31,34084,9595,43679
BAHAWALNAGAR DISTRICT,32,31032,8810,39842
BAHAWALNAGAR DISTRICT,33,29001,8292,37293
BAHAWALNAGAR DISTRICT,34,28455,8181,36636
BAHAWALNAGAR DISTRICT,35,27404,6812,34216
BAHAWALNAGAR DISTRICT,36,28447,7586,36033
BAHAWALNAGAR DISTRICT,37,27847,7157,35004
BAHAWALNAGAR DISTRICT,38,24869,7223,32092
BAHAWALNAGAR DISTRICT,39,26274,7193,33467
BAHAWALNAGAR DISTRICT,40,22700,6267,28967
BAHAWALNAGAR DISTRICT,41,24862,6946,31808
BAHAWALNAGAR DISTRICT,42,22165,6369,28534
BAHAWALNAGAR DISTRICT,43,20310,6111,26421
BAHAWALNAGAR DISTRICT,44,20714,6198,26912
BAHAWALNAGAR DISTRICT,45,18204,4963,23167
BAHAWALNAGAR DISTRICT,46,21562,6023,27585
BAHAWALNAGAR DISTRICT,47,20544,5463,26007
BAHAWALNAGAR DISTRICT,48,19873,5680,25553
BAHAWALNAGAR DISTRICT,49,20703,5797,26500
BAHAWALNAGAR DISTRICT,50,17941,4874,22815
BAHAWALNAGAR DISTRICT,51,20704,5612,26316
BAHAWALNAGAR DISTRICT,52,18066,5149,23215
BAHAWALNAGAR DISTRICT,53,17157,4931,22088
BAHAWALNAGAR DISTRICT,54,15327,4521,19848
BAHAWALNAGAR DISTRICT,55,12646,3476,16122
BAHAWALNAGAR DISTRICT,56,13065,3715,16780
BAHAWALNAGAR DISTRICT,57,11728,2930,14658
BAHAWALNAGAR DISTRICT,58,10235,3002,13237
BAHAWALNAGAR DISTRICT,59,10778,3143,13921
BAHAWALNAGAR DISTRICT,60,10186,2481,12667
BAHAWALNAGAR DISTRICT,61,11413,3129,14542
BAHAWALNAGAR DISTRICT,62,10479,2777,13256
BAHAWALNAGAR DISTRICT,63,9699,2617,12316
BAHAWALNAGAR DISTRICT,64,9206,2281,11487
BAHAWALNAGAR DISTRICT,65,8685,1851,10536
BAHAWALNAGAR DISTRICT,66,8873,1932,10805
BAHAWALNAGAR DISTRICT,67,8015,1683,9698
BAHAWALNAGAR DISTRICT,68,7726,1719,9445
BAHAWALNAGAR DISTRICT,69,7189,1558,8747
BAHAWALNAGAR DISTRICT,70,6955,1405,8360
BAHAWALNAGAR DISTRICT,71,7251,1593,8844
BAHAWALNAGAR DISTRICT,72,6498,1407,7905
BAHAWALNAGAR DISTRICT,73,5550,1332,6882
BAHAWALNAGAR DISTRICT,74,4589,998,5587
BAHAWALNAGAR DISTRICT,>=75,36999,7564,44563
BAHAWALPUR DISTRICT,<1,65085,27520,92605
BAHAWALPUR DISTRICT,1,70779,29202,99981
BAHAWALPUR DISTRICT,2,72376,28437,100813
BAHAWALPUR DISTRICT,3,79318,31229,110547
BAHAWALPUR DISTRICT,4,82060,30915,112975
BAHAWALPUR DISTRICT,5,79539,30276,109815
BAHAWALPUR DISTRICT,6,76403,29280,105683
BAHAWALPUR DISTRICT,7,82267,32334,114601
BAHAWALPUR DISTRICT,8,80999,29240,110239
BAHAWALPUR DISTRICT,9,73708,31237,104945
BAHAWALPUR DISTRICT,10,71702,26872,98574
BAHAWALPUR DISTRICT,11,60172,29448,89620
BAHAWALPUR DISTRICT,12,61461,25562,87023
BAHAWALPUR DISTRICT,13,52427,26675,79102
BAHAWALPUR DISTRICT,14,51767,24563,76330
BAHAWALPUR DISTRICT,15,49195,24557,73752
BAHAWALPUR DISTRICT,16,48514,24291,72805
BAHAWALPUR DISTRICT,17,43711,25009,68720
BAHAWALPUR DISTRICT,18,50684,23829,74513
BAHAWALPUR DISTRICT,19,44495,25481,69976
BAHAWALPUR DISTRICT,20,48830,23273,72103
BAHAWALPUR DISTRICT,21,40830,25012,65842
BAHAWALPUR DISTRICT,22,42142,23068,65210
BAHAWALPUR DISTRICT,23,36396,22391,58787
BAHAWALPUR DISTRICT,24,35575,20766,56341
BAHAWALPUR DISTRICT,25,40373,19417,59790
BAHAWALPUR DISTRICT,26,36228,20391,56619
BAHAWALPUR DISTRICT,27,35858,20078,55936
BAHAWALPUR DISTRICT,28,36763,19505,56268
BAHAWALPUR DISTRICT,29,36974,20332,57306
BAHAWALPUR DISTRICT,30,35315,17741,53056
BAHAWALPUR DISTRICT,31,35262,18975,54237
BAHAWALPUR DISTRICT,32,31022,16890,47912
BAHAWALPUR DISTRICT,33,29310,16508,45818
BAHAWALPUR DISTRICT,34,31455,16016,47471
BAHAWALPUR DISTRICT,35,29506,14537,44043
BAHAWALPUR DISTRICT,36,34012,15678,49690
BAHAWALPUR DISTRICT,37,30532,13982,44514
BAHAWALPUR DISTRICT,38,27504,14810,42314
BAHAWALPUR DISTRICT,39,27325,14019,41344
BAHAWALPUR DISTRICT,40,23111,12492,35603
BAHAWALPUR DISTRICT,41,26993,12910,39903
BAHAWALPUR DISTRICT,42,23517,11659,35176
BAHAWALPUR DISTRICT,43,19709,11213,30922
BAHAWALPUR DISTRICT,44,20111,10763,30874
BAHAWALPUR DISTRICT,45,17593,9675,27268
BAHAWALPUR DISTRICT,46,21509,10176,31685
BAHAWALPUR DISTRICT,47,20296,9216,29512
BAHAWALPUR DISTRICT,48,18333,10080,28413
BAHAWALPUR DISTRICT,49,18557,9979,28536
BAHAWALPUR DISTRICT,50,16937,9038,25975
BAHAWALPUR DISTRICT,51,19465,9359,28824
BAHAWALPUR DISTRICT,52,16571,8531,25102
BAHAWALPUR DISTRICT,53,14859,8332,23191
BAHAWALPUR DISTRICT,54,13171,7489,20660
BAHAWALPUR DISTRICT,55,11564,6278,17842
BAHAWALPUR DISTRICT,56,12604,6460,19064
BAHAWALPUR DISTRICT,57,11479,5400,16879
BAHAWALPUR DISTRICT,58,9886,5576,15462
BAHAWALPUR DISTRICT,59,10079,5223,15302
BAHAWALPUR DISTRICT,60,10320,5131,15451
BAHAWALPUR DISTRICT,61,11912,5446,17358
BAHAWALPUR DISTRICT,62,10434,4919,15353
BAHAWALPUR DISTRICT,63,9635,4863,14498
BAHAWALPUR DISTRICT,64,8802,4097,12899
BAHAWALPUR DISTRICT,65,8419,3654,12073
BAHAWALPUR DISTRICT,66,9356,3198,12554
BAHAWALPUR DISTRICT,67,8360,3029,11389
BAHAWALPUR DISTRICT,68,6965,3023,9988
BAHAWALPUR DISTRICT,69,6480,2555,9035
BAHAWALPUR DISTRICT,70,6404,2452,8856
BAHAWALPUR DISTRICT,71,7033,2443,9476
BAHAWALPUR DISTRICT,72,5854,2293,8147
BAHAWALPUR DISTRICT,73,4945,2119,7064
BAHAWALPUR DISTRICT,74,4052,1575,5627
BAHAWALPUR DISTRICT,>=75,33825,12170,45995
BAJAUR AGENCY,<1,30685,0,30685
BAJAUR AGENCY,1,36721,0,36721
BAJAUR AGENCY,2,44064,0,44064
BAJAUR AGENCY,3,42255,0,42255
BAJAUR AGENCY,4,46862,0,46862
BAJAUR AGENCY,5,41145,0,41145
BAJAUR AGENCY,6,44794,0,44794
BAJAUR AGENCY,7,39417,0,39417
BAJAUR AGENCY,8,45065,0,45065
BAJAUR AGENCY,9,37742,0,37742
BAJAUR AGENCY,10,39489,0,39489
BAJAUR AGENCY,11,30649,0,30649
BAJAUR AGENCY,12,31941,0,31941
BAJAUR AGENCY,13,26605,0,26605
BAJAUR AGENCY,14,26520,0,26520
BAJAUR AGENCY,15,23843,0,23843
BAJAUR AGENCY,16,21305,0,21305
BAJAUR AGENCY,17,17063,0,17063
BAJAUR AGENCY,18,21063,0,21063
BAJAUR AGENCY,19,17700,0,17700
BAJAUR AGENCY,20,21307,0,21307
BAJAUR AGENCY,21,16948,0,16948
BAJAUR AGENCY,22,16584,0,16584
BAJAUR AGENCY,23,17824,0,17824
BAJAUR AGENCY,24,15544,0,15544
BAJAUR AGENCY,25,18303,0,18303
BAJAUR AGENCY,26,15973,0,15973
BAJAUR AGENCY,27,17488,0,17488
BAJAUR AGENCY,28,14750,0,14750
BAJAUR AGENCY,29,14759,0,14759
BAJAUR AGENCY,30,13713,0,13713
BAJAUR AGENCY,31,12559,0,12559
BAJAUR AGENCY,32,11282,0,11282
BAJAUR AGENCY,33,11758,0,11758
BAJAUR AGENCY,34,9295,0,9295
BAJAUR AGENCY,35,9603,0,9603
BAJAUR AGENCY,36,7867,0,7867
BAJAUR AGENCY,37,9290,0,9290
BAJAUR AGENCY,38,9122,0,9122
BAJAUR AGENCY,39,8468,0,8468
BAJAUR AGENCY,40,9423,0,9423
BAJAUR AGENCY,41,7669,0,7669
BAJAUR AGENCY,42,7101,0,7101
BAJAUR AGENCY,43,7315,0,7315
BAJAUR AGENCY,44,6395,0,6395
BAJAUR AGENCY,45,6550,0,6550
BAJAUR AGENCY,46,5260,0,5260
BAJAUR AGENCY,47,6038,0,6038
BAJAUR AGENCY,48,5786,0,5786
BAJAUR AGENCY,49,5378,0,5378
BAJAUR AGENCY,50,6677,0,6677
BAJAUR AGENCY,51,4778,0,4778
BAJAUR AGENCY,52,4628,0,4628
BAJAUR AGENCY,53,4748,0,4748
BAJAUR AGENCY,54,4297,0,4297
BAJAUR AGENCY,55,4662,0,4662
BAJAUR AGENCY,56,3333,0,3333
BAJAUR AGENCY,57,4178,0,4178
BAJAUR AGENCY,58,3528,0,3528
BAJAUR AGENCY,59,3174,0,3174
BAJAUR AGENCY,60,3981,0,3981
BAJAUR AGENCY,61,2724,0,2724
BAJAUR AGENCY,62,3036,0,3036
BAJAUR AGENCY,63,2856,0,2856
BAJAUR AGENCY,64,2637,0,2637
BAJAUR AGENCY,65,2664,0,2664
BAJAUR AGENCY,66,2071,0,2071
BAJAUR AGENCY,67,2737,0,2737
BAJAUR AGENCY,68,1928,0,1928
BAJAUR AGENCY,69,1748,0,1748
BAJAUR AGENCY,70,1994,0,1994
BAJAUR AGENCY,71,1351,0,1351
BAJAUR AGENCY,72,1469,0,1469
BAJAUR AGENCY,73,1235,0,1235
BAJAUR AGENCY,74,1144,0,1144
BAJAUR AGENCY,>=75,9129,0,9129
BAJAUR AGENCY,65 & ABOVE,38723,0,38723
BANNU DISTRICT,<1,29249,1008,30257
BANNU DISTRICT,1,33157,1043,34200
BANNU DISTRICT,2,39549,1232,40781
BANNU DISTRICT,3,41084,1308,42392
BANNU DISTRICT,4,42325,1275,43600
BANNU DISTRICT,5,41145,1307,42452
BANNU DISTRICT,6,40176,1230,41406
BANNU DISTRICT,7,38121,1376,39497
BANNU DISTRICT,8,39850,1194,41044
BANNU DISTRICT,9,34186,1260,35446
BANNU DISTRICT,10,35058,1157,36215
BANNU DISTRICT,11,28272,1217,29489
BANNU DISTRICT,12,29535,1100,30635
BANNU DISTRICT,13,26242,1186,27428
BANNU DISTRICT,14,25702,1103,26805
BANNU DISTRICT,15,25356,1094,26450
BANNU DISTRICT,16,23744,1092,24836
BANNU DISTRICT,17,21098,1160,22258
BANNU DISTRICT,18,24203,1036,25239
BANNU DISTRICT,19,19983,1070,21053
BANNU DISTRICT,20,23618,1013,24631
BANNU DISTRICT,21,18309,1067,19376
BANNU DISTRICT,22,19414,1028,20442
BANNU DISTRICT,23,17838,1005,18843
BANNU DISTRICT,24,16280,940,17220
BANNU DISTRICT,25,21404,1065,22469
BANNU DISTRICT,26,15904,956,16860
BANNU DISTRICT,27,16029,989,17018
BANNU DISTRICT,28,16900,963,17863
BANNU DISTRICT,29,14673,950,15623
BANNU DISTRICT,30,18132,926,19058
BANNU DISTRICT,31,12852,822,13674
BANNU DISTRICT,32,11364,757,12121
BANNU DISTRICT,33,11336,812,12148
BANNU DISTRICT,34,9101,629,9730
BANNU DISTRICT,35,12861,712,13573
BANNU DISTRICT,36,7963,571,8534
BANNU DISTRICT,37,8131,578,8709
BANNU DISTRICT,38,9659,643,10302
BANNU DISTRICT,39,8732,552,9284
