district,age,sex,rural,urban,total
FR TANK,31,Male,315,0,315
FR TANK,31,Female,252,0,252
FR TANK,31,Transgender,0,0,0
FR TANK,32,Male,223,0,223
FR TANK,32,Female,183,0,183
FR TANK,32,Transgender,0,0,0
FR TANK,33,Male,224,0,224
FR TANK,33,Female,168,0,168
FR TANK,33,Transgender,0,0,0
FR TANK,34,Male,188,0,188
FR TANK,34,Female,156,0,156
FR TANK,34,Transgender,0,0,0
FR TANK,35,Male,168,0,168
FR TANK,35,Female,179,0,179
FR TANK,35,Transgender,0,0,0
FR TANK,36,Male,196,0,196
FR TANK,36,Female,175,0,175
FR TANK,36,Transgender,0,0,0
FR TANK,37,Male,155,0,155
FR TANK,37,Female,149,0,149
FR TANK,37,Transgender,0,0,0
FR TANK,38,Male,167,0,167
FR TANK,38,Female,131,0,131
FR TANK,38,Transgender,0,0,0
FR TANK,39,Male,141,0,141
FR TANK,39,Female,153,0,153
FR TANK,39,Transgender,0,0,0
FR TANK,40,Male,147,0,147
FR TANK,40,Female,151,0,151
FR TANK,40,Transgender,0,0,0
FR TANK,41,Male,156,0,156
FR TANK,41,Female,153,0,153
FR TANK,41,Transgender,0,0,0
FR TANK,42,Male,118,0,118
FR TANK,42,Female,104,0,104
FR TANK,42,Transgender,1,0,1
FR TANK,43,Male,151,0,151
FR TANK,43,Female,119,0,119
FR TANK,43,Transgender,0,0,0
FR TANK,44,Male,119,0,119
FR TANK,44,Female,110,0,110
FR TANK,44,Transgender,0,0,0
FR TANK,45,Male,77,0,77
FR TANK,45,Female,104,0,104
FR TANK,45,Transgender,0,0,0
FR TANK,46,Male,98,0,98
FR TANK,46,Female,119,0,119
FR TANK,46,Transgender,0,0,0
FR TANK,47,Male,91,0,91
FR TANK,47,Female,110,0,110
FR TANK,47,Transgender,0,0,0
FR TANK,48,Male,105,0,105
FR TANK,48,Female,101,0,101
FR TANK,48,Transgender,0,0,0
FR TANK,49,Male,100,0,100
FR TANK,49,Female,119,0,119
FR TANK,49,Transgender,0,0,0
FR TANK,50,Male,92,0,92
FR TANK,50,Female,123,0,123
FR TANK,50,Transgender,0,0,0
FR TANK,51,Male,108,0,108
FR TANK,51,Female,134,0,134
FR TANK,51,Transgender,0,0,0
FR TANK,52,Male,84,0,84
FR TANK,52,Female,105,0,105
FR TANK,52,Transgender,0,0,0
FR TANK,53,Male,115,0,115
FR TANK,53,Female,104,0,104
FR TANK,53,Transgender,0,0,0
FR TANK,54,Male,114,0,114
FR TANK,54,Female,89,0,89
FR TANK,54,Transgender,0,0,0
FR TANK,55,Male,90,0,90
FR TANK,55,Female,74,0,74
FR TANK,55,Transgender,0,0,0
FR TANK,56,Male,88,0,88
FR TANK,56,Female,83,0,83
FR TANK,56,Transgender,0,0,0
FR TANK,57,Male,98,0,98
FR TANK,57,Female,96,0,96
FR TANK,57,Transgender,0,0,0
FR TANK,58,Male,99,0,99
FR TANK,58,Female,76,0,76
FR TANK,58,Transgender,0,0,0
FR TANK,59,Male,72,0,72
FR TANK,59,Female,64,0,64
FR TANK,59,Transgender,0,0,0
FR TANK,60,Male,83,0,83
FR TANK,60,Female,72,0,72
FR TANK,60,Transgender,0,0,0
FR TANK,61,Male,59,0,59
FR TANK,61,Female,65,0,65
FR TANK,61,Transgender,0,0,0
FR TANK,62,Male,63,0,63
FR TANK,62,Female,45,0,45
FR TANK,62,Transgender,0,0,0
FR TANK,63,Male,60,0,60
FR TANK,63,Female,59,0,59
FR TANK,63,Transgender,0,0,0
FR TANK,64,Male,57,0,57
FR TANK,64,Female,61,0,61
FR TANK,64,Transgender,0,0,0
FR TANK,65,Male,48,0,48
FR TANK,65,Female,55,0,55
FR TANK,65,Transgender,0,0,0
FR TANK,66,Male,60,0,60
FR TANK,66,Female,54,0,54
FR TANK,66,Transgender,0,0,0
FR TANK,67,Male,52,0,52
FR TANK,67,Female,39,0,39
FR TANK,67,Transgender,0,0,0
FR TANK,68,Male,31,0,31
FR TANK,68,Female,32,0,32
FR TANK,68,Transgender,0,0,0
FR TANK,69,Male,26,0,26
FR TANK,69,Female,35,0,35
FR TANK,69,Transgender,0,0,0
FR TANK,70,Male,37,0,37
FR TANK,70,Female,52,0,52
FR TANK,70,Transgender,0,0,0
FR TANK,71,Male,22,0,22
FR TANK,71,Female,44,0,44
FR TANK,71,Transgender,0,0,0
FR TANK,72,Male,30,0,30
FR TANK,72,Female,28,0,28
FR TANK,72,Transgender,1,0,1
FR TANK,73,Male,31,0,31
FR TANK,73,Female,33,0,33
FR TANK,73,Transgender,0,0,0
FR TANK,74,Male,22,0,22
FR TANK,74,Female,23,0,23
FR TANK,74,Transgender,0,0,0
FR TANK,>=75,Male,176,0,176
FR TANK,>=75,Female,183,0,183
FR TANK,>=75,Transgender,0,0,0
GHOTKI DISTRICT,<1,Male,19386,4715,24101
GHOTKI DISTRICT,<1,Female,18108,4221,22329
GHOTKI DISTRICT,<1,Transgender,0,0,0
GHOTKI DISTRICT,1,Male,19150,5085,24235
GHOTKI DISTRICT,1,Female,18580,4825,23405
GHOTKI DISTRICT,1,Transgender,0,0,0
GHOTKI DISTRICT,2,Male,22828,5303,28131
GHOTKI DISTRICT,2,Female,22997,4842,27839
GHOTKI DISTRICT,2,Transgender,0,0,0
GHOTKI DISTRICT,3,Male,24098,5836,29934
GHOTKI DISTRICT,3,Female,22969,5518,28487
GHOTKI DISTRICT,3,Transgender,0,0,0
GHOTKI DISTRICT,4,Male,25895,5802,31697
GHOTKI DISTRICT,4,Female,24503,5535,30038
GHOTKI DISTRICT,4,Transgender,0,0,0
GHOTKI DISTRICT,5,Male,24595,6003,30598
GHOTKI DISTRICT,5,Female,22276,5477,27753
GHOTKI DISTRICT,5,Transgender,0,0,0
GHOTKI DISTRICT,6,Male,25059,5560,30619
GHOTKI DISTRICT,6,Female,23518,5154,28672
GHOTKI DISTRICT,6,Transgender,0,0,0
GHOTKI DISTRICT,7,Male,23394,5989,29383
GHOTKI DISTRICT,7,Female,20813,5458,26271
GHOTKI DISTRICT,7,Transgender,0,0,0
GHOTKI DISTRICT,8,Male,27194,6093,33287
GHOTKI DISTRICT,8,Female,24361,5321,29682
GHOTKI DISTRICT,8,Transgender,0,0,0
GHOTKI DISTRICT,9,Male,21120,5552,26672
GHOTKI DISTRICT,9,Female,18062,4932,22994
GHOTKI DISTRICT,9,Transgender,0,0,0
GHOTKI DISTRICT,10,Male,24127,5506,29633
GHOTKI DISTRICT,10,Female,20962,4813,25775
GHOTKI DISTRICT,10,Transgender,0,0,0
GHOTKI DISTRICT,11,Male,16573,4870,21443
GHOTKI DISTRICT,11,Female,14137,4285,18422
GHOTKI DISTRICT,11,Transgender,0,0,0
GHOTKI DISTRICT,12,Male,19362,4852,24214
GHOTKI DISTRICT,12,Female,16264,4198,20462
GHOTKI DISTRICT,12,Transgender,0,0,0
GHOTKI DISTRICT,13,Male,15285,4606,19891
GHOTKI DISTRICT,13,Female,12581,3928,16509
GHOTKI DISTRICT,13,Transgender,0,0,0
GHOTKI DISTRICT,14,Male,15862,4392,20254
GHOTKI DISTRICT,14,Female,13448,3933,17381
GHOTKI DISTRICT,14,Transgender,0,0,0
GHOTKI DISTRICT,15,Male,15110,4622,19732
GHOTKI DISTRICT,15,Female,11929,4050,15979
GHOTKI DISTRICT,15,Transgender,4,0,4
GHOTKI DISTRICT,16,Male,14719,4357,19076
GHOTKI DISTRICT,16,Female,12205,3924,16129
GHOTKI DISTRICT,16,Transgender,3,1,4
GHOTKI DISTRICT,17,Male,13120,4326,17446
GHOTKI DISTRICT,17,Female,10453,3776,14229
GHOTKI DISTRICT,17,Transgender,1,1,2
GHOTKI DISTRICT,18,Male,15046,4382,19428
GHOTKI DISTRICT,18,Female,14860,4358,19218
GHOTKI DISTRICT,18,Transgender,7,3,10
GHOTKI DISTRICT,19,Male,12708,4024,16732
GHOTKI DISTRICT,19,Female,11973,3833,15806
GHOTKI DISTRICT,19,Transgender,3,0,3
GHOTKI DISTRICT,20,Male,13273,3842,17115
GHOTKI DISTRICT,20,Female,12717,3627,16344
GHOTKI DISTRICT,20,Transgender,6,3,9
GHOTKI DISTRICT,21,Male,9667,3283,12950
GHOTKI DISTRICT,21,Female,9590,3279,12869
GHOTKI DISTRICT,21,Transgender,2,2,4
GHOTKI DISTRICT,22,Male,10079,3186,13265
GHOTKI DISTRICT,22,Female,9379,3164,12543
GHOTKI DISTRICT,22,Transgender,4,2,6
GHOTKI DISTRICT,23,Male,8265,2984,11249
GHOTKI DISTRICT,23,Female,8493,3042,11535
GHOTKI DISTRICT,23,Transgender,1,2,3
GHOTKI DISTRICT,24,Male,7929,2764,10693
GHOTKI DISTRICT,24,Female,8032,2809,10841
GHOTKI DISTRICT,24,Transgender,2,1,3
GHOTKI DISTRICT,25,Male,9383,2786,12169
GHOTKI DISTRICT,25,Female,9886,2874,12760
GHOTKI DISTRICT,25,Transgender,4,3,7
GHOTKI DISTRICT,26,Male,8214,2828,11042
GHOTKI DISTRICT,26,Female,8256,2844,11100
GHOTKI DISTRICT,26,Transgender,2,0,2
GHOTKI DISTRICT,27,Male,7841,2733,10574
GHOTKI DISTRICT,27,Female,8072,2819,10891
GHOTKI DISTRICT,27,Transgender,2,1,3
GHOTKI DISTRICT,28,Male,8584,2920,11504
GHOTKI DISTRICT,28,Female,9554,2999,12553
GHOTKI DISTRICT,28,Transgender,7,0,7
GHOTKI DISTRICT,29,Male,8033,2686,10719
GHOTKI DISTRICT,29,Female,8604,2607,11211
GHOTKI DISTRICT,29,Transgender,4,2,6
GHOTKI DISTRICT,30,Male,8667,2585,11252
GHOTKI DISTRICT,30,Female,9290,2670,11960
GHOTKI DISTRICT,30,Transgender,8,5,13
GHOTKI DISTRICT,31,Male,8139,2513,10652
GHOTKI DISTRICT,31,Female,8449,2493,10942
GHOTKI DISTRICT,31,Transgender,0,2,2
GHOTKI DISTRICT,32,Male,7465,2368,9833
GHOTKI DISTRICT,32,Female,7670,2387,10057
GHOTKI DISTRICT,32,Transgender,1,1,2
GHOTKI DISTRICT,33,Male,7169,2306,9475
GHOTKI DISTRICT,33,Female,7844,2353,10197
GHOTKI DISTRICT,33,Transgender,1,0,1
GHOTKI DISTRICT,34,Male,7212,2242,9454
GHOTKI DISTRICT,34,Female,7400,2182,9582
GHOTKI DISTRICT,34,Transgender,1,0,1
GHOTKI DISTRICT,35,Male,7713,2233,9946
GHOTKI DISTRICT,35,Female,7242,2128,9370
GHOTKI DISTRICT,35,Transgender,5,4,9
GHOTKI DISTRICT,36,Male,7689,2141,9830
GHOTKI DISTRICT,36,Female,7201,2063,9264
GHOTKI DISTRICT,36,Transgender,2,1,3
GHOTKI DISTRICT,37,Male,7487,1986,9473
GHOTKI DISTRICT,37,Female,7131,1968,9099
GHOTKI DISTRICT,37,Transgender,0,0,0
GHOTKI DISTRICT,38,Male,6543,2264,8807
GHOTKI DISTRICT,38,Female,6483,2128,8611
GHOTKI DISTRICT,38,Transgender,1,1,2
GHOTKI DISTRICT,39,Male,6360,2082,8442
GHOTKI DISTRICT,39,Female,6346,1902,8248
GHOTKI DISTRICT,39,Transgender,2,0,2
GHOTKI DISTRICT,40,Male,5578,1987,7565
GHOTKI DISTRICT,40,Female,6084,1785,7869
GHOTKI DISTRICT,40,Transgender,3,1,4
GHOTKI DISTRICT,41,Male,5459,1727,7186
GHOTKI DISTRICT,41,Female,5577,1759,7336
GHOTKI DISTRICT,41,Transgender,0,1,1
GHOTKI DISTRICT,42,Male,5145,1625,6770
GHOTKI DISTRICT,42,Female,5385,1587,6972
GHOTKI DISTRICT,42,Transgender,1,2,3
GHOTKI DISTRICT,43,Male,4409,1702,6111
GHOTKI DISTRICT,43,Female,4725,1475,6200
GHOTKI DISTRICT,43,Transgender,2,0,2
GHOTKI DISTRICT,44,Male,4404,1609,6013
GHOTKI DISTRICT,44,Female,4467,1397,5864
GHOTKI DISTRICT,44,Transgender,0,2,2
GHOTKI DISTRICT,45,Male,4458,1417,5875
GHOTKI DISTRICT,45,Female,4389,1267,5656
GHOTKI DISTRICT,45,Transgender,4,0,4
GHOTKI DISTRICT,46,Male,4456,1541,5997
GHOTKI DISTRICT,46,Female,4173,1269,5442
GHOTKI DISTRICT,46,Transgender,1,2,3
GHOTKI DISTRICT,47,Male,4499,1384,5883
GHOTKI DISTRICT,47,Female,4215,1133,5348
GHOTKI DISTRICT,47,Transgender,0,0,0
GHOTKI DISTRICT,48,Male,4360,1366,5726
GHOTKI DISTRICT,48,Female,3999,1261,5260
GHOTKI DISTRICT,48,Transgender,0,0,0
GHOTKI DISTRICT,49,Male,4046,1264,5310
GHOTKI DISTRICT,49,Female,3611,1100,4711
GHOTKI DISTRICT,49,Transgender,1,3,4
GHOTKI DISTRICT,50,Male,3950,1277,5227
GHOTKI DISTRICT,50,Female,3779,1100,4879
GHOTKI DISTRICT,50,Transgender,0,1,1
GHOTKI DISTRICT,51,Male,3794,1135,4929
GHOTKI DISTRICT,51,Female,3112,947,4059
GHOTKI DISTRICT,51,Transgender,0,0,0
GHOTKI DISTRICT,52,Male,3164,1103,4267
GHOTKI DISTRICT,52,Female,2822,820,3642
GHOTKI DISTRICT,52,Transgender,4,1,5
GHOTKI DISTRICT,53,Male,3125,963,4088
GHOTKI DISTRICT,53,Female,2462,787,3249
GHOTKI DISTRICT,53,Transgender,1,0,1
GHOTKI DISTRICT,54,Male,2853,899,3752
GHOTKI DISTRICT,54,Female,2385,749,3134
GHOTKI DISTRICT,54,Transgender,0,0,0
GHOTKI DISTRICT,55,Male,2710,847,3557
GHOTKI DISTRICT,55,Female,2442,747,3189
GHOTKI DISTRICT,55,Transgender,0,2,2
GHOTKI DISTRICT,56,Male,2395,795,3190
GHOTKI DISTRICT,56,Female,2097,603,2700
GHOTKI DISTRICT,56,Transgender,0,0,0
GHOTKI DISTRICT,57,Male,2279,690,2969
GHOTKI DISTRICT,57,Female,2173,557,2730
GHOTKI DISTRICT,57,Transgender,0,1,1
GHOTKI DISTRICT,58,Male,2110,645,2755
GHOTKI DISTRICT,58,Female,2131,668,2799
GHOTKI DISTRICT,58,Transgender,0,1,1
GHOTKI DISTRICT,59,Male,2065,627,2692
GHOTKI DISTRICT,59,Female,2111,623,2734
GHOTKI DISTRICT,59,Transgender,1,0,1
GHOTKI DISTRICT,60,Male,2325,638,2963
GHOTKI DISTRICT,60,Female,2470,723,3193
GHOTKI DISTRICT,60,Transgender,1,0,1
GHOTKI DISTRICT,61,Male,1959,604,2563
GHOTKI DISTRICT,61,Female,2289,693,2982
GHOTKI DISTRICT,61,Transgender,0,0,0
GHOTKI DISTRICT,62,Male,1972,586,2558
GHOTKI DISTRICT,62,Female,2176,622,2798
GHOTKI DISTRICT,62,Transgender,1,0,1
GHOTKI DISTRICT,63,Male,1871,573,2444
GHOTKI DISTRICT,63,Female,2075,560,2635
GHOTKI DISTRICT,63,Transgender,1,0,1
GHOTKI DISTRICT,64,Male,1793,519,2312
GHOTKI DISTRICT,64,Female,1839,497,2336
GHOTKI DISTRICT,64,Transgender,1,0,1
GHOTKI DISTRICT,65,Male,1733,457,2190
GHOTKI DISTRICT,65,Female,1742,440,2182
GHOTKI DISTRICT,65,Transgender,1,0,1
GHOTKI DISTRICT,66,Male,1682,449,2131
GHOTKI DISTRICT,66,Female,1576,408,1984
GHOTKI DISTRICT,66,Transgender,1,0,1
GHOTKI DISTRICT,67,Male,1420,361,1781
GHOTKI DISTRICT,67,Female,1386,352,1738
GHOTKI DISTRICT,67,Transgender,1,0,1
GHOTKI DISTRICT,68,Male,1281,322,1603
GHOTKI DISTRICT,68,Female,1276,379,1655
GHOTKI DISTRICT,68,Transgender,0,0,0
GHOTKI DISTRICT,69,Male,1207,296,1503
GHOTKI DISTRICT,69,Female,1154,329,1483
GHOTKI DISTRICT,69,Transgender,0,0,0
GHOTKI DISTRICT,70,Male,1187,297,1484
GHOTKI DISTRICT,70,Female,1309,293,1602
GHOTKI DISTRICT,70,Transgender,5,2,7
GHOTKI DISTRICT,71,Male,1168,258,1426
GHOTKI DISTRICT,71,Female,1127,315,1442
GHOTKI DISTRICT,71,Transgender,0,0,0
GHOTKI DISTRICT,72,Male,858,229,1087
GHOTKI DISTRICT,72,Female,1048,272,1320
GHOTKI DISTRICT,72,Transgender,2,0,2
GHOTKI DISTRICT,73,Male,888,218,1106
GHOTKI DISTRICT,73,Female,802,237,1039
GHOTKI DISTRICT,73,Transgender,0,0,0
GHOTKI DISTRICT,74,Male,765,207,972
GHOTKI DISTRICT,74,Female,800,193,993
GHOTKI DISTRICT,74,Transgender,1,0,1
GHOTKI DISTRICT,>=75,Male,6005,1332,7337
GHOTKI DISTRICT,>=75,Female,6216,1543,7759
GHOTKI DISTRICT,>=75,Transgender,3,2,5
GUJRANWALA DISTRICT,<1,Male,24121,34180,58301
GUJRANWALA DISTRICT,<1,Female,22970,32941,55911
GUJRANWALA DISTRICT,<1,Transgender,0,0,0
GUJRANWALA DISTRICT,1,Male,26243,36659,62902
GUJRANWALA DISTRICT,1,Female,25004,35255,60259
GUJRANWALA DISTRICT,1,Transgender,0,0,0
GUJRANWALA DISTRICT,2,Male,26694,36627,63321
GUJRANWALA DISTRICT,2,Female,25414,34924,60338
GUJRANWALA DISTRICT,2,Transgender,0,0,0
GUJRANWALA DISTRICT,3,Male,28131,39205,67336
GUJRANWALA DISTRICT,3,Female,27186,37756,64942
GUJRANWALA DISTRICT,3,Transgender,0,0,0
GUJRANWALA DISTRICT,4,Male,27269,37053,64322
GUJRANWALA DISTRICT,4,Female,26443,35421,61864
GUJRANWALA DISTRICT,4,Transgender,0,0,0
GUJRANWALA DISTRICT,5,Male,27592,37318,64910
GUJRANWALA DISTRICT,5,Female,26539,36084,62623
GUJRANWALA DISTRICT,5,Transgender,0,0,0
GUJRANWALA DISTRICT,6,Male,27464,36996,64460
GUJRANWALA DISTRICT,6,Female,26216,35087,61303
GUJRANWALA DISTRICT,6,Transgender,0,0,0
GUJRANWALA DISTRICT,7,Male,28583,39409,67992
GUJRANWALA DISTRICT,7,Female,26973,36948,63921
GUJRANWALA DISTRICT,7,Transgender,0,0,0
GUJRANWALA DISTRICT,8,Male,26429,34966,61395
GUJRANWALA DISTRICT,8,Female,24807,33442,58249
GUJRANWALA DISTRICT,8,Transgender,0,0,0
GUJRANWALA DISTRICT,9,Male,27914,37908,65822
GUJRANWALA DISTRICT,9,Female,25836,35617,61453
GUJRANWALA DISTRICT,9,Transgender,0,0,0
GUJRANWALA DISTRICT,10,Male,25169,33433,58602
GUJRANWALA DISTRICT,10,Female,24003,31634,55637
GUJRANWALA DISTRICT,10,Transgender,0,0,0
GUJRANWALA DISTRICT,11,Male,27389,37763,65152
GUJRANWALA DISTRICT,11,Female,26184,35579,61763
GUJRANWALA DISTRICT,11,Transgender,0,0,0
GUJRANWALA DISTRICT,12,Male,24825,33191,58016
GUJRANWALA DISTRICT,12,Female,23002,30909,53911
GUJRANWALA DISTRICT,12,Transgender,0,0,0
GUJRANWALA DISTRICT,13,Male,25716,35014,60730
GUJRANWALA DISTRICT,13,Female,24197,32982,57179
GUJRANWALA DISTRICT,13,Transgender,0,0,0
GUJRANWALA DISTRICT,14,Male,24557,32353,56910
GUJRANWALA DISTRICT,14,Female,22870,30396,53266
GUJRANWALA DISTRICT,14,Transgender,0,0,0
GUJRANWALA DISTRICT,15,Male,23852,32641,56493
GUJRANWALA DISTRICT,15,Female,23482,31223,54705
GUJRANWALA DISTRICT,15,Transgender,4,4,8
GUJRANWALA DISTRICT,16,Male,24247,32711,56958
GUJRANWALA DISTRICT,16,Female,23866,31393,55259
GUJRANWALA DISTRICT,16,Transgender,3,8,11
GUJRANWALA DISTRICT,17,Male,23223,33499,56722
GUJRANWALA DISTRICT,17,Female,23100,31888,54988
GUJRANWALA DISTRICT,17,Transgender,3,9,12
GUJRANWALA DISTRICT,18,Male,22045,30744,52789
GUJRANWALA DISTRICT,18,Female,20920,27556,48476
GUJRANWALA DISTRICT,18,Transgender,8,11,19
GUJRANWALA DISTRICT,19,Male,21757,31669,53426
GUJRANWALA DISTRICT,19,Female,22529,31270,53799
GUJRANWALA DISTRICT,19,Transgender,7,9,16
GUJRANWALA DISTRICT,20,Male,19869,28764,48633
GUJRANWALA DISTRICT,20,Female,20110,26910,47020
GUJRANWALA DISTRICT,20,Transgender,4,20,24
GUJRANWALA DISTRICT,21,Male,20336,31284,51620
GUJRANWALA DISTRICT,21,Female,22754,32694,55448
GUJRANWALA DISTRICT,21,Transgender,7,8,15
GUJRANWALA DISTRICT,22,Male,18962,29109,48071
GUJRANWALA DISTRICT,22,Female,21667,30769,52436
GUJRANWALA DISTRICT,22,Transgender,8,19,27
GUJRANWALA DISTRICT,23,Male,17789,28003,45792
GUJRANWALA DISTRICT,23,Female,20867,30583,51450
GUJRANWALA DISTRICT,23,Transgender,6,5,11
GUJRANWALA DISTRICT,24,Male,17002,27989,44991
GUJRANWALA DISTRICT,24,Female,20044,30278,50322
GUJRANWALA DISTRICT,24,Transgender,7,11,18
GUJRANWALA DISTRICT,25,Male,15174,24298,39472
GUJRANWALA DISTRICT,25,Female,17719,25150,42869
GUJRANWALA DISTRICT,25,Transgender,10,22,32
GUJRANWALA DISTRICT,26,Male,15566,26787,42353
GUJRANWALA DISTRICT,26,Female,18739,28685,47424
GUJRANWALA DISTRICT,26,Transgender,3,11,14
GUJRANWALA DISTRICT,27,Male,14227,24545,38772
GUJRANWALA DISTRICT,27,Female,17129,27004,44133
GUJRANWALA DISTRICT,27,Transgender,3,13,16
GUJRANWALA DISTRICT,28,Male,14480,24657,39137
GUJRANWALA DISTRICT,28,Female,17151,27271,44422
GUJRANWALA DISTRICT,28,Transgender,8,18,26
GUJRANWALA DISTRICT,29,Male,13630,22211,35841
GUJRANWALA DISTRICT,29,Female,15623,23780,39403
GUJRANWALA DISTRICT,29,Transgender,2,7,9
GUJRANWALA DISTRICT,30,Male,13894,22985,36879
GUJRANWALA DISTRICT,30,Female,16343,24819,41162
GUJRANWALA DISTRICT,30,Transgender,8,19,27
GUJRANWALA DISTRICT,31,Male,12721,21378,34099
GUJRANWALA DISTRICT,31,Female,14412,22239,36651
GUJRANWALA DISTRICT,31,Transgender,2,10,12
GUJRANWALA DISTRICT,32,Male,12729,23013,35742
GUJRANWALA DISTRICT,32,Female,15010,23466,38476
GUJRANWALA DISTRICT,32,Transgender,9,15,24
GUJRANWALA DISTRICT,33,Male,11514,20860,32374
GUJRANWALA DISTRICT,33,Female,13828,21526,35354
GUJRANWALA DISTRICT,33,Transgender,5,6,11
GUJRANWALA DISTRICT,34,Male,11429,19154,30583
GUJRANWALA DISTRICT,34,Female,12857,19486,32343
GUJRANWALA DISTRICT,34,Transgender,0,3,3
GUJRANWALA DISTRICT,35,Male,12361,19290,31651
GUJRANWALA DISTRICT,35,Female,13151,19272,32423
GUJRANWALA DISTRICT,35,Transgender,10,15,25
GUJRANWALA DISTRICT,36,Male,12205,18645,30850
GUJRANWALA DISTRICT,36,Female,12292,18363,30655
GUJRANWALA DISTRICT,36,Transgender,3,6,9
GUJRANWALA DISTRICT,37,Male,10986,16450,27436
GUJRANWALA DISTRICT,37,Female,11872,16147,28019
GUJRANWALA DISTRICT,37,Transgender,4,10,14
GUJRANWALA DISTRICT,38,Male,11675,19824,31499
GUJRANWALA DISTRICT,38,Female,12135,20065,32200
GUJRANWALA DISTRICT,38,Transgender,3,4,7
GUJRANWALA DISTRICT,39,Male,11048,16944,27992
GUJRANWALA DISTRICT,39,Female,11820,16669,28489
GUJRANWALA DISTRICT,39,Transgender,1,7,8
GUJRANWALA DISTRICT,40,Male,10998,19332,30330
GUJRANWALA DISTRICT,40,Female,11438,18076,29514
GUJRANWALA DISTRICT,40,Transgender,13,27,40
GUJRANWALA DISTRICT,41,Male,9869,15346,25215
GUJRANWALA DISTRICT,41,Female,10511,14838,25349
GUJRANWALA DISTRICT,41,Transgender,3,3,6
GUJRANWALA DISTRICT,42,Male,9615,15722,25337
GUJRANWALA DISTRICT,42,Female,10265,14762,25027
GUJRANWALA DISTRICT,42,Transgender,2,7,9
GUJRANWALA DISTRICT,43,Male,8970,14551,23521
GUJRANWALA DISTRICT,43,Female,9443,14681,24124
GUJRANWALA DISTRICT,43,Transgender,3,4,7
GUJRANWALA DISTRICT,44,Male,8746,13222,21968
GUJRANWALA DISTRICT,44,Female,8796,13160,21956
GUJRANWALA DISTRICT,44,Transgender,0,1,1
GUJRANWALA DISTRICT,45,Male,8727,14530,23257
GUJRANWALA DISTRICT,45,Female,8493,13535,22028
GUJRANWALA DISTRICT,45,Transgender,6,17,23
GUJRANWALA DISTRICT,46,Male,7834,11512,19346
GUJRANWALA DISTRICT,46,Female,7686,10996,18682
GUJRANWALA DISTRICT,46,Transgender,1,3,4
GUJRANWALA DISTRICT,47,Male,7921,11095,19016
GUJRANWALA DISTRICT,47,Female,7889,9854,17743
GUJRANWALA DISTRICT,47,Transgender,1,7,8
GUJRANWALA DISTRICT,48,Male,8609,12480,21089
GUJRANWALA DISTRICT,48,Female,8038,12739,20777
GUJRANWALA DISTRICT,48,Transgender,2,3,5
GUJRANWALA DISTRICT,49,Male,8439,11785,20224
GUJRANWALA DISTRICT,49,Female,8061,11696,19757
GUJRANWALA DISTRICT,49,Transgender,0,0,0
GUJRANWALA DISTRICT,50,Male,8679,14296,22975
GUJRANWALA DISTRICT,50,Female,8048,13204,21252
GUJRANWALA DISTRICT,50,Transgender,6,11,17
GUJRANWALA DISTRICT,51,Male,7977,10914,18891
GUJRANWALA DISTRICT,51,Female,7409,10362,17771
GUJRANWALA DISTRICT,51,Transgender,1,1,2
GUJRANWALA DISTRICT,52,Male,8383,11590,19973
GUJRANWALA DISTRICT,52,Female,7311,10015,17326
GUJRANWALA DISTRICT,52,Transgender,3,3,6
GUJRANWALA DISTRICT,53,Male,7675,11089,18764
GUJRANWALA DISTRICT,53,Female,6641,10576,17217
GUJRANWALA DISTRICT,53,Transgender,1,0,1
GUJRANWALA DISTRICT,54,Male,7257,10158,17415
GUJRANWALA DISTRICT,54,Female,6092,9400,15492
GUJRANWALA DISTRICT,54,Transgender,1,2,3
GUJRANWALA DISTRICT,55,Male,6971,11054,18025
GUJRANWALA DISTRICT,55,Female,5456,9135,14591
GUJRANWALA DISTRICT,55,Transgender,3,8,11
GUJRANWALA DISTRICT,56,Male,5823,8318,14141
GUJRANWALA DISTRICT,56,Female,4722,6909,11631
GUJRANWALA DISTRICT,56,Transgender,1,1,2
GUJRANWALA DISTRICT,57,Male,5272,7073,12345
GUJRANWALA DISTRICT,57,Female,4519,5294,9813
GUJRANWALA DISTRICT,57,Transgender,1,2,3
GUJRANWALA DISTRICT,58,Male,5503,7362,12865
GUJRANWALA DISTRICT,58,Female,4832,6784,11616
GUJRANWALA DISTRICT,58,Transgender,1,5,6
GUJRANWALA DISTRICT,59,Male,5342,7078,12420
GUJRANWALA DISTRICT,59,Female,4555,6367,10922
GUJRANWALA DISTRICT,59,Transgender,0,0,0
GUJRANWALA DISTRICT,60,Male,5474,8325,13799
GUJRANWALA DISTRICT,60,Female,4640,6822,11462
GUJRANWALA DISTRICT,60,Transgender,6,9,15
GUJRANWALA DISTRICT,61,Male,4777,6620,11397
GUJRANWALA DISTRICT,61,Female,4096,5363,9459
GUJRANWALA DISTRICT,61,Transgender,1,0,1
GUJRANWALA DISTRICT,62,Male,4704,6733,11437
GUJRANWALA DISTRICT,62,Female,3915,5173,9088
GUJRANWALA DISTRICT,62,Transgender,1,2,3
GUJRANWALA DISTRICT,63,Male,4313,6520,10833
GUJRANWALA DISTRICT,63,Female,3745,5525,9270
GUJRANWALA DISTRICT,63,Transgender,2,1,3
GUJRANWALA DISTRICT,64,Male,4007,5422,9429
