district,age,sex,rural,urban,total
ABBOTTABAD DISTRICT,31,Male,7480,2462,9942
ABBOTTABAD DISTRICT,31,Female,8426,2302,10728
ABBOTTABAD DISTRICT,31,Transgender,1,0,1
ABBOTTABAD DISTRICT,32,Male,7319,2434,9753
ABBOTTABAD DISTRICT,32,Female,8165,2371,10536
ABBOTTABAD DISTRICT,32,Transgender,0,0,0
ABBOTTABAD DISTRICT,33,Male,7082,2299,9381
ABBOTTABAD DISTRICT,33,Female,7558,2152,9710
ABBOTTABAD DISTRICT,33,Transgender,1,1,2
ABBOTTABAD DISTRICT,34,Male,6850,2021,8871
ABBOTTABAD DISTRICT,34,Female,7376,2028,9404
ABBOTTABAD DISTRICT,34,Transgender,0,0,0
ABBOTTABAD DISTRICT,35,Male,5942,1920,7862
ABBOTTABAD DISTRICT,35,Female,6341,1853,8194
ABBOTTABAD DISTRICT,35,Transgender,1,0,1
ABBOTTABAD DISTRICT,36,Male,6468,1942,8410
ABBOTTABAD DISTRICT,36,Female,6705,1951,8656
ABBOTTABAD DISTRICT,36,Transgender,0,2,2
ABBOTTABAD DISTRICT,37,Male,5654,1676,7330
ABBOTTABAD DISTRICT,37,Female,5991,1651,7642
ABBOTTABAD DISTRICT,37,Transgender,0,0,0
ABBOTTABAD DISTRICT,38,Male,6838,2149,8987
ABBOTTABAD DISTRICT,38,Female,6387,2050,8437
ABBOTTABAD DISTRICT,38,Transgender,2,2,4
ABBOTTABAD DISTRICT,39,Male,5909,1765,7674
ABBOTTABAD DISTRICT,39,Female,6120,1704,7824
ABBOTTABAD DISTRICT,39,Transgender,0,0,0
ABBOTTABAD DISTRICT,40,Male,5621,1944,7565
ABBOTTABAD DISTRICT,40,Female,5479,1736,7215
ABBOTTABAD DISTRICT,40,Transgender,0,0,0
ABBOTTABAD DISTRICT,41,Male,5094,1567,6661
ABBOTTABAD DISTRICT,41,Female,5266,1461,6727
ABBOTTABAD DISTRICT,41,Transgender,1,0,1
ABBOTTABAD DISTRICT,42,Male,4923,1646,6569
ABBOTTABAD DISTRICT,42,Female,4827,1492,6319
ABBOTTABAD DISTRICT,42,Transgender,0,1,1
ABBOTTABAD DISTRICT,43,Male,4888,1499,6387
ABBOTTABAD DISTRICT,43,Female,4815,1490,6305
ABBOTTABAD DISTRICT,43,Transgender,0,0,0
ABBOTTABAD DISTRICT,44,Male,4618,1381,5999
ABBOTTABAD DISTRICT,44,Female,4715,1388,6103
ABBOTTABAD DISTRICT,44,Transgender,0,0,0
ABBOTTABAD DISTRICT,45,Male,4083,1460,5543
ABBOTTABAD DISTRICT,45,Female,4416,1347,5763
ABBOTTABAD DISTRICT,45,Transgender,2,0,2
ABBOTTABAD DISTRICT,46,Male,4242,1282,5524
ABBOTTABAD DISTRICT,46,Female,4547,1176,5723
ABBOTTABAD DISTRICT,46,Transgender,1,0,1
ABBOTTABAD DISTRICT,47,Male,3789,1117,4906
