district,hh_anysource,radio,tv,newspaper,telephone,mobile,computerinternet
KARACHI CENTRAL DISTRICT,530263,39623,465330,77133,73986,522912,184736
KARACHI EAST DISTRICT,493059,28521,404810,79385,97159,486105,203824
KARACHI SOUTH DISTRICT,315711,22802,276917,49658,48011,310422,94014
KARACHI WEST DISTRICT,612623,35205,438060,35863,14256,602835,80274
KORANGI DISTRICT,434040,30091,371006,38358,28609,427557,95395
MALIR DISTRICT,302965,15173,205004,32143,16185,297271,48771
MIRPUR KHAS DISTRICT,226597,7734,92060,12833,4669,221628,11791
THARPARKAR DISTRICT,207694,6786,11967,6607,2018,205537,4311
UMER KOT DISTRICT,155867,6034,37646,8381,2544,152901,6420
SANGHAR DISTRICT,298787,11765,121263,14938,5096,291547,13523
NAUSHAHRO FEROZE DISTRICT,233236,7616,132048,10332,4553,223871,11052
SHAHEED BENAZIRABAD DISTRICT,241192,7776,127315,11575,5213,232369,13109
AWARAN DISTRICT,9169,2461,812,123,176,7051,104
KALAT DISTRICT,43664,6229,7525,3484,925,42056,2309
KHARAN DISTRICT,18053,2748,4228,1323,990,16882,864
KHUZDAR DISTRICT,86087,19345,21578,9295,5113,79539,4667
LASBELA DISTRICT,70708,5351,20245,3832,1192,67423,2853
MASTUNG DISTRICT,33688,3875,8617,1697,908,32771,2018
WASHUK DISTRICT,14014,4951,2836,1372,2994,8969,639
GWADAR DISTRICT,36419,5636,20176,2585,1268,35750,2455
KECH DISTRICT,123122,37834,65051,19596,14992,114489,12211
PANJGUR DISTRICT,35026,12054,22736,6700,5191,33624,3942
JAFFARABAD DISTRICT,67325,2247,26318,1178,771,65970,1595
JHAL MAGSI DISTRICT,21312,1547,3574,371,442,21054,451
KACHHI DISTRICT,37865,3474,12162,1132,616,37279,1028
NASIRABAD DISTRICT,57578,2841,20161,1599,1320,56525,1263
SOHBATPUR DISTRICT,25509,400,7732,388,242,25175,488
CHAGAI DISTRICT,22941,3751,3183,779,1207,22372,749
KILLA ABDULLAH DISTRICT,91448,45359,15478,11734,7401,84603,6352
NUSHKI DISTRICT,19969,3314,7186,2604,1020,19332,3384
PISHIN DISTRICT,116643,47384,21322,20025,7434,110574,10629
QUETTA DISTRICT,265950,25822,154752,23960,23687,262978,57145
DERA BUGTI DISTRICT,24360,9505,7976,463,3479,13141,1611
HARNAI DISTRICT,13570,1861,2445,648,357,13212,406
KOHLU DISTRICT,15161,6606,4056,742,1151,12005,536
SIBI DISTRICT,23924,1109,14591,607,782,23118,1779
ZIARAT DISTRICT,23621,6606,3425,2973,534,21895,1025
BARKHAN DISTRICT,21974,5079,4226,1116,1619,21499,965
KILLA SAIFULLAH DISTRICT,47770,9371,5760,2818,653,47022,1846
LORALAI DISTRICT,49736,7967,11718,2925,1421,49180,2567
MUSAKHEL DISTRICT,21889,4259,1904,224,431,21466,500
SHERANI DISTRICT,17710,6392,326,394,1100,17182,717
ZHOB DISTRICT,35521,6744,7684,2437,1145,33577,1602
