district,group,relationship,sex,total_pop,never_married,married,widowed,divorced
BANNU DISTRICT,URBAN,Spouse,Male,149,,149,,
BANNU DISTRICT,URBAN,Spouse,Female,4903,,4903,,
BANNU DISTRICT,URBAN,Son/Daughter,Overall,8030,6088,1918,17,7
BANNU DISTRICT,URBAN,Son/Daughter,Male,5200,3420,1777,2,1
BANNU DISTRICT,URBAN,Son/Daughter,Female,2830,2668,141,15,6
BANNU DISTRICT,URBAN,Son/Daughter,Transgender,,,,,
BANNU DISTRICT,URBAN,Daughter / Son In Law,Overall,1935,,1921,14,
BANNU DISTRICT,URBAN,Daughter / Son In Law,Male,42,,42,,
BANNU DISTRICT,URBAN,Daughter / Son In Law,Female,1893,,1879,14,
BANNU DISTRICT,URBAN,Grand Son / Grand Daughter,Overall,349,319,29,1,
BANNU DISTRICT,URBAN,Grand Son / Grand Daughter,Male,193,171,22,,
BANNU DISTRICT,URBAN,Grand Son / Grand Daughter,Female,156,148,7,1,
BANNU DISTRICT,URBAN,Grand Son / Grand Daughter,Transgender,,,,,
BANNU DISTRICT,URBAN,Father/Mother,Overall,995,,520,474,1
BANNU DISTRICT,URBAN,Father/Mother,Male,229,,189,40,
BANNU DISTRICT,URBAN,Father/Mother,Female,766,,331,434,1
BANNU DISTRICT,URBAN,Brother / Sister,Overall,2442,1413,982,40,7
BANNU DISTRICT,URBAN,Brother / Sister,Male,1594,686,893,12,3
BANNU DISTRICT,URBAN,Brother / Sister,Female,848,727,89,28,4
BANNU DISTRICT,URBAN,Brother / Sister,Transgender,,,,,
BANNU DISTRICT,URBAN,Other Relative,Overall,2349,889,1354,101,5
BANNU DISTRICT,URBAN,Other Relative,Male,756,493,255,6,2
BANNU DISTRICT,URBAN,Other Relative,Female,1593,396,1099,95,3
BANNU DISTRICT,URBAN,Other Relative,Transgender,,,,,
BANNU DISTRICT,URBAN,Non-Relative,Overall,4800,2088,2693,16,3
BANNU DISTRICT,URBAN,Non-Relative,Male,4348,1871,2470,5,2
BANNU DISTRICT,URBAN,Non-Relative,Female,452,217,223,11,1
BANNU DISTRICT,URBAN,Non-Relative,Transgender,,,,,
LAKKI MARWAT DISTRICT,OVERALL,Head,Overall,97947,3064,89591,5220,72
LAKKI MARWAT DISTRICT,OVERALL,Head,Male,86911,2832,81918,2126,35
LAKKI MARWAT DISTRICT,OVERALL,Head,Female,11036,232,7673,3094,37
LAKKI MARWAT DISTRICT,OVERALL,Head,Transgender,,,,,
LAKKI MARWAT DISTRICT,OVERALL,Spouse,Overall,86426,,86426,,
LAKKI MARWAT DISTRICT,OVERALL,Spouse,Male,2757,,2757,,
LAKKI MARWAT DISTRICT,OVERALL,Spouse,Female,83669,,83669,,
LAKKI MARWAT DISTRICT,OVERALL,Son/Daughter,Overall,139371,103194,35555,360,262
LAKKI MARWAT DISTRICT,OVERALL,Son/Daughter,Male,93234,59168,33869,147,50
LAKKI MARWAT DISTRICT,OVERALL,Son/Daughter,Female,46136,44025,1686,213,212
LAKKI MARWAT DISTRICT,OVERALL,Son/Daughter,Transgender,1,1,,,
LAKKI MARWAT DISTRICT,OVERALL,Daughter / Son In Law,Overall,44547,,44192,348,7
LAKKI MARWAT DISTRICT,OVERALL,Daughter / Son In Law,Male,501,,497,4,
LAKKI MARWAT DISTRICT,OVERALL,Daughter / Son In Law,Female,44046,,43695,344,7
LAKKI MARWAT DISTRICT,OVERALL,Grand Son / Grand Daughter,Overall,7274,6323,943,8,
LAKKI MARWAT DISTRICT,OVERALL,Grand Son / Grand Daughter,Male,4029,3407,620,2,
LAKKI MARWAT DISTRICT,OVERALL,Grand Son / Grand Daughter,Female,3245,2916,323,6,
LAKKI MARWAT DISTRICT,OVERALL,Grand Son / Grand Daughter,Transgender,,,,,
LAKKI MARWAT DISTRICT,OVERALL,Father/Mother,Overall,18290,,9944,8323,23
LAKKI MARWAT DISTRICT,OVERALL,Father/Mother,Male,4866,,4050,815,1
LAKKI MARWAT DISTRICT,OVERALL,Father/Mother,Female,13424,,5894,7508,22
LAKKI MARWAT DISTRICT,OVERALL,Brother / Sister,Overall,30626,17054,12780,584,208
LAKKI MARWAT DISTRICT,OVERALL,Brother / Sister,Male,21535,9268,12071,164,32
LAKKI MARWAT DISTRICT,OVERALL,Brother / Sister,Female,9088,7783,709,420,176
LAKKI MARWAT DISTRICT,OVERALL,Brother / Sister,Transgender,3,3,,,
LAKKI MARWAT DISTRICT,OVERALL,Other Relative,Overall,33031,8879,22237,1854,61
LAKKI MARWAT DISTRICT,OVERALL,Other Relative,Male,8337,4620,3508,204,5
LAKKI MARWAT DISTRICT,OVERALL,Other Relative,Female,24694,4259,18729,1650,56
LAKKI MARWAT DISTRICT,OVERALL,Other Relative,Transgender,,,,,
LAKKI MARWAT DISTRICT,OVERALL,Non-Relative,Overall,11463,5188,6076,187,12
LAKKI MARWAT DISTRICT,OVERALL,Non-Relative,Male,6551,3399,3118,28,6
LAKKI MARWAT DISTRICT,OVERALL,Non-Relative,Female,4912,1789,2958,159,6
