district,group,relationship,sex,total_pop,never_married,married,widowed,divorced
FR D.I.KHAN,RURAL,Son/Daughter,Male,5503,3078,2412,11,2
FR D.I.KHAN,RURAL,Son/Daughter,Female,1291,1223,60,5,3
FR D.I.KHAN,RURAL,Son/Daughter,Transgender,,,,,
FR D.I.KHAN,RURAL,Daughter / Son In Law,Overall,3083,,3055,28,
FR D.I.KHAN,RURAL,Daughter / Son In Law,Male,27,,26,1,
FR D.I.KHAN,RURAL,Daughter / Son In Law,Female,3056,,3029,27,
FR D.I.KHAN,RURAL,Grand Son / Grand Daughter,Overall,290,238,52,,
FR D.I.KHAN,RURAL,Grand Son / Grand Daughter,Male,192,162,30,,
FR D.I.KHAN,RURAL,Grand Son / Grand Daughter,Female,98,76,22,,
FR D.I.KHAN,RURAL,Grand Son / Grand Daughter,Transgender,,,,,
FR D.I.KHAN,RURAL,Father/Mother,Overall,1911,,1062,849,
FR D.I.KHAN,RURAL,Father/Mother,Male,487,,430,57,
FR D.I.KHAN,RURAL,Father/Mother,Female,1424,,632,792,
FR D.I.KHAN,RURAL,Brother / Sister,Overall,2655,1151,1478,23,3
FR D.I.KHAN,RURAL,Brother / Sister,Male,2320,863,1449,7,1
FR D.I.KHAN,RURAL,Brother / Sister,Female,334,287,29,16,2
FR D.I.KHAN,RURAL,Brother / Sister,Transgender,1,1,,,
FR D.I.KHAN,RURAL,Other Relative,Overall,3169,627,2354,186,2
FR D.I.KHAN,RURAL,Other Relative,Male,697,352,332,13,
FR D.I.KHAN,RURAL,Other Relative,Female,2469,272,2022,173,2
FR D.I.KHAN,RURAL,Other Relative,Transgender,3,3,,,
FR D.I.KHAN,RURAL,Non-Relative,Overall,1302,321,957,24,
FR D.I.KHAN,RURAL,Non-Relative,Male,833,250,581,2,
FR D.I.KHAN,RURAL,Non-Relative,Female,469,71,376,22,
FR D.I.KHAN,RURAL,Non-Relative,Transgender,,,,,
FR D.I.KHAN,URBAN,Head,Overall,,,,,
FR D.I.KHAN,URBAN,Head,Male,,,,,
FR D.I.KHAN,URBAN,Head,Female,,,,,
FR D.I.KHAN,URBAN,Head,Transgender,,,,,
FR D.I.KHAN,URBAN,Spouse,Overall,,,,,
FR D.I.KHAN,URBAN,Spouse,Male,,,,,
FR D.I.KHAN,URBAN,Spouse,Female,,,,,
FR D.I.KHAN,URBAN,Son/Daughter,Overall,,,,,
FR D.I.KHAN,URBAN,Son/Daughter,Male,,,,,
FR D.I.KHAN,URBAN,Son/Daughter,Female,,,,,
FR D.I.KHAN,URBAN,Son/Daughter,Transgender,,,,,
FR D.I.KHAN,URBAN,Daughter / Son In Law,Overall,,,,,
FR D.I.KHAN,URBAN,Daughter / Son In Law,Male,,,,,
FR D.I.KHAN,URBAN,Daughter / Son In Law,Female,,,,,
FR D.I.KHAN,URBAN,Grand Son / Grand Daughter,Overall,,,,,
FR D.I.KHAN,URBAN,Grand Son / Grand Daughter,Male,,,,,
FR D.I.KHAN,URBAN,Grand Son / Grand Daughter,Female,,,,,
FR D.I.KHAN,URBAN,Grand Son / Grand Daughter,Transgender,,,,,
FR D.I.KHAN,URBAN,Father/Mother,Overall,,,,,
FR D.I.KHAN,URBAN,Father/Mother,Male,,,,,
FR D.I.KHAN,URBAN,Father/Mother,Female,,,,,
FR D.I.KHAN,URBAN,Brother / Sister,Overall,,,,,
FR D.I.KHAN,URBAN,Brother / Sister,Male,,,,,
FR D.I.KHAN,URBAN,Brother / Sister,Female,,,,,
FR D.I.KHAN,URBAN,Brother / Sister,Transgender,,,,,
FR D.I.KHAN,URBAN,Other Relative,Overall,,,,,
FR D.I.KHAN,URBAN,Other Relative,Male,,,,,
FR D.I.KHAN,URBAN,Other Relative,Female,,,,,
FR D.I.KHAN,URBAN,Other Relative,Transgender,,,,,
FR D.I.KHAN,URBAN,Non-Relative,Overall,,,,,
FR D.I.KHAN,URBAN,Non-Relative,Male,,,,,
FR D.I.KHAN,URBAN,Non-Relative,Female,,,,,
FR D.I.KHAN,URBAN,Non-Relative,Transgender,,,,,
FR KOHAT,OVERALL,Head,Overall,14202,669,12889,642,2
FR KOHAT,OVERALL,Head,Male,12200,640,11330,228,2
FR KOHAT,OVERALL,Head,Female,2002,29,1559,414,
FR KOHAT,OVERALL,Head,Transgender,,,,,
FR KOHAT,OVERALL,Spouse,Overall,11582,,11582,,
FR KOHAT,OVERALL,Spouse,Male,235,,235,,
FR KOHAT,OVERALL,Spouse,Female,11347,,11347,,
FR KOHAT,OVERALL,Son/Daughter,Overall,16194,11507,4639,31,17
FR KOHAT,OVERALL,Son/Daughter,Male,11532,7057,4465,7,3
FR KOHAT,OVERALL,Son/Daughter,Female,4661,4449,174,24,14
FR KOHAT,OVERALL,Son/Daughter,Transgender,1,1,,,
FR KOHAT,OVERALL,Daughter / Son In Law,Overall,6835,,6750,85,
FR KOHAT,OVERALL,Daughter / Son In Law,Male,64,,64,,
FR KOHAT,OVERALL,Daughter / Son In Law,Female,6771,,6686,85,
FR KOHAT,OVERALL,Grand Son / Grand Daughter,Overall,1959,1730,226,3,
FR KOHAT,OVERALL,Grand Son / Grand Daughter,Male,1167,997,169,1,
FR KOHAT,OVERALL,Grand Son / Grand Daughter,Female,792,733,57,2,
FR KOHAT,OVERALL,Grand Son / Grand Daughter,Transgender,,,,,
FR KOHAT,OVERALL,Father/Mother,Overall,3860,,2592,1266,2
FR KOHAT,OVERALL,Father/Mother,Male,1142,,1026,116,
FR KOHAT,OVERALL,Father/Mother,Female,2718,,1566,1150,2
FR KOHAT,OVERALL,Brother / Sister,Overall,4351,2349,1958,31,13
FR KOHAT,OVERALL,Brother / Sister,Male,3254,1359,1885,8,2
FR KOHAT,OVERALL,Brother / Sister,Female,1096,989,73,23,11
FR KOHAT,OVERALL,Brother / Sister,Transgender,1,1,,,
FR KOHAT,OVERALL,Other Relative,Overall,6822,1757,4681,380,4
FR KOHAT,OVERALL,Other Relative,Male,1619,995,605,19,
FR KOHAT,OVERALL,Other Relative,Female,5200,759,4076,361,4
FR KOHAT,OVERALL,Other Relative,Transgender,3,3,,,
FR KOHAT,OVERALL,Non-Relative,Overall,3383,761,2598,22,2
FR KOHAT,OVERALL,Non-Relative,Male,2914,657,2252,3,2
FR KOHAT,OVERALL,Non-Relative,Female,469,104,346,19,
FR KOHAT,OVERALL,Non-Relative,Transgender,,,,,
FR KOHAT,RURAL,Head,Overall,14202,669,12889,642,2
FR KOHAT,RURAL,Head,Male,12200,640,11330,228,2
FR KOHAT,RURAL,Head,Female,2002,29,1559,414,
FR KOHAT,RURAL,Head,Transgender,,,,,
FR KOHAT,RURAL,Spouse,Overall,11582,,11582,,
FR KOHAT,RURAL,Spouse,Male,235,,235,,
FR KOHAT,RURAL,Spouse,Female,11347,,11347,,
FR KOHAT,RURAL,Son/Daughter,Overall,16194,11507,4639,31,17
FR KOHAT,RURAL,Son/Daughter,Male,11532,7057,4465,7,3
FR KOHAT,RURAL,Son/Daughter,Female,4661,4449,174,24,14
FR KOHAT,RURAL,Son/Daughter,Transgender,1,1,,,
FR KOHAT,RURAL,Daughter / Son In Law,Overall,6835,,6750,85,
FR KOHAT,RURAL,Daughter / Son In Law,Male,64,,64,,
FR KOHAT,RURAL,Daughter / Son In Law,Female,6771,,6686,85,
FR KOHAT,RURAL,Grand Son / Grand Daughter,Overall,1959,1730,226,3,
FR KOHAT,RURAL,Grand Son / Grand Daughter,Male,1167,997,169,1,
FR KOHAT,RURAL,Grand Son / Grand Daughter,Female,792,733,57,2,
FR KOHAT,RURAL,Grand Son / Grand Daughter,Transgender,,,,,
FR KOHAT,RURAL,Father/Mother,Overall,3860,,2592,1266,2
FR KOHAT,RURAL,Father/Mother,Male,1142,,1026,116,
FR KOHAT,RURAL,Father/Mother,Female,2718,,1566,1150,2
FR KOHAT,RURAL,Brother / Sister,Overall,4351,2349,1958,31,13
FR KOHAT,RURAL,Brother / Sister,Male,3254,1359,1885,8,2
FR KOHAT,RURAL,Brother / Sister,Female,1096,989,73,23,11
FR KOHAT,RURAL,Brother / Sister,Transgender,1,1,,,
FR KOHAT,RURAL,Other Relative,Overall,6822,1757,4681,380,4
FR KOHAT,RURAL,Other Relative,Male,1619,995,605,19,
FR KOHAT,RURAL,Other Relative,Female,5200,759,4076,361,4
FR KOHAT,RURAL,Other Relative,Transgender,3,3,,,
FR KOHAT,RURAL,Non-Relative,Overall,3383,761,2598,22,2
FR KOHAT,RURAL,Non-Relative,Male,2914,657,2252,3,2
FR KOHAT,RURAL,Non-Relative,Female,469,104,346,19,
FR KOHAT,RURAL,Non-Relative,Transgender,,,,,
FR KOHAT,URBAN,Head,Overall,,,,,
FR KOHAT,URBAN,Head,Male,,,,,
FR KOHAT,URBAN,Head,Female,,,,,
FR KOHAT,URBAN,Head,Transgender,,,,,
FR KOHAT,URBAN,Spouse,Overall,,,,,
FR KOHAT,URBAN,Spouse,Male,,,,,
FR KOHAT,URBAN,Spouse,Female,,,,,
FR KOHAT,URBAN,Son/Daughter,Overall,,,,,
FR KOHAT,URBAN,Son/Daughter,Male,,,,,
FR KOHAT,URBAN,Son/Daughter,Female,,,,,
FR KOHAT,URBAN,Son/Daughter,Transgender,,,,,
FR KOHAT,URBAN,Daughter / Son In Law,Overall,,,,,
FR KOHAT,URBAN,Daughter / Son In Law,Male,,,,,
FR KOHAT,URBAN,Daughter / Son In Law,Female,,,,,
FR KOHAT,URBAN,Grand Son / Grand Daughter,Overall,,,,,
FR KOHAT,URBAN,Grand Son / Grand Daughter,Male,,,,,
FR KOHAT,URBAN,Grand Son / Grand Daughter,Female,,,,,
FR KOHAT,URBAN,Grand Son / Grand Daughter,Transgender,,,,,
FR KOHAT,URBAN,Father/Mother,Overall,,,,,
FR KOHAT,URBAN,Father/Mother,Male,,,,,
FR KOHAT,URBAN,Father/Mother,Female,,,,,
FR KOHAT,URBAN,Brother / Sister,Overall,,,,,
FR KOHAT,URBAN,Brother / Sister,Male,,,,,
FR KOHAT,URBAN,Brother / Sister,Female,,,,,
FR KOHAT,URBAN,Brother / Sister,Transgender,,,,,
FR KOHAT,URBAN,Other Relative,Overall,,,,,
FR KOHAT,URBAN,Other Relative,Male,,,,,
FR KOHAT,URBAN,Other Relative,Female,,,,,
FR KOHAT,URBAN,Other Relative,Transgender,,,,,
FR KOHAT,URBAN,Non-Relative,Overall,,,,,
FR KOHAT,URBAN,Non-Relative,Male,,,,,
FR KOHAT,URBAN,Non-Relative,Female,,,,,
FR KOHAT,URBAN,Non-Relative,Transgender,,,,,
FR LAKKI MARWAT,OVERALL,Head,Overall,3308,93,3060,154,1
FR LAKKI MARWAT,OVERALL,Head,Male,2822,86,2708,27,1
FR LAKKI MARWAT,OVERALL,Head,Female,486,7,352,127,
FR LAKKI MARWAT,OVERALL,Head,Transgender,,,,,
FR LAKKI MARWAT,OVERALL,Spouse,Overall,2964,,2964,,
FR LAKKI MARWAT,OVERALL,Spouse,Male,164,,164,,
FR LAKKI MARWAT,OVERALL,Spouse,Female,2800,,2800,,
FR LAKKI MARWAT,OVERALL,Son/Daughter,Overall,2764,1974,779,8,3
FR LAKKI MARWAT,OVERALL,Son/Daughter,Male,1989,1246,740,3,
FR LAKKI MARWAT,OVERALL,Son/Daughter,Female,775,728,39,5,3
FR LAKKI MARWAT,OVERALL,Son/Daughter,Transgender,,,,,
FR LAKKI MARWAT,OVERALL,Daughter / Son In Law,Overall,922,,913,8,1
FR LAKKI MARWAT,OVERALL,Daughter / Son In Law,Male,9,,9,,
FR LAKKI MARWAT,OVERALL,Daughter / Son In Law,Female,913,,904,8,1
FR LAKKI MARWAT,OVERALL,Grand Son / Grand Daughter,Overall,126,107,18,1,
FR LAKKI MARWAT,OVERALL,Grand Son / Grand Daughter,Male,58,49,9,,
FR LAKKI MARWAT,OVERALL,Grand Son / Grand Daughter,Female,68,58,9,1,
FR LAKKI MARWAT,OVERALL,Grand Son / Grand Daughter,Transgender,,,,,
FR LAKKI MARWAT,OVERALL,Father/Mother,Overall,660,,421,239,
FR LAKKI MARWAT,OVERALL,Father/Mother,Male,208,,176,32,
FR LAKKI MARWAT,OVERALL,Father/Mother,Female,452,,245,207,
FR LAKKI MARWAT,OVERALL,Brother / Sister,Overall,863,453,391,17,2
FR LAKKI MARWAT,OVERALL,Brother / Sister,Male,644,276,363,5,
FR LAKKI MARWAT,OVERALL,Brother / Sister,Female,219,177,28,12,2
FR LAKKI MARWAT,OVERALL,Brother / Sister,Transgender,,,,,
FR LAKKI MARWAT,OVERALL,Other Relative,Overall,1314,486,749,78,1
FR LAKKI MARWAT,OVERALL,Other Relative,Male,450,276,159,15,
FR LAKKI MARWAT,OVERALL,Other Relative,Female,864,210,590,63,1
FR LAKKI MARWAT,OVERALL,Other Relative,Transgender,,,,,
FR LAKKI MARWAT,OVERALL,Non-Relative,Overall,285,42,233,10,
FR LAKKI MARWAT,OVERALL,Non-Relative,Male,218,32,184,2,
FR LAKKI MARWAT,OVERALL,Non-Relative,Female,67,10,49,8,
FR LAKKI MARWAT,OVERALL,Non-Relative,Transgender,,,,,
FR LAKKI MARWAT,RURAL,Head,Overall,3308,93,3060,154,1
FR LAKKI MARWAT,RURAL,Head,Male,2822,86,2708,27,1
FR LAKKI MARWAT,RURAL,Head,Female,486,7,352,127,
FR LAKKI MARWAT,RURAL,Head,Transgender,,,,,
FR LAKKI MARWAT,RURAL,Spouse,Overall,2964,,2964,,
FR LAKKI MARWAT,RURAL,Spouse,Male,164,,164,,
FR LAKKI MARWAT,RURAL,Spouse,Female,2800,,2800,,
FR LAKKI MARWAT,RURAL,Son/Daughter,Overall,2764,1974,779,8,3
FR LAKKI MARWAT,RURAL,Son/Daughter,Male,1989,1246,740,3,
FR LAKKI MARWAT,RURAL,Son/Daughter,Female,775,728,39,5,3
FR LAKKI MARWAT,RURAL,Son/Daughter,Transgender,,,,,
FR LAKKI MARWAT,RURAL,Daughter / Son In Law,Overall,922,,913,8,1
FR LAKKI MARWAT,RURAL,Daughter / Son In Law,Male,9,,9,,
FR LAKKI MARWAT,RURAL,Daughter / Son In Law,Female,913,,904,8,1
FR LAKKI MARWAT,RURAL,Grand Son / Grand Daughter,Overall,126,107,18,1,
FR LAKKI MARWAT,RURAL,Grand Son / Grand Daughter,Male,58,49,9,,
FR LAKKI MARWAT,RURAL,Grand Son / Grand Daughter,Female,68,58,9,1,
FR LAKKI MARWAT,RURAL,Grand Son / Grand Daughter,Transgender,,,,,
FR LAKKI MARWAT,RURAL,Father/Mother,Overall,660,,421,239,
FR LAKKI MARWAT,RURAL,Father/Mother,Male,208,,176,32,
FR LAKKI MARWAT,RURAL,Father/Mother,Female,452,,245,207,
FR LAKKI MARWAT,RURAL,Brother / Sister,Overall,863,453,391,17,2
FR LAKKI MARWAT,RURAL,Brother / Sister,Male,644,276,363,5,
FR LAKKI MARWAT,RURAL,Brother / Sister,Female,219,177,28,12,2
FR LAKKI MARWAT,RURAL,Brother / Sister,Transgender,,,,,
FR LAKKI MARWAT,RURAL,Other Relative,Overall,1314,486,749,78,1
FR LAKKI MARWAT,RURAL,Other Relative,Male,450,276,159,15,
FR LAKKI MARWAT,RURAL,Other Relative,Female,864,210,590,63,1
FR LAKKI MARWAT,RURAL,Other Relative,Transgender,,,,,
FR LAKKI MARWAT,RURAL,Non-Relative,Overall,285,42,233,10,
FR LAKKI MARWAT,RURAL,Non-Relative,Male,218,32,184,2,
FR LAKKI MARWAT,RURAL,Non-Relative,Female,67,10,49,8,
FR LAKKI MARWAT,RURAL,Non-Relative,Transgender,,,,,
FR LAKKI MARWAT,URBAN,Head,Overall,,,,,
FR LAKKI MARWAT,URBAN,Head,Male,,,,,
FR LAKKI MARWAT,URBAN,Head,Female,,,,,
FR LAKKI MARWAT,URBAN,Head,Transgender,,,,,
FR LAKKI MARWAT,URBAN,Spouse,Overall,,,,,
FR LAKKI MARWAT,URBAN,Spouse,Male,,,,,
FR LAKKI MARWAT,URBAN,Spouse,Female,,,,,
FR LAKKI MARWAT,URBAN,Son/Daughter,Overall,,,,,
FR LAKKI MARWAT,URBAN,Son/Daughter,Male,,,,,
FR LAKKI MARWAT,URBAN,Son/Daughter,Female,,,,,
FR LAKKI MARWAT,URBAN,Son/Daughter,Transgender,,,,,
FR LAKKI MARWAT,URBAN,Daughter / Son In Law,Overall,,,,,
FR LAKKI MARWAT,URBAN,Daughter / Son In Law,Male,,,,,
FR LAKKI MARWAT,URBAN,Daughter / Son In Law,Female,,,,,
FR LAKKI MARWAT,URBAN,Grand Son / Grand Daughter,Overall,,,,,
FR LAKKI MARWAT,URBAN,Grand Son / Grand Daughter,Male,,,,,
FR LAKKI MARWAT,URBAN,Grand Son / Grand Daughter,Female,,,,,
FR LAKKI MARWAT,URBAN,Grand Son / Grand Daughter,Transgender,,,,,
FR LAKKI MARWAT,URBAN,Father/Mother,Overall,,,,,
FR LAKKI MARWAT,URBAN,Father/Mother,Male,,,,,
FR LAKKI MARWAT,URBAN,Father/Mother,Female,,,,,
FR LAKKI MARWAT,URBAN,Brother / Sister,Overall,,,,,
FR LAKKI MARWAT,URBAN,Brother / Sister,Male,,,,,
FR LAKKI MARWAT,URBAN,Brother / Sister,Female,,,,,
FR LAKKI MARWAT,URBAN,Brother / Sister,Transgender,,,,,
FR LAKKI MARWAT,URBAN,Other Relative,Overall,,,,,
FR LAKKI MARWAT,URBAN,Other Relative,Male,,,,,
FR LAKKI MARWAT,URBAN,Other Relative,Female,,,,,
FR LAKKI MARWAT,URBAN,Other Relative,Transgender,,,,,
FR LAKKI MARWAT,URBAN,Non-Relative,Overall,,,,,
FR LAKKI MARWAT,URBAN,Non-Relative,Male,,,,,
FR LAKKI MARWAT,URBAN,Non-Relative,Female,,,,,
FR LAKKI MARWAT,URBAN,Non-Relative,Transgender,,,,,
FR PESHAWAR,OVERALL,Head,Overall,7096,203,6541,349,3
FR PESHAWAR,OVERALL,Head,Male,6093,195,5788,109,1
FR PESHAWAR,OVERALL,Head,Female,1002,7,753,240,2
FR PESHAWAR,OVERALL,Head,Transgender,1,1,,,
FR PESHAWAR,OVERALL,Spouse,Overall,5906,,5906,,
FR PESHAWAR,OVERALL,Spouse,Male,92,,92,,
FR PESHAWAR,OVERALL,Spouse,Female,5814,,5814,,
FR PESHAWAR,OVERALL,Son/Daughter,Overall,10842,7355,3460,12,15
FR PESHAWAR,OVERALL,Son/Daughter,Male,7467,4086,3375,3,3
FR PESHAWAR,OVERALL,Son/Daughter,Female,3375,3269,85,9,12
FR PESHAWAR,OVERALL,Son/Daughter,Transgender,,,,,
FR PESHAWAR,OVERALL,Daughter / Son In Law,Overall,4932,,4889,42,1
FR PESHAWAR,OVERALL,Daughter / Son In Law,Male,40,,40,,
FR PESHAWAR,OVERALL,Daughter / Son In Law,Female,4892,,4849,42,1
FR PESHAWAR,OVERALL,Grand Son / Grand Daughter,Overall,1468,1317,150,1,
FR PESHAWAR,OVERALL,Grand Son / Grand Daughter,Male,854,730,124,,
FR PESHAWAR,OVERALL,Grand Son / Grand Daughter,Female,614,587,26,1,
FR PESHAWAR,OVERALL,Grand Son / Grand Daughter,Transgender,,,,,
FR PESHAWAR,OVERALL,Father/Mother,Overall,1494,,880,613,1
FR PESHAWAR,OVERALL,Father/Mother,Male,323,,272,51,
FR PESHAWAR,OVERALL,Father/Mother,Female,1171,,608,562,1
FR PESHAWAR,OVERALL,Brother / Sister,Overall,1939,1096,821,14,8
FR PESHAWAR,OVERALL,Brother / Sister,Male,1362,573,786,2,1
FR PESHAWAR,OVERALL,Brother / Sister,Female,576,522,35,12,7
FR PESHAWAR,OVERALL,Brother / Sister,Transgender,1,1,,,
FR PESHAWAR,OVERALL,Other Relative,Overall,2916,723,2016,173,4
FR PESHAWAR,OVERALL,Other Relative,Male,655,367,278,10,
FR PESHAWAR,OVERALL,Other Relative,Female,2259,354,1738,163,4
FR PESHAWAR,OVERALL,Other Relative,Transgender,2,2,,,
FR PESHAWAR,OVERALL,Non-Relative,Overall,774,222,537,15,
FR PESHAWAR,OVERALL,Non-Relative,Male,569,163,405,1,
FR PESHAWAR,OVERALL,Non-Relative,Female,205,59,132,14,
FR PESHAWAR,OVERALL,Non-Relative,Transgender,,,,,
FR PESHAWAR,RURAL,Head,Overall,7096,203,6541,349,3
FR PESHAWAR,RURAL,Head,Male,6093,195,5788,109,1
FR PESHAWAR,RURAL,Head,Female,1002,7,753,240,2
FR PESHAWAR,RURAL,Head,Transgender,1,1,,,
FR PESHAWAR,RURAL,Spouse,Overall,5906,,5906,,
FR PESHAWAR,RURAL,Spouse,Male,92,,92,,
FR PESHAWAR,RURAL,Spouse,Female,5814,,5814,,
FR PESHAWAR,RURAL,Son/Daughter,Overall,10842,7355,3460,12,15
FR PESHAWAR,RURAL,Son/Daughter,Male,7467,4086,3375,3,3
FR PESHAWAR,RURAL,Son/Daughter,Female,3375,3269,85,9,12
FR PESHAWAR,RURAL,Son/Daughter,Transgender,,,,,
FR PESHAWAR,RURAL,Daughter / Son In Law,Overall,4932,,4889,42,1
FR PESHAWAR,RURAL,Daughter / Son In Law,Male,40,,40,,
FR PESHAWAR,RURAL,Daughter / Son In Law,Female,4892,,4849,42,1
FR PESHAWAR,RURAL,Grand Son / Grand Daughter,Overall,1468,1317,150,1,
FR PESHAWAR,RURAL,Grand Son / Grand Daughter,Male,854,730,124,,
FR PESHAWAR,RURAL,Grand Son / Grand Daughter,Female,614,587,26,1,
FR PESHAWAR,RURAL,Grand Son / Grand Daughter,Transgender,,,,,
FR PESHAWAR,RURAL,Father/Mother,Overall,1494,,880,613,1
FR PESHAWAR,RURAL,Father/Mother,Male,323,,272,51,
FR PESHAWAR,RURAL,Father/Mother,Female,1171,,608,562,1
FR PESHAWAR,RURAL,Brother / Sister,Overall,1939,1096,821,14,8
FR PESHAWAR,RURAL,Brother / Sister,Male,1362,573,786,2,1
FR PESHAWAR,RURAL,Brother / Sister,Female,576,522,35,12,7
FR PESHAWAR,RURAL,Brother / Sister,Transgender,1,1,,,
FR PESHAWAR,RURAL,Other Relative,Overall,2916,723,2016,173,4
FR PESHAWAR,RURAL,Other Relative,Male,655,367,278,10,
FR PESHAWAR,RURAL,Other Relative,Female,2259,354,1738,163,4
FR PESHAWAR,RURAL,Other Relative,Transgender,2,2,,,
FR PESHAWAR,RURAL,Non-Relative,Overall,774,222,537,15,
FR PESHAWAR,RURAL,Non-Relative,Male,569,163,405,1,
FR PESHAWAR,RURAL,Non-Relative,Female,205,59,132,14,
FR PESHAWAR,RURAL,Non-Relative,Transgender,,,,,
FR PESHAWAR,URBAN,Head,Overall,,,,,
FR PESHAWAR,URBAN,Head,Male,,,,,
FR PESHAWAR,URBAN,Head,Female,,,,,
FR PESHAWAR,URBAN,Head,Transgender,,,,,
FR PESHAWAR,URBAN,Spouse,Overall,,,,,
FR PESHAWAR,URBAN,Spouse,Male,,,,,
FR PESHAWAR,URBAN,Spouse,Female,,,,,
FR PESHAWAR,URBAN,Son/Daughter,Overall,,,,,
FR PESHAWAR,URBAN,Son/Daughter,Male,,,,,
FR PESHAWAR,URBAN,Son/Daughter,Female,,,,,
FR PESHAWAR,URBAN,Son/Daughter,Transgender,,,,,
FR PESHAWAR,URBAN,Daughter / Son In Law,Overall,,,,,
FR PESHAWAR,URBAN,Daughter / Son In Law,Male,,,,,
FR PESHAWAR,URBAN,Daughter / Son In Law,Female,,,,,
FR PESHAWAR,URBAN,Grand Son / Grand Daughter,Overall,,,,,
FR PESHAWAR,URBAN,Grand Son / Grand Daughter,Male,,,,,
FR PESHAWAR,URBAN,Grand Son / Grand Daughter,Female,,,,,
FR PESHAWAR,URBAN,Grand Son / Grand Daughter,Transgender,,,,,
FR PESHAWAR,URBAN,Father/Mother,Overall,,,,,
FR PESHAWAR,URBAN,Father/Mother,Male,,,,,
FR PESHAWAR,URBAN,Father/Mother,Female,,,,,
FR PESHAWAR,URBAN,Brother / Sister,Overall,,,,,
FR PESHAWAR,URBAN,Brother / Sister,Male,,,,,
FR PESHAWAR,URBAN,Brother / Sister,Female,,,,,
FR PESHAWAR,URBAN,Brother / Sister,Transgender,,,,,
FR PESHAWAR,URBAN,Other Relative,Overall,,,,,
FR PESHAWAR,URBAN,Other Relative,Male,,,,,
FR PESHAWAR,URBAN,Other Relative,Female,,,,,
FR PESHAWAR,URBAN,Other Relative,Transgender,,,,,
FR PESHAWAR,URBAN,Non-Relative,Overall,,,,,
FR PESHAWAR,URBAN,Non-Relative,Male,,,,,
FR PESHAWAR,URBAN,Non-Relative,Female,,,,,
FR PESHAWAR,URBAN,Non-Relative,Transgender,,,,,
FR TANK,OVERALL,Head,Overall,4132,124,3832,169,7
FR TANK,OVERALL,Head,Male,3536,113,3366,56,1
FR TANK,OVERALL,Head,Female,596,11,466,113,6
FR TANK,OVERALL,Head,Transgender,,,,,
FR TANK,OVERALL,Spouse,Overall,3658,,3658,,
FR TANK,OVERALL,Spouse,Male,216,,216,,
FR TANK,OVERALL,Spouse,Female,3442,,3442,,
FR TANK,OVERALL,Son/Daughter,Overall,4153,2878,1253,6,16
FR TANK,OVERALL,Son/Daughter,Male,2954,1746,1206,1,1
FR TANK,OVERALL,Son/Daughter,Female,1199,1132,47,5,15
FR TANK,OVERALL,Son/Daughter,Transgender,,,,,
FR TANK,OVERALL,Daughter / Son In Law,Overall,1731,,1704,27,
FR TANK,OVERALL,Daughter / Son In Law,Male,18,,17,1,
FR TANK,OVERALL,Daughter / Son In Law,Female,1713,,1687,26,
FR TANK,OVERALL,Grand Son / Grand Daughter,Overall,278,242,35,,1
FR TANK,OVERALL,Grand Son / Grand Daughter,Male,162,137,25,,
FR TANK,OVERALL,Grand Son / Grand Daughter,Female,116,105,10,,1
FR TANK,OVERALL,Grand Son / Grand Daughter,Transgender,,,,,
FR TANK,OVERALL,Father/Mother,Overall,959,,594,361,4
FR TANK,OVERALL,Father/Mother,Male,278,,252,26,
FR TANK,OVERALL,Father/Mother,Female,681,,342,335,4
FR TANK,OVERALL,Brother / Sister,Overall,1193,584,591,9,9
FR TANK,OVERALL,Brother / Sister,Male,930,350,574,4,2
FR TANK,OVERALL,Brother / Sister,Female,262,233,17,5,7
FR TANK,OVERALL,Brother / Sister,Transgender,1,1,,,
FR TANK,OVERALL,Other Relative,Overall,1660,346,1197,112,5
FR TANK,OVERALL,Other Relative,Male,408,202,199,7,
FR TANK,OVERALL,Other Relative,Female,1250,142,998,105,5
FR TANK,OVERALL,Other Relative,Transgender,2,2,,,
FR TANK,OVERALL,Non-Relative,Overall,1325,296,1024,5,
FR TANK,OVERALL,Non-Relative,Male,1177,263,913,1,
FR TANK,OVERALL,Non-Relative,Female,148,33,111,4,
FR TANK,OVERALL,Non-Relative,Transgender,,,,,
FR TANK,RURAL,Head,Overall,4132,124,3832,169,7
FR TANK,RURAL,Head,Male,3536,113,3366,56,1
FR TANK,RURAL,Head,Female,596,11,466,113,6
FR TANK,RURAL,Head,Transgender,,,,,
FR TANK,RURAL,Spouse,Overall,3658,,3658,,
FR TANK,RURAL,Spouse,Male,216,,216,,
FR TANK,RURAL,Spouse,Female,3442,,3442,,
FR TANK,RURAL,Son/Daughter,Overall,4153,2878,1253,6,16
FR TANK,RURAL,Son/Daughter,Male,2954,1746,1206,1,1
FR TANK,RURAL,Son/Daughter,Female,1199,1132,47,5,15
FR TANK,RURAL,Son/Daughter,Transgender,,,,,
FR TANK,RURAL,Daughter / Son In Law,Overall,1731,,1704,27,
FR TANK,RURAL,Daughter / Son In Law,Male,18,,17,1,
FR TANK,RURAL,Daughter / Son In Law,Female,1713,,1687,26,
FR TANK,RURAL,Grand Son / Grand Daughter,Overall,278,242,35,,1
FR TANK,RURAL,Grand Son / Grand Daughter,Male,162,137,25,,
