district,group,relationship,total_pop,never_married,married,widowed,divorced
FR D.I.KHAN,RURAL,Father/Mother,1911,,1062,849,
FR D.I.KHAN,RURAL,Brother / Sister,2655,1151,1478,23,3
FR D.I.KHAN,RURAL,Other Relative,3169,627,2354,186,2
FR D.I.KHAN,RURAL,Non-Relative,1302,321,957,24,
FR D.I.KHAN,URBAN,Head,,,,,
FR D.I.KHAN,URBAN,Spouse,,,,,
FR D.I.KHAN,URBAN,Son/Daughter,,,,,
FR D.I.KHAN,URBAN,Daughter / Son In Law,,,,,
FR D.I.KHAN,URBAN,Grand Son / Grand Daughter,,,,,
FR D.I.KHAN,URBAN,Father/Mother,,,,,
FR D.I.KHAN,URBAN,Brother / Sister,,,,,
FR D.I.KHAN,URBAN,Other Relative,,,,,
FR D.I.KHAN,URBAN,Non-Relative,,,,,
FR KOHAT,OVERALL,Head,14202,669,12889,642,2
FR KOHAT,OVERALL,Spouse,11582,,11582,,
FR KOHAT,OVERALL,Son/Daughter,16194,11507,4639,31,17
FR KOHAT,OVERALL,Daughter / Son In Law,6835,,6750,85,
FR KOHAT,OVERALL,Grand Son / Grand Daughter,1959,1730,226,3,
FR KOHAT,OVERALL,Father/Mother,3860,,2592,1266,2
FR KOHAT,OVERALL,Brother / Sister,4351,2349,1958,31,13
FR KOHAT,OVERALL,Other Relative,6822,1757,4681,380,4
FR KOHAT,OVERALL,Non-Relative,3383,761,2598,22,2
FR KOHAT,RURAL,Head,14202,669,12889,642,2
FR KOHAT,RURAL,Spouse,11582,,11582,,
FR KOHAT,RURAL,Son/Daughter,16194,11507,4639,31,17
FR KOHAT,RURAL,Daughter / Son In Law,6835,,6750,85,
FR KOHAT,RURAL,Grand Son / Grand Daughter,1959,1730,226,3,
FR KOHAT,RURAL,Father/Mother,3860,,2592,1266,2
FR KOHAT,RURAL,Brother / Sister,4351,2349,1958,31,13
FR KOHAT,RURAL,Other Relative,6822,1757,4681,380,4
FR KOHAT,RURAL,Non-Relative,3383,761,2598,22,2
FR KOHAT,URBAN,Head,,,,,
FR KOHAT,URBAN,Spouse,,,,,
FR KOHAT,URBAN,Son/Daughter,,,,,
FR KOHAT,URBAN,Daughter / Son In Law,,,,,
FR KOHAT,URBAN,Grand Son / Grand Daughter,,,,,
FR KOHAT,URBAN,Father/Mother,,,,,
FR KOHAT,URBAN,Brother / Sister,,,,,
FR KOHAT,URBAN,Other Relative,,,,,
FR KOHAT,URBAN,Non-Relative,,,,,
FR LAKKI MARWAT,OVERALL,Head,3308,93,3060,154,1
FR LAKKI MARWAT,OVERALL,Spouse,2964,,2964,,
FR LAKKI MARWAT,OVERALL,Son/Daughter,2764,1974,779,8,3
FR LAKKI MARWAT,OVERALL,Daughter / Son In Law,922,,913,8,1
FR LAKKI MARWAT,OVERALL,Grand Son / Grand Daughter,126,107,18,1,
FR LAKKI MARWAT,OVERALL,Father/Mother,660,,421,239,
FR LAKKI MARWAT,OVERALL,Brother / Sister,863,453,391,17,2
FR LAKKI MARWAT,OVERALL,Other Relative,1314,486,749,78,1
FR LAKKI MARWAT,OVERALL,Non-Relative,285,42,233,10,
FR LAKKI MARWAT,RURAL,Head,3308,93,3060,154,1
FR LAKKI MARWAT,RURAL,Spouse,2964,,2964,,
FR LAKKI MARWAT,RURAL,Son/Daughter,2764,1974,779,8,3
FR LAKKI MARWAT,RURAL,Daughter / Son In Law,922,,913,8,1
FR LAKKI MARWAT,RURAL,Grand Son / Grand Daughter,126,107,18,1,
FR LAKKI MARWAT,RURAL,Father/Mother,660,,421,239,
FR LAKKI MARWAT,RURAL,Brother / Sister,863,453,391,17,2
FR LAKKI MARWAT,RURAL,Other Relative,1314,486,749,78,1
FR LAKKI MARWAT,RURAL,Non-Relative,285,42,233,10,
FR LAKKI MARWAT,URBAN,Head,,,,,
FR LAKKI MARWAT,URBAN,Spouse,,,,,
FR LAKKI MARWAT,URBAN,Son/Daughter,,,,,
FR LAKKI MARWAT,URBAN,Daughter / Son In Law,,,,,
FR LAKKI MARWAT,URBAN,Grand Son / Grand Daughter,,,,,
FR LAKKI MARWAT,URBAN,Father/Mother,,,,,
FR LAKKI MARWAT,URBAN,Brother / Sister,,,,,
FR LAKKI MARWAT,URBAN,Other Relative,,,,,
FR LAKKI MARWAT,URBAN,Non-Relative,,,,,
FR PESHAWAR,OVERALL,Head,7096,203,6541,349,3
FR PESHAWAR,OVERALL,Spouse,5906,,5906,,
FR PESHAWAR,OVERALL,Son/Daughter,10842,7355,3460,12,15
FR PESHAWAR,OVERALL,Daughter / Son In Law,4932,,4889,42,1
FR PESHAWAR,OVERALL,Grand Son / Grand Daughter,1468,1317,150,1,
FR PESHAWAR,OVERALL,Father/Mother,1494,,880,613,1
FR PESHAWAR,OVERALL,Brother / Sister,1939,1096,821,14,8
FR PESHAWAR,OVERALL,Other Relative,2916,723,2016,173,4
FR PESHAWAR,OVERALL,Non-Relative,774,222,537,15,
FR PESHAWAR,RURAL,Head,7096,203,6541,349,3
FR PESHAWAR,RURAL,Spouse,5906,,5906,,
FR PESHAWAR,RURAL,Son/Daughter,10842,7355,3460,12,15
FR PESHAWAR,RURAL,Daughter / Son In Law,4932,,4889,42,1
FR PESHAWAR,RURAL,Grand Son / Grand Daughter,1468,1317,150,1,
FR PESHAWAR,RURAL,Father/Mother,1494,,880,613,1
FR PESHAWAR,RURAL,Brother / Sister,1939,1096,821,14,8
FR PESHAWAR,RURAL,Other Relative,2916,723,2016,173,4
FR PESHAWAR,RURAL,Non-Relative,774,222,537,15,
FR PESHAWAR,URBAN,Head,,,,,
FR PESHAWAR,URBAN,Spouse,,,,,
FR PESHAWAR,URBAN,Son/Daughter,,,,,
FR PESHAWAR,URBAN,Daughter / Son In Law,,,,,
FR PESHAWAR,URBAN,Grand Son / Grand Daughter,,,,,
FR PESHAWAR,URBAN,Father/Mother,,,,,
FR PESHAWAR,URBAN,Brother / Sister,,,,,
FR PESHAWAR,URBAN,Other Relative,,,,,
FR PESHAWAR,URBAN,Non-Relative,,,,,
FR TANK,OVERALL,Head,4132,124,3832,169,7
FR TANK,OVERALL,Spouse,3658,,3658,,
FR TANK,OVERALL,Son/Daughter,4153,2878,1253,6,16
FR TANK,OVERALL,Daughter / Son In Law,1731,,1704,27,
FR TANK,OVERALL,Grand Son / Grand Daughter,278,242,35,,1
FR TANK,OVERALL,Father/Mother,959,,594,361,4
FR TANK,OVERALL,Brother / Sister,1193,584,591,9,9
FR TANK,OVERALL,Other Relative,1660,346,1197,112,5
FR TANK,OVERALL,Non-Relative,1325,296,1024,5,
FR TANK,RURAL,Head,4132,124,3832,169,7
FR TANK,RURAL,Spouse,3658,,3658,,
FR TANK,RURAL,Son/Daughter,4153,2878,1253,6,16
FR TANK,RURAL,Daughter / Son In Law,1731,,1704,27,
FR TANK,RURAL,Grand Son / Grand Daughter,278,242,35,,1
FR TANK,RURAL,Father/Mother,959,,594,361,4
FR TANK,RURAL,Brother / Sister,1193,584,591,9,9
FR TANK,RURAL,Other Relative,1660,346,1197,112,5
FR TANK,RURAL,Non-Relative,1325,296,1024,5,
FR TANK,URBAN,Head,,,,,
FR TANK,URBAN,Spouse,,,,,
FR TANK,URBAN,Son/Daughter,,,,,
FR TANK,URBAN,Daughter / Son In Law,,,,,
FR TANK,URBAN,Grand Son / Grand Daughter,,,,,
FR TANK,URBAN,Father/Mother,,,,,
FR TANK,URBAN,Brother / Sister,,,,,
FR TANK,URBAN,Other Relative,,,,,
FR TANK,URBAN,Non-Relative,,,,,
ATTOCK DISTRICT,OVERALL,Head,302845,13595,260977,26599,1674
ATTOCK DISTRICT,OVERALL,Spouse,242371,,242371,,
ATTOCK DISTRICT,OVERALL,Son/Daughter,364474,283237,75740,1895,3602
ATTOCK DISTRICT,OVERALL,Daughter / Son In Law,91045,,90115,896,34
ATTOCK DISTRICT,OVERALL,Grand Son / Grand Daughter,18687,17048,1576,25,38
ATTOCK DISTRICT,OVERALL,Father/Mother,57044,,24631,32048,365
ATTOCK DISTRICT,OVERALL,Brother / Sister,67445,39367,23490,2469,2119
ATTOCK DISTRICT,OVERALL,Other Relative,74124,22551,42506,8295,772
ATTOCK DISTRICT,OVERALL,Non-Relative,34581,15677,18089,682,133
ATTOCK DISTRICT,RURAL,Head,225725,10324,193698,20432,1271
ATTOCK DISTRICT,RURAL,Spouse,179781,,179781,,
ATTOCK DISTRICT,RURAL,Son/Daughter,268885,208278,56295,1479,2833
ATTOCK DISTRICT,RURAL,Daughter / Son In Law,69906,,69144,739,23
ATTOCK DISTRICT,RURAL,Grand Son / Grand Daughter,14730,13408,1268,22,32
ATTOCK DISTRICT,RURAL,Father/Mother,44902,,19161,25454,287
ATTOCK DISTRICT,RURAL,Brother / Sister,51019,29784,17525,1944,1766
ATTOCK DISTRICT,RURAL,Other Relative,55583,16589,31831,6533,630
ATTOCK DISTRICT,RURAL,Non-Relative,17224,7046,9568,517,93
ATTOCK DISTRICT,URBAN,Head,77120,3271,67279,6167,403
ATTOCK DISTRICT,URBAN,Spouse,62590,,62590,,
ATTOCK DISTRICT,URBAN,Son/Daughter,95589,74959,19445,416,769
ATTOCK DISTRICT,URBAN,Daughter / Son In Law,21139,,20971,157,11
ATTOCK DISTRICT,URBAN,Grand Son / Grand Daughter,3957,3640,308,3,6
ATTOCK DISTRICT,URBAN,Father/Mother,12142,,5470,6594,78
ATTOCK DISTRICT,URBAN,Brother / Sister,16426,9583,5965,525,353
ATTOCK DISTRICT,URBAN,Other Relative,18541,5962,10675,1762,142
ATTOCK DISTRICT,URBAN,Non-Relative,17357,8631,8521,165,40
ATTOCK DISTRICT,OVERALL,Head,265027,11310,221377,30250,2090
ATTOCK DISTRICT,OVERALL,Spouse,195986,,195986,,
ATTOCK DISTRICT,OVERALL,Son/Daughter,292995,231291,55767,1916,4021
ATTOCK DISTRICT,OVERALL,Daughter / Son In Law,75164,,74400,739,25
ATTOCK DISTRICT,OVERALL,Grand Son / Grand Daughter,14465,13278,1128,23,36
ATTOCK DISTRICT,OVERALL,Father/Mother,45374,,18613,26434,327
ATTOCK DISTRICT,OVERALL,Brother / Sister,47571,27424,15290,2512,2345
ATTOCK DISTRICT,OVERALL,Other Relative,57545,16702,31138,8808,897
ATTOCK DISTRICT,OVERALL,Non-Relative,21425,10463,10312,530,120
ATTOCK DISTRICT,RURAL,Head,216750,8931,180525,25520,1774
ATTOCK DISTRICT,RURAL,Spouse,159143,,159143,,
ATTOCK DISTRICT,RURAL,Son/Daughter,237410,187420,44952,1596,3442
ATTOCK DISTRICT,RURAL,Daughter / Son In Law,63175,,62503,654,18
ATTOCK DISTRICT,RURAL,Grand Son / Grand Daughter,12230,11222,956,21,31
ATTOCK DISTRICT,RURAL,Father/Mother,37277,,15052,21945,280
ATTOCK DISTRICT,RURAL,Brother / Sister,37625,21686,11772,2139,2028
ATTOCK DISTRICT,RURAL,Other Relative,45761,13012,24429,7541,779
ATTOCK DISTRICT,RURAL,Non-Relative,14951,6298,8167,385,101
ATTOCK DISTRICT,URBAN,Head,48277,2379,40852,4730,316
ATTOCK DISTRICT,URBAN,Spouse,36843,,36843,,
ATTOCK DISTRICT,URBAN,Son/Daughter,55585,43871,10815,320,579
ATTOCK DISTRICT,URBAN,Daughter / Son In Law,11989,,11897,85,7
ATTOCK DISTRICT,URBAN,Grand Son / Grand Daughter,2235,2056,172,2,5
ATTOCK DISTRICT,URBAN,Father/Mother,8097,,3561,4489,47
ATTOCK DISTRICT,URBAN,Brother / Sister,9946,5738,3518,373,317
ATTOCK DISTRICT,URBAN,Other Relative,11784,3690,6709,1267,118
ATTOCK DISTRICT,URBAN,Non-Relative,6474,4165,2145,145,19
JHELUM DISTRICT,OVERALL,Head,203671,9020,169245,24021,1385
JHELUM DISTRICT,OVERALL,Spouse,148807,,148807,,
JHELUM DISTRICT,OVERALL,Son/Daughter,250776,197667,48795,1431,2883
JHELUM DISTRICT,OVERALL,Daughter / Son In Law,61426,,60887,513,26
JHELUM DISTRICT,OVERALL,Grand Son / Grand Daughter,12738,11696,996,16,30
JHELUM DISTRICT,OVERALL,Father/Mother,33801,,14918,18672,211
JHELUM DISTRICT,OVERALL,Brother / Sister,41067,24034,13497,1946,1590
JHELUM DISTRICT,OVERALL,Other Relative,48457,14738,26869,6189,661
JHELUM DISTRICT,OVERALL,Non-Relative,22969,8319,14073,494,83
JHELUM DISTRICT,RURAL,Head,145373,6050,120598,17742,983
JHELUM DISTRICT,RURAL,Spouse,105506,,105506,,
JHELUM DISTRICT,RURAL,Son/Daughter,178058,139887,35042,1050,2079
JHELUM DISTRICT,RURAL,Daughter / Son In Law,46584,,46165,402,17
JHELUM DISTRICT,RURAL,Grand Son / Grand Daughter,9441,8660,744,13,24
JHELUM DISTRICT,RURAL,Father/Mother,24849,,10669,14035,145
JHELUM DISTRICT,RURAL,Brother / Sister,28359,16487,9201,1442,1229
JHELUM DISTRICT,RURAL,Other Relative,34979,10354,19327,4791,507
JHELUM DISTRICT,RURAL,Non-Relative,6877,2880,3627,325,45
JHELUM DISTRICT,URBAN,Head,58298,2970,48647,6279,402
JHELUM DISTRICT,URBAN,Spouse,43301,,43301,,
JHELUM DISTRICT,URBAN,Son/Daughter,72718,57780,13753,381,804
JHELUM DISTRICT,URBAN,Daughter / Son In Law,14842,,14722,111,9
JHELUM DISTRICT,URBAN,Grand Son / Grand Daughter,3297,3036,252,3,6
JHELUM DISTRICT,URBAN,Father/Mother,8952,,4249,4637,66
JHELUM DISTRICT,URBAN,Brother / Sister,12708,7547,4296,504,361
JHELUM DISTRICT,URBAN,Other Relative,13478,4384,7542,1398,154
JHELUM DISTRICT,URBAN,Non-Relative,16092,5439,10446,169,38
RAWALPINDI DISTRICT,OVERALL,Head,881338,43259,756126,78236,3717
RAWALPINDI DISTRICT,OVERALL,Spouse,699459,,699459,,
RAWALPINDI DISTRICT,OVERALL,Son/Daughter,1089739,847978,229439,4649,7673
RAWALPINDI DISTRICT,OVERALL,Daughter / Son In Law,245544,,243636,1818,90
RAWALPINDI DISTRICT,OVERALL,Grand Son / Grand Daughter,47733,43857,3741,62,73
RAWALPINDI DISTRICT,OVERALL,Father/Mother,136409,,65215,70637,557
RAWALPINDI DISTRICT,OVERALL,Brother / Sister,191308,112982,68645,5810,3871
RAWALPINDI DISTRICT,OVERALL,Other Relative,199949,64348,116259,17822,1520
RAWALPINDI DISTRICT,OVERALL,Non-Relative,110774,47501,60422,2494,357
RAWALPINDI DISTRICT,RURAL,Head,392731,17619,335154,38242,1716
RAWALPINDI DISTRICT,RURAL,Spouse,307180,,307180,,
RAWALPINDI DISTRICT,RURAL,Son/Daughter,482840,373430,103257,2202,3951
RAWALPINDI DISTRICT,RURAL,Daughter / Son In Law,120151,,119159,958,34
RAWALPINDI DISTRICT,RURAL,Grand Son / Grand Daughter,22397,20532,1794,27,44
RAWALPINDI DISTRICT,RURAL,Father/Mother,63290,,28190,34827,273
RAWALPINDI DISTRICT,RURAL,Brother / Sister,79836,47210,27884,2800,1942
RAWALPINDI DISTRICT,RURAL,Other Relative,86604,25918,50334,9536,816
RAWALPINDI DISTRICT,RURAL,Non-Relative,37491,14451,21880,995,165
RAWALPINDI DISTRICT,URBAN,Head,488607,25640,420972,39994,2001
RAWALPINDI DISTRICT,URBAN,Spouse,392279,,392279,,
RAWALPINDI DISTRICT,URBAN,Son/Daughter,606899,474548,126182,2447,3722
RAWALPINDI DISTRICT,URBAN,Daughter / Son In Law,125393,,124477,860,56
RAWALPINDI DISTRICT,URBAN,Grand Son / Grand Daughter,25336,23325,1947,35,29
RAWALPINDI DISTRICT,URBAN,Father/Mother,73119,,37025,35810,284
RAWALPINDI DISTRICT,URBAN,Brother / Sister,111472,65772,40761,3010,1929
RAWALPINDI DISTRICT,URBAN,Other Relative,113345,38430,65925,8286,704
RAWALPINDI DISTRICT,URBAN,Non-Relative,73283,33050,38542,1499,192
BHAKKAR DISTRICT,OVERALL,Head,267492,7745,243439,15584,724
BHAKKAR DISTRICT,OVERALL,Spouse,238838,,238838,,
BHAKKAR DISTRICT,OVERALL,Son/Daughter,291306,239581,49122,1181,1422
BHAKKAR DISTRICT,OVERALL,Daughter / Son In Law,50651,,50261,377,13
BHAKKAR DISTRICT,OVERALL,Grand Son / Grand Daughter,6611,5925,663,11,12
BHAKKAR DISTRICT,OVERALL,Father/Mother,38503,,15341,22996,166
BHAKKAR DISTRICT,OVERALL,Brother / Sister,54789,35024,16626,1873,1266
BHAKKAR DISTRICT,OVERALL,Other Relative,40734,12037,24483,3867,347
BHAKKAR DISTRICT,OVERALL,Non-Relative,8033,4469,3316,218,30
BHAKKAR DISTRICT,RURAL,Head,225591,6066,206338,12599,588
BHAKKAR DISTRICT,RURAL,Spouse,202759,,202759,,
BHAKKAR DISTRICT,RURAL,Son/Daughter,239100,195740,41188,964,1208
BHAKKAR DISTRICT,RURAL,Daughter / Son In Law,42664,,42329,323,12
BHAKKAR DISTRICT,RURAL,Grand Son / Grand Daughter,5392,4819,556,8,9
BHAKKAR DISTRICT,RURAL,Father/Mother,32428,,13213,19068,147
BHAKKAR DISTRICT,RURAL,Brother / Sister,44642,28340,13684,1518,1100
BHAKKAR DISTRICT,RURAL,Other Relative,32997,9387,20125,3185,300
BHAKKAR DISTRICT,RURAL,Non-Relative,5335,2736,2410,166,23
BHAKKAR DISTRICT,URBAN,Head,41901,1679,37101,2985,136
BHAKKAR DISTRICT,URBAN,Spouse,36079,,36079,,
BHAKKAR DISTRICT,URBAN,Son/Daughter,52206,43841,7934,217,214
BHAKKAR DISTRICT,URBAN,Daughter / Son In Law,7987,,7932,54,1
BHAKKAR DISTRICT,URBAN,Grand Son / Grand Daughter,1219,1106,107,3,3
BHAKKAR DISTRICT,URBAN,Father/Mother,6075,,2128,3928,19
BHAKKAR DISTRICT,URBAN,Brother / Sister,10147,6684,2942,355,166
BHAKKAR DISTRICT,URBAN,Other Relative,7737,2650,4358,682,47
BHAKKAR DISTRICT,URBAN,Non-Relative,2698,1733,906,52,7
KHUSHAB DISTRICT,OVERALL,Head,209557,7328,183251,17871,1107
KHUSHAB DISTRICT,OVERALL,Spouse,173045,,173045,,
KHUSHAB DISTRICT,OVERALL,Son/Daughter,250269,197733,48625,1512,2399
KHUSHAB DISTRICT,OVERALL,Daughter / Son In Law,54571,,54063,490,18
KHUSHAB DISTRICT,OVERALL,Grand Son / Grand Daughter,8921,8044,837,16,24
KHUSHAB DISTRICT,OVERALL,Father/Mother,36605,,16111,20299,195
KHUSHAB DISTRICT,OVERALL,Brother / Sister,47068,27398,15629,2151,1890
KHUSHAB DISTRICT,OVERALL,Other Relative,45454,13242,26548,5146,518
KHUSHAB DISTRICT,OVERALL,Non-Relative,8734,3682,4673,319,60
KHUSHAB DISTRICT,RURAL,Head,151535,5214,133273,12274,774
KHUSHAB DISTRICT,RURAL,Spouse,125916,,125916,,
KHUSHAB DISTRICT,RURAL,Son/Daughter,177083,139369,34905,1057,1752
KHUSHAB DISTRICT,RURAL,Daughter / Son In Law,39823,,39449,363,11
KHUSHAB DISTRICT,RURAL,Grand Son / Grand Daughter,6380,5717,632,10,21
KHUSHAB DISTRICT,RURAL,Father/Mother,27602,,12348,15120,134
KHUSHAB DISTRICT,RURAL,Brother / Sister,34471,20004,11446,1573,1448
KHUSHAB DISTRICT,RURAL,Other Relative,32702,9276,19313,3736,377
KHUSHAB DISTRICT,RURAL,Non-Relative,5824,2249,3328,216,31
KHUSHAB DISTRICT,URBAN,Head,58022,2114,49978,5597,333
KHUSHAB DISTRICT,URBAN,Spouse,47129,,47129,,
KHUSHAB DISTRICT,URBAN,Son/Daughter,73186,58364,13720,455,647
KHUSHAB DISTRICT,URBAN,Daughter / Son In Law,14748,,14614,127,7
KHUSHAB DISTRICT,URBAN,Grand Son / Grand Daughter,2541,2327,205,6,3
KHUSHAB DISTRICT,URBAN,Father/Mother,9003,,3763,5179,61
KHUSHAB DISTRICT,URBAN,Brother / Sister,12597,7394,4183,578,442
KHUSHAB DISTRICT,URBAN,Other Relative,12752,3966,7235,1410,141
KHUSHAB DISTRICT,URBAN,Non-Relative,2910,1433,1345,103,29
SARGODHA DISTRICT,OVERALL,Head,592214,18878,514002,56332,3002
SARGODHA DISTRICT,OVERALL,Spouse,489352,,489352,,
SARGODHA DISTRICT,OVERALL,Son/Daughter,715179,559142,144919,4780,6338
SARGODHA DISTRICT,OVERALL,Daughter / Son In Law,157097,,155643,1395,59
SARGODHA DISTRICT,OVERALL,Grand Son / Grand Daughter,26148,23486,2531,56,75
SARGODHA DISTRICT,OVERALL,Father/Mother,99062,,42558,56012,492
SARGODHA DISTRICT,OVERALL,Brother / Sister,118062,66430,41630,5854,4148
SARGODHA DISTRICT,OVERALL,Other Relative,123578,35040,73289,13900,1349
SARGODHA DISTRICT,OVERALL,Non-Relative,38576,20306,16653,1378,239
SARGODHA DISTRICT,RURAL,Head,415784,12254,362024,39347,2159
SARGODHA DISTRICT,RURAL,Spouse,345496,,345496,,
SARGODHA DISTRICT,RURAL,Son/Daughter,485914,374265,103200,3577,4872
SARGODHA DISTRICT,RURAL,Daughter / Son In Law,113888,,112788,1054,46
SARGODHA DISTRICT,RURAL,Grand Son / Grand Daughter,18999,16948,1948,42,61
SARGODHA DISTRICT,RURAL,Father/Mother,72979,,31453,41146,380
SARGODHA DISTRICT,RURAL,Brother / Sister,81662,44549,29371,4477,3265
SARGODHA DISTRICT,RURAL,Other Relative,88371,24197,52672,10444,1058
SARGODHA DISTRICT,RURAL,Non-Relative,19936,8327,10521,937,151
SARGODHA DISTRICT,URBAN,Head,176430,6624,151978,16985,843
SARGODHA DISTRICT,URBAN,Spouse,143856,,143856,,
SARGODHA DISTRICT,URBAN,Son/Daughter,229265,184877,41719,1203,1466
SARGODHA DISTRICT,URBAN,Daughter / Son In Law,43209,,42855,341,13
SARGODHA DISTRICT,URBAN,Grand Son / Grand Daughter,7149,6538,583,14,14
SARGODHA DISTRICT,URBAN,Father/Mother,26083,,11105,14866,112
SARGODHA DISTRICT,URBAN,Brother / Sister,36400,21881,12259,1377,883
SARGODHA DISTRICT,URBAN,Other Relative,35207,10843,20617,3456,291
SARGODHA DISTRICT,URBAN,Non-Relative,18640,11979,6132,441,88
MIANWALI DISTRICT,OVERALL,Head,238083,8486,211546,17319,732
MIANWALI DISTRICT,OVERALL,Spouse,200186,,200186,,
MIANWALI DISTRICT,OVERALL,Son/Daughter,290181,229953,56815,1454,1959
MIANWALI DISTRICT,OVERALL,Daughter / Son In Law,66960,,66303,642,15
MIANWALI DISTRICT,OVERALL,Grand Son / Grand Daughter,11808,10589,1182,21,16
MIANWALI DISTRICT,OVERALL,Father/Mother,40158,,17892,22039,227
MIANWALI DISTRICT,OVERALL,Brother / Sister,56793,33937,19339,2129,1388
MIANWALI DISTRICT,OVERALL,Other Relative,54131,16245,32112,5330,444
MIANWALI DISTRICT,OVERALL,Non-Relative,13652,6408,6863,349,32
MIANWALI DISTRICT,RURAL,Head,186978,6167,166962,13314,535
MIANWALI DISTRICT,RURAL,Spouse,157611,,157611,,
MIANWALI DISTRICT,RURAL,Son/Daughter,225523,178406,44425,1114,1578
MIANWALI DISTRICT,RURAL,Daughter / Son In Law,53156,,52635,511,10
MIANWALI DISTRICT,RURAL,Grand Son / Grand Daughter,9210,8234,945,18,13
MIANWALI DISTRICT,RURAL,Father/Mother,31037,,14205,16656,176
MIANWALI DISTRICT,RURAL,Brother / Sister,42640,25145,14784,1635,1076
MIANWALI DISTRICT,RURAL,Other Relative,41116,12123,24578,4081,334
MIANWALI DISTRICT,RURAL,Non-Relative,7038,2840,3928,249,21
MIANWALI DISTRICT,URBAN,Head,51105,2319,44584,4005,197
MIANWALI DISTRICT,URBAN,Spouse,42575,,42575,,
MIANWALI DISTRICT,URBAN,Son/Daughter,64658,51547,12390,340,381
MIANWALI DISTRICT,URBAN,Daughter / Son In Law,13804,,13668,131,5
MIANWALI DISTRICT,URBAN,Grand Son / Grand Daughter,2598,2355,237,3,3
MIANWALI DISTRICT,URBAN,Father/Mother,9121,,3687,5383,51
MIANWALI DISTRICT,URBAN,Brother / Sister,14153,8792,4555,494,312
MIANWALI DISTRICT,URBAN,Other Relative,13015,4122,7534,1249,110
MIANWALI DISTRICT,URBAN,Non-Relative,6614,3568,2935,100,11
GUJRANWALA DISTRICT,OVERALL,Head,745397,22971,647738,72015,2673
GUJRANWALA DISTRICT,OVERALL,Spouse,604857,,604857,,
GUJRANWALA DISTRICT,OVERALL,Son/Daughter,1071211,847253,212763,5346,5849
GUJRANWALA DISTRICT,OVERALL,Daughter / Son In Law,239789,,238145,1557,87
GUJRANWALA DISTRICT,OVERALL,Grand Son / Grand Daughter,45205,41712,3370,49,74
GUJRANWALA DISTRICT,OVERALL,Father/Mother,115691,,57314,58062,315
GUJRANWALA DISTRICT,OVERALL,Brother / Sister,151770,88875,55374,4651,2870
GUJRANWALA DISTRICT,OVERALL,Other Relative,145097,42950,88836,12424,887
GUJRANWALA DISTRICT,OVERALL,Non-Relative,59259,20446,36972,1608,233
GUJRANWALA DISTRICT,RURAL,Head,299705,7680,263119,28010,896
GUJRANWALA DISTRICT,RURAL,Spouse,246362,,246362,,
GUJRANWALA DISTRICT,RURAL,Son/Daughter,435188,343324,87328,2263,2273
GUJRANWALA DISTRICT,RURAL,Daughter / Son In Law,103495,,102736,721,38
GUJRANWALA DISTRICT,RURAL,Grand Son / Grand Daughter,20165,18569,1530,23,43
GUJRANWALA DISTRICT,RURAL,Father/Mother,50111,,24834,25153,124
GUJRANWALA DISTRICT,RURAL,Brother / Sister,56265,31679,21509,1981,1096
GUJRANWALA DISTRICT,RURAL,Other Relative,58457,16958,35705,5423,371
GUJRANWALA DISTRICT,RURAL,Non-Relative,16460,6515,9195,669,81
GUJRANWALA DISTRICT,URBAN,Head,445692,15291,384619,44005,1777
GUJRANWALA DISTRICT,URBAN,Spouse,358495,,358495,,
GUJRANWALA DISTRICT,URBAN,Son/Daughter,636023,503929,125435,3083,3576
GUJRANWALA DISTRICT,URBAN,Daughter / Son In Law,136294,,135409,836,49
GUJRANWALA DISTRICT,URBAN,Grand Son / Grand Daughter,25040,23143,1840,26,31
GUJRANWALA DISTRICT,URBAN,Father/Mother,65580,,32480,32909,191
GUJRANWALA DISTRICT,URBAN,Brother / Sister,95505,57196,33865,2670,1774
GUJRANWALA DISTRICT,URBAN,Other Relative,86640,25992,53131,7001,516
GUJRANWALA DISTRICT,URBAN,Non-Relative,42799,13931,27777,939,152
GUJRAT DISTRICT,OVERALL,Head,437037,15243,363858,55301,2635
GUJRAT DISTRICT,OVERALL,Spouse,314915,,314915,,
GUJRAT DISTRICT,OVERALL,Son/Daughter,553669,434803,110028,3203,5635
GUJRAT DISTRICT,OVERALL,Daughter / Son In Law,154795,,153417,1305,73
GUJRAT DISTRICT,OVERALL,Grand Son / Grand Daughter,31975,29318,2541,55,61
GUJRAT DISTRICT,OVERALL,Father/Mother,69505,,32243,36978,284
GUJRAT DISTRICT,OVERALL,Brother / Sister,78311,44545,27320,3514,2932
GUJRAT DISTRICT,OVERALL,Other Relative,111048,31107,64630,13855,1456
GUJRAT DISTRICT,OVERALL,Non-Relative,43556,15708,26814,885,149
GUJRAT DISTRICT,RURAL,Head,305237,9595,253968,39801,1873
GUJRAT DISTRICT,RURAL,Spouse,217373,,217373,,
GUJRAT DISTRICT,RURAL,Son/Daughter,385535,302008,77063,2311,4153
GUJRAT DISTRICT,RURAL,Daughter / Son In Law,116057,,114991,1016,50
GUJRAT DISTRICT,RURAL,Grand Son / Grand Daughter,23904,21931,1898,40,35
GUJRAT DISTRICT,RURAL,Father/Mother,50513,,23235,27086,192
GUJRAT DISTRICT,RURAL,Brother / Sister,51663,28896,17938,2618,2211
