district,group,relationship,total_pop,never_married,married,widowed,divorced
DERA ISMAIL KHAN DISTRICT,RURAL,Father/Mother,25630,,11357,14195,78
DERA ISMAIL KHAN DISTRICT,RURAL,Brother / Sister,43058,21767,19739,1122,430
DERA ISMAIL KHAN DISTRICT,RURAL,Other Relative,45503,11332,31382,2668,121
DERA ISMAIL KHAN DISTRICT,RURAL,Non-Relative,16767,7248,9125,376,18
DERA ISMAIL KHAN DISTRICT,URBAN,Head,49983,2602,43605,3683,93
DERA ISMAIL KHAN DISTRICT,URBAN,Spouse,42479,,42479,,
DERA ISMAIL KHAN DISTRICT,URBAN,Son/Daughter,69993,54797,14727,271,198
DERA ISMAIL KHAN DISTRICT,URBAN,Daughter / Son In Law,15482,,15366,114,2
DERA ISMAIL KHAN DISTRICT,URBAN,Grand Son / Grand Daughter,2460,2209,247,4,
DERA ISMAIL KHAN DISTRICT,URBAN,Father/Mother,8046,,3018,5005,23
DERA ISMAIL KHAN DISTRICT,URBAN,Brother / Sister,15229,9512,5159,392,166
DERA ISMAIL KHAN DISTRICT,URBAN,Other Relative,12479,3887,7629,923,40
DERA ISMAIL KHAN DISTRICT,URBAN,Non-Relative,7556,4114,3316,110,16
DERA ISMAIL KHAN DISTRICT,OVERALL,Head,42837,1299,39340,2169,29
DERA ISMAIL KHAN DISTRICT,OVERALL,Spouse,38096,,38096,,
DERA ISMAIL KHAN DISTRICT,OVERALL,Son/Daughter,53867,37981,15662,133,91
DERA ISMAIL KHAN DISTRICT,OVERALL,Daughter / Son In Law,19654,,19468,181,5
DERA ISMAIL KHAN DISTRICT,OVERALL,Grand Son / Grand Daughter,2778,2364,404,4,6
DERA ISMAIL KHAN DISTRICT,OVERALL,Father/Mother,8674,,4827,3833,14
DERA ISMAIL KHAN DISTRICT,OVERALL,Brother / Sister,14395,7066,7045,216,68
DERA ISMAIL KHAN DISTRICT,OVERALL,Other Relative,16942,4085,11973,859,25
DERA ISMAIL KHAN DISTRICT,OVERALL,Non-Relative,6314,1884,4338,88,4
DERA ISMAIL KHAN DISTRICT,RURAL,Head,37113,1045,34179,1866,23
DERA ISMAIL KHAN DISTRICT,RURAL,Spouse,33034,,33034,,
DERA ISMAIL KHAN DISTRICT,RURAL,Son/Daughter,46022,32003,13831,110,78
