district,type,total_pop,head,spouse,son_daughter,daughter_son_inlaw,grandson_daughter,father_mother,brother_sister,other_relative,nonrelative
SHANGLA DISTRICT, FEMALE,373508,12721,75705,137559,41474,41187,12466,8068,38083,6245
SHANGLA DISTRICT, TRANSGENDER,19,,,1,,,,1,17,
SWAT DISTRICT, MALE,1171947,235100,8687,599821,1848,153749,13152,62977,74415,22198
SWAT DISTRICT, FEMALE,1136544,36384,229515,407527,135747,139567,35002,28439,108986,15377
SWAT DISTRICT, TRANSGENDER,133,13,,8,,2,,16,62,32
LOWER DIR DISTRICT, MALE,709829,126996,4602,356586,912,114081,7385,38556,47841,12870
LOWER DIR DISTRICT, FEMALE,726203,27180,124428,250861,91658,105385,22811,20536,73304,10040
LOWER DIR DISTRICT, TRANSGENDER,50,3,,2,,3,,21,21,
UPPER DIR DISTRICT, MALE,466594,96241,4387,262044,405,46552,4573,21177,25178,6037
UPPER DIR DISTRICT, FEMALE,480766,22962,95560,210651,40029,43975,13290,12511,36944,4844
UPPER DIR DISTRICT, TRANSGENDER,41,3,,4,,,,8,20,6
MALAKAND PROTECTED AREA, MALE,360440,75735,3487,187037,512,46780,3495,16930,20378,6086
MALAKAND PROTECTED AREA, FEMALE,357333,14679,73221,130622,41998,43328,10906,8846,30870,2863
MALAKAND PROTECTED AREA, TRANSGENDER,33,,,3,,2,,12,15,1
KHYBER AGENCY, MALE,504502,105098,1231,250653,650,54670,4852,30150,37870,19328
KHYBER AGENCY, FEMALE,479669,7295,103884,183710,40567,48986,15469,12261,52838,14659
KHYBER AGENCY, TRANSGENDER,75,,,7,,3,,16,47,2
KURRAM AGENCY, MALE,306935,59500,1831,138633,516,34974,3524,22426,32898,12633
KURRAM AGENCY, FEMALE,308393,8116,56729,104744,26810,31283,11427,10914,47526,10844
KURRAM AGENCY, TRANSGENDER,44,3,,5,,1,,4,29,2
MOHMAND AGENCY, MALE,241549,45377,1428,121123,544,30909,3114,14823,18147,6084
MOHMAND AGENCY, FEMALE,232755,4255,44771,87553,22717,28111,7640,6475,25454,5779
MOHMAND AGENCY, TRANSGENDER,41,1,,5,,1,,5,25,4
NORTH WAZIRISTAN AGENCY, MALE,277749,55408,461,118424,367,23655,3364,21757,29798,24515
NORTH WAZIRISTAN AGENCY, FEMALE,262764,4296,54973,88254,19453,20816,10304,10315,41575,12778
NORTH WAZIRISTAN AGENCY, TRANSGENDER,33,2,,,,3,,7,20,1
ORAKZAI AGENCY, MALE,127564,28683,481,60963,114,11912,1724,8296,11537,3854
ORAKZAI AGENCY, FEMALE,126728,2579,28107,47500,9864,10988,5022,3962,17444,1262
ORAKZAI AGENCY, TRANSGENDER,11,1,,,,,,2,8,
SOUTH WAZIRISTAN AGENCY, MALE,355611,75574,824,167177,419,28619,3380,22406,34338,22874
SOUTH WAZIRISTAN AGENCY, FEMALE,319554,4813,74345,118492,22567,25023,9333,7561,42751,14669
SOUTH WAZIRISTAN AGENCY, TRANSGENDER,50,,,2,,,,9,38,1
BAJAUR AGENCY, MALE,556036,112258,2423,296200,717,65918,6488,30613,33144,8275
BAJAUR AGENCY, FEMALE,534895,9492,112955,214284,53269,59520,16773,13656,48481,6465
BAJAUR AGENCY, TRANSGENDER,56,,,11,,3,,10,31,1
FR BANNU, MALE,22286,3818,62,8881,26,2256,361,1890,2804,2188
FR BANNU, FEMALE,20826,337,3891,6155,1928,2003,945,752,3942,873
FR BANNU, TRANSGENDER,,,,,,,,,,
FR D.I.KHAN, MALE,35356,6334,120,17057,27,3383,487,2972,3312,1664
FR D.I.KHAN, FEMALE,33146,542,6556,11594,3056,3035,1424,907,4963,1069
FR D.I.KHAN, TRANSGENDER,4,,,,,,,1,3,
FR KOHAT, MALE,59983,12204,235,24618,64,8281,1142,3884,6194,3361
FR KOHAT, FEMALE,58851,2006,11347,16755,6771,7376,2718,1674,9342,862
FR KOHAT, TRANSGENDER,5,,,1,,,,1,3,
FR LAKKI MARWAT, MALE,13685,2823,164,6691,9,1071,208,919,1442,358
FR LAKKI MARWAT, FEMALE,12709,486,2800,4826,913,962,452,444,1699,127
FR LAKKI MARWAT, TRANSGENDER,,,,,,,,,,
FR PESHAWAR, MALE,31676,6093,92,14126,40,6071,323,1660,2507,764
FR PESHAWAR, FEMALE,33081,1003,5814,9387,4892,5623,1171,809,3997,385
FR PESHAWAR, TRANSGENDER,4,1,,,,,,1,2,
FR TANK, MALE,18783,3536,216,8530,,18,1944,278,1204,1646
FR TANK, FEMALE,17632,597,3442,6361,,1713,1740,681,477,2330
FR TANK, TRANSGENDER,3,,,,,,,,1,2
ATTOCK DISTRICT, MALE,938650,256744,10238,435320,1752,87644,13329,46291,53513,33819
ATTOCK DISTRICT, FEMALE,947597,46123,232133,331087,89293,82245,43715,28540,82192,12269
ATTOCK DISTRICT, TRANSGENDER,131,25,0,4,0,4,0,14,64,20
CHAKWAL DISTRICT, MALE,723178,207652,13358,335572,1524,65322,11106,30419,37453,20772
CHAKWAL DISTRICT, FEMALE,772166,57426,182628,271561,73640,62552,34268,21651,59787,8653
CHAKWAL DISTRICT, TRANSGENDER,119,17,,16,,4,,9,61,12
JHELUM DISTRICT, MALE,601406,157981,11577,281850,1401,56375,8772,27437,33336,22677
JHELUM DISTRICT, FEMALE,620862,45729,137230,223243,60025,53763,25029,17954,51318,6571
JHELUM DISTRICT, TRANSGENDER,135,18,,15,,6,,20,58,18
RAWALPINDI DISTRICT, MALE,2736180,729295,53820,1289845,7100,232229,35360,135869,152214,100448
RAWALPINDI DISTRICT, FEMALE,2665089,152054,645639,977643,238444,218964,101049,75805,209056,46435
RAWALPINDI DISTRICT, TRANSGENDER,1111,273,,84,,10,,103,336,305
BHAKKAR DISTRICT, MALE,843056,248606,5757,447815,986,46714,10179,39952,33339,9708
BHAKKAR DISTRICT, FEMALE,804669,18931,233081,353544,49665,43414,28324,23965,48760,4985
BHAKKAR DISTRICT, TRANSGENDER,127,20,,13,,2,,15,67,10
KHUSHAB DISTRICT, MALE,637474,182306,7084,315994,1004,49126,10078,30687,32691,8504
KHUSHAB DISTRICT, FEMALE,642791,27271,165961,248208,53567,46456,26527,20504,49391,4906
KHUSHAB DISTRICT, TRANSGENDER,107,10,,2,,,,24,49,22
SARGODHA DISTRICT, MALE,1867724,508181,26996,933165,3564,151817,29481,84369,96744,33407
SARGODHA DISTRICT, FEMALE,1828074,84038,462356,713166,153533,142614,69581,45489,134426,22871
SARGODHA DISTRICT, TRANSGENDER,414,83,,21,,3,,26,155,126
MIANWALI DISTRICT, MALE,771969,207591,8498,386457,997,63492,10672,40308,40800,13154
MIANWALI DISTRICT, FEMALE,770502,30557,191688,297763,65963,59419,29486,24943,63273,7410
MIANWALI DISTRICT, TRANSGENDER,130,15,,14,,3,,14,71,13
GUJRANWALA DISTRICT, MALE,2528990,624173,38626,1283251,5110,246613,39084,115111,121503,55519
GUJRANWALA DISTRICT, FEMALE,2481457,121386,566231,986935,234679,234167,76607,57623,172858,30971
GUJRANWALA DISTRICT, TRANSGENDER,619,92,,55,,16,,78,298,80
GUJRAT DISTRICT, MALE,1334775,326842,26219,634148,2844,149703,20148,54267,80082,40522
GUJRAT DISTRICT, FEMALE,1421295,110224,288696,509367,151951,143921,49357,32623,119364,15792
GUJRAT DISTRICT, TRANSGENDER,219,40,,20,,7,,27,99,26
HAFIZABAD DISTRICT, MALE,584668,152680,6500,294157,1271,55834,9666,27567,30834,6159
HAFIZABAD DISTRICT, FEMALE,572188,22334,137584,222649,52760,53114,21037,14029,44565,4116
HAFIZABAD DISTRICT, TRANSGENDER,98,19,,8,,2,,12,44,13
MANDI BAHAUDDIN DISTRICT, MALE,775788,206481,11084,375273,1455,79241,13426,33417,44163,11248
MANDI BAHAUDDIN DISTRICT, FEMALE,818056,45592,184410,304892,81537,76173,30503,19579,67235,8135
MANDI BAHAUDDIN DISTRICT, TRANSGENDER,195,33,,15,,2,,22,89,34
NAROWAL DISTRICT, MALE,839934,192580,13372,438453,1458,110015,11141,28098,36478,8339
NAROWAL DISTRICT, FEMALE,867472,47542,174813,342994,98379,104692,24098,14359,54038,6557
