district,type,total_pop,head,spouse,son_daughter,daughter_son_inlaw,grandson_daughter,father_mother,brother_sister,other_relative,nonrelative
SANGHAR DISTRICT, MALE,1059051,339682,7986,608401,923,27189,4382,31550,25469,13469
SANGHAR DISTRICT, FEMALE,990578,31560,327491,489859,32011,24963,23037,18022,32493,11142
SANGHAR DISTRICT, TRANSGENDER,244,27,,19,,1,,29,140,28
NAUSHAHRO FEROZE DISTRICT, MALE,831392,249637,9082,462684,761,28098,5127,35024,31539,9440
NAUSHAHRO FEROZE DISTRICT, FEMALE,780446,26360,235303,372555,28584,25182,22630,21786,41441,6605
NAUSHAHRO FEROZE DISTRICT, TRANSGENDER,209,32,,19,,3,,20,115,20
SHAHEED BENAZIRABAD DISTRICT, MALE,833235,270750,6005,469299,719,19000,3683,26859,22213,14707
SHAHEED BENAZIRABAD DISTRICT, FEMALE,780089,24756,260746,381675,21186,17079,18905,15968,28244,11530
SHAHEED BENAZIRABAD DISTRICT, TRANSGENDER,182,20,,20,,1,,18,113,10
AWARAN DISTRICT, MALE,63063,15120,1532,33309,387,4490,569,2489,3677,1490
AWARAN DISTRICT, FEMALE,58749,3014,14912,25313,4066,4018,1406,1215,4151,654
AWARAN DISTRICT, TRANSGENDER,9,,,1,,,,1,7,
KALAT DISTRICT, MALE,211806,51775,706,128104,298,5401,978,9280,8648,6616
KALAT DISTRICT, FEMALE,200251,2828,53786,111611,4045,4942,3867,5894,9301,3977
KALAT DISTRICT, TRANSGENDER,1,,,,,,,,1,
KHARAN DISTRICT, MALE,84631,23057,300,48392,338,2497,397,3957,3713,1980
KHARAN DISTRICT, FEMALE,78135,1368,21856,41787,2074,2247,1440,2785,3496,1082
KHARAN DISTRICT, TRANSGENDER,,,,,,,,,,
KHUZDAR DISTRICT, MALE,419351,110819,2956,244138,834,10183,2215,15230,18459,14517
KHUZDAR DISTRICT, FEMALE,379468,7948,112820,201023,7181,8888,7490,9034,18094,6990
KHUZDAR DISTRICT, TRANSGENDER,77,1,,4,,1,,8,61,2
LASBELA DISTRICT, MALE,301204,85377,1536,156387,1118,12983,2343,16410,17622,7428
LASBELA DISTRICT, FEMALE,275056,5826,80932,125408,11394,11773,8449,8139,19810,3325
LASBELA DISTRICT, TRANSGENDER,11,3,,1,,,,2,4,1
MASTUNG DISTRICT, MALE,137504,36874,261,80825,178,4370,686,6990,4849,2471
MASTUNG DISTRICT, FEMALE,128169,1492,36796,66944,3541,3979,3576,4335,6089,1417
MASTUNG DISTRICT, TRANSGENDER,3,,,1,,,,,2,
WASHUK DISTRICT, MALE,91841,28377,553,56138,87,772,116,1814,2044,1940
WASHUK DISTRICT, FEMALE,83870,2505,27748,48057,322,670,397,1442,1328,1401
WASHUK DISTRICT, TRANSGENDER,1,,,,,,,1,,
GWADAR DISTRICT, MALE,141116,34205,2716,70021,1028,4536,920,5799,9036,12855
GWADAR DISTRICT, FEMALE,121120,5061,32776,59686,3483,4029,2745,4022,7807,1511
GWADAR DISTRICT, TRANSGENDER,17,3,,4,,,,2,3,5
KECH DISTRICT, MALE,492878,121242,8456,332706,789,4371,1036,10674,7519,6085
KECH DISTRICT, FEMALE,414202,15827,121459,251462,3243,3637,2339,7102,5237,3896
KECH DISTRICT, TRANSGENDER,102,1,,15,,,,14,57,15
PANJGUR DISTRICT, MALE,166379,38732,721,114904,438,2663,180,3211,3187,2343
PANJGUR DISTRICT, FEMALE,148952,3534,40683,93868,1646,2028,800,2532,2179,1682
PANJGUR DISTRICT, TRANSGENDER,22,1,,,,,,6,15,
JAFFARABAD DISTRICT, MALE,262872,74320,650,147524,326,8338,1393,11268,12055,6998
JAFFARABAD DISTRICT, FEMALE,251047,3200,76144,121784,8077,7339,6833,5787,15110,6773
JAFFARABAD DISTRICT, TRANSGENDER,53,1,,1,,1,,5,41,4
JHAL MAGSI DISTRICT, MALE,76726,23944,185,45514,57,1352,470,2498,2191,515
JHAL MAGSI DISTRICT, FEMALE,72173,928,24835,37633,1416,1185,1905,1290,2501,480
JHAL MAGSI DISTRICT, TRANSGENDER,1,1,,,,,,,,
KACHHI DISTRICT, MALE,164291,39870,284,86665,257,6265,1317,11240,15190,3203
KACHHI DISTRICT, FEMALE,145633,1097,40028,67672,5105,4957,4218,5349,15244,1963
KACHHI DISTRICT, TRANSGENDER,8,2,,,,,,2,4,
NASIRABAD DISTRICT, MALE,251564,62724,480,135514,373,9820,2186,13544,17838,9085
NASIRABAD DISTRICT, FEMALE,236282,1770,66812,106898,9556,8497,6752,5689,21716,8592
NASIRABAD DISTRICT, TRANSGENDER,1,,,,,,,1,,
SOHBATPUR DISTRICT, MALE,102967,28663,313,58661,115,3654,635,4093,4991,1842
SOHBATPUR DISTRICT, FEMALE,97449,1471,29402,46489,4192,3306,2658,1652,6538,1741
SOHBATPUR DISTRICT, TRANSGENDER,10,,,1,,1,,,8,
CHAGHI DISTRICT, MALE,118973,30234,629,71728,623,3524,434,4045,4957,2799
CHAGHI DISTRICT, FEMALE,107537,2314,30123,59248,3022,3180,1907,2627,4453,663
CHAGHI DISTRICT, TRANSGENDER,7,,,1,,,,4,2,
KILLA ABDULLAH DISTRICT, MALE,399299,93084,456,244086,266,17443,824,13487,14855,14798
KILLA ABDULLAH DISTRICT, FEMALE,359051,4014,95506,192574,11235,15019,5008,5495,17229,12971
KILLA ABDULLAH DISTRICT, TRANSGENDER,4,,,,,,,1,3,
NUSHKI DISTRICT, MALE,92571,21261,252,52712,228,5042,564,5636,4610,2266
NUSHKI DISTRICT, FEMALE,86373,1113,20901,43639,4725,4575,2339,3435,5077,569
NUSHKI DISTRICT, TRANSGENDER,3,,,,,,,1,2,
PISHIN DISTRICT, MALE,380615,120234,432,235730,118,3947,455,6716,6255,6728
PISHIN DISTRICT, FEMALE,356227,5002,120791,207281,3361,3501,3866,4416,4843,3166
PISHIN DISTRICT, TRANSGENDER,61,3,,6,,,,8,43,1
QUETTA DISTRICT, MALE,1190476,253953,3876,613618,2415,89031,6257,69759,79173,72394
QUETTA DISTRICT, FEMALE,1078718,18664,242292,467628,69129,81944,26573,31047,95903,45538
QUETTA DISTRICT, TRANSGENDER,279,25,,7,,4,,48,179,16
DERA BUGTI DISTRICT, MALE,165056,44983,85,99070,140,2941,529,4458,5028,7822
DERA BUGTI DISTRICT, FEMALE,148053,700,51324,79166,3112,2429,1917,1849,4964,2592
DERA BUGTI DISTRICT, TRANSGENDER,1,,,,,,,1,,
HARNAI DISTRICT, MALE,51964,16233,300,27931,41,749,232,1924,2216,2338
HARNAI DISTRICT, FEMALE,45069,779,15825,22618,731,573,1208,906,1800,629
HARNAI DISTRICT, TRANSGENDER,19,,,1,,,,2,16,
KOHLU DISTRICT, MALE,112124,24976,202,70930,418,2530,545,5183,3345,3995
KOHLU DISTRICT, FEMALE,101809,1013,29293,54226,3421,2998,1748,2793,3166,3151
KOHLU DISTRICT, TRANSGENDER,,,,,,,,,,
SIBI DISTRICT, MALE,94723,26282,149,48634,173,3439,743,5622,5523,4158
SIBI DISTRICT, FEMALE,85009,945,25899,37903,3222,3024,3101,2636,6869,1410
SIBI DISTRICT, TRANSGENDER,19,,,2,,,,1,12,4
ZIARAT DISTRICT, MALE,82161,27279,172,48250,34,872,186,2389,1378,1601
ZIARAT DISTRICT, FEMALE,77912,1348,27190,42120,792,736,1470,1672,1642,942
ZIARAT DISTRICT, TRANSGENDER,22,4,,3,,,,,14,1
BARKHAN DISTRICT, MALE,89911,24753,307,49153,99,2750,673,5089,5062,2025
BARKHAN DISTRICT, FEMALE,81100,779,25237,38402,2319,2453,2531,1927,5587,1865
BARKHAN DISTRICT, TRANSGENDER,14,,,1,,1,,4,7,1
KILLA SAIFULLAH DISTRICT, MALE,181806,50223,578,114676,88,3484,405,5444,3928,2980
KILLA SAIFULLAH DISTRICT, FEMALE,161121,2405,50652,90023,2980,2880,2728,2613,4687,2153
KILLA SAIFULLAH DISTRICT, TRANSGENDER,5,,,1,,,,,4,
LORALAI DISTRICT, MALE,212502,51916,629,118074,153,7566,878,9660,10637,12989
LORALAI DISTRICT, FEMALE,184905,2256,51139,93195,5986,6613,4279,4365,11598,5474
LORALAI DISTRICT, TRANSGENDER,16,3,,,,,,1,12,
MUSAKHEL DISTRICT, MALE,90733,23358,214,56054,60,1689,369,3933,3615,1441
MUSAKHEL DISTRICT, FEMALE,76498,987,24620,39817,1659,1429,2027,1409,3465,1085
MUSAKHEL DISTRICT, TRANSGENDER,12,,,,,,,2,9,1
SHERANI DISTRICT, MALE,84390,18557,180,59068,55,1114,46,1278,1630,2462
SHERANI DISTRICT, FEMALE,68561,1757,20298,40512,485,630,424,819,1012,2624
SHERANI DISTRICT, TRANSGENDER,1,,,,,,,,1,
ZHOB DISTRICT, MALE,168239,43308,486,99779,89,3439,494,5686,6432,8526
ZHOB DISTRICT, FEMALE,142114,1654,44427,75019,2512,2886,2330,2752,6023,4511
ZHOB DISTRICT, TRANSGENDER,1,,,,,,,,1,
ISLAMABAD DISTRICT, MALE,1052328,288388,18789,483135,2857,71480,12730,46974,53742,74233
ISLAMABAD DISTRICT, FEMALE,950760,44025,251625,371827,73426,66929,32155,25450,62299,23024
ISLAMABAD DISTRICT, TRANSGENDER,280,51,,27,,3,,18,100,81
