district,localities,gender,age_group,working,seeking_work,students,housekeeping,other
BANNU DISTRICT,Rural,Female,40-44,4,2,1,52,21
BANNU DISTRICT,Rural,Female,45-49,3,,,39,13
BANNU DISTRICT,Rural,Female,50-54,2,,,45,18
BANNU DISTRICT,Rural,Female,55-59,1,2,,29,10
BANNU DISTRICT,Rural,Female,60-64,3,1,,40,22
BANNU DISTRICT,Rural,Female,65-69,2,,,22,15
BANNU DISTRICT,Rural,Female,70-74,4,,,21,10
BANNU DISTRICT,Rural,Female,75 AND ABOVE,2,,,15,20
BANNU DISTRICT,Rural,Transgender,10-14,,,,,
BANNU DISTRICT,Rural,Transgender,15-19,,,,,
BANNU DISTRICT,Rural,Transgender,20-24,,,,,
BANNU DISTRICT,Rural,Transgender,25-29,1,,,,
BANNU DISTRICT,Rural,Transgender,30-34,1,,,,
BANNU DISTRICT,Rural,Transgender,35-39,,,,1,
BANNU DISTRICT,Rural,Transgender,40-44,,,,1,
BANNU DISTRICT,Rural,Transgender,45-49,,,,,
BANNU DISTRICT,Rural,Transgender,50-54,,,,1,
BANNU DISTRICT,Rural,Transgender,55-59,,,,,
BANNU DISTRICT,Rural,Transgender,60-64,,,,,
BANNU DISTRICT,Rural,Transgender,65-69,,,,1,
BANNU DISTRICT,Rural,Transgender,70-74,,,,1,1
BANNU DISTRICT,Rural,Transgender,75 AND ABOVE,,,,,
BANNU DISTRICT,Urban,Overall,10-14,,1,5,8,5
BANNU DISTRICT,Urban,Overall,15-19,,1,2,7,4
BANNU DISTRICT,Urban,Overall,20-24,1,2,2,6,2
BANNU DISTRICT,Urban,Overall,25-29,,3,,4,2
BANNU DISTRICT,Urban,Overall,30-34,2,,,4,2
BANNU DISTRICT,Urban,Overall,35-39,4,,,1,1
BANNU DISTRICT,Urban,Overall,40-44,1,1,,1,3
BANNU DISTRICT,Urban,Overall,45-49,,,,2,1
BANNU DISTRICT,Urban,Overall,50-54,2,,,,
BANNU DISTRICT,Urban,Overall,55-59,2,,,2,1
BANNU DISTRICT,Urban,Overall,60-64,1,,,3,1
BANNU DISTRICT,Urban,Overall,65-69,,,,1,1
BANNU DISTRICT,Urban,Overall,70-74,,,,1,
BANNU DISTRICT,Urban,Overall,75 AND ABOVE,,,,1,
BANNU DISTRICT,Urban,Male,10-14,,1,3,3,3
BANNU DISTRICT,Urban,Male,15-19,,,2,5,2
BANNU DISTRICT,Urban,Male,20-24,,1,,1,2
BANNU DISTRICT,Urban,Male,25-29,,2,,2,2
BANNU DISTRICT,Urban,Male,30-34,2,,,1,
BANNU DISTRICT,Urban,Male,35-39,4,,,1,1
BANNU DISTRICT,Urban,Male,40-44,1,1,,,3
BANNU DISTRICT,Urban,Male,45-49,,,,2,1
BANNU DISTRICT,Urban,Male,50-54,2,,,,
BANNU DISTRICT,Urban,Male,55-59,2,,,2,1
BANNU DISTRICT,Urban,Male,60-64,1,,,1,1
BANNU DISTRICT,Urban,Male,65-69,,,,,1
BANNU DISTRICT,Urban,Male,70-74,,,,1,
BANNU DISTRICT,Urban,Male,75 AND ABOVE,,,,,
BANNU DISTRICT,Urban,Female,10-14,,,2,5,2
BANNU DISTRICT,Urban,Female,15-19,,1,,2,2
BANNU DISTRICT,Urban,Female,20-24,1,1,2,5,
BANNU DISTRICT,Urban,Female,25-29,,1,,2,
BANNU DISTRICT,Urban,Female,30-34,,,,3,2
BANNU DISTRICT,Urban,Female,35-39,,,,,
BANNU DISTRICT,Urban,Female,40-44,,,,1,
BANNU DISTRICT,Urban,Female,45-49,,,,,
BANNU DISTRICT,Urban,Female,50-54,,,,,
BANNU DISTRICT,Urban,Female,55-59,,,,,
BANNU DISTRICT,Urban,Female,60-64,,,,2,
BANNU DISTRICT,Urban,Female,65-69,,,,1,
BANNU DISTRICT,Urban,Female,70-74,,,,,
BANNU DISTRICT,Urban,Female,75 AND ABOVE,,,,1,
BANNU DISTRICT,Urban,Transgender,10-14,,,,,
BANNU DISTRICT,Urban,Transgender,15-19,,,,,
BANNU DISTRICT,Urban,Transgender,20-24,,,,,
BANNU DISTRICT,Urban,Transgender,25-29,,,,,
BANNU DISTRICT,Urban,Transgender,30-34,,,,,
BANNU DISTRICT,Urban,Transgender,35-39,,,,,
BANNU DISTRICT,Urban,Transgender,40-44,,,,,
BANNU DISTRICT,Urban,Transgender,45-49,,,,,
BANNU DISTRICT,Urban,Transgender,50-54,,,,,
BANNU DISTRICT,Urban,Transgender,55-59,,,,,
BANNU DISTRICT,Urban,Transgender,60-64,,,,,
BANNU DISTRICT,Urban,Transgender,65-69,,,,,
BANNU DISTRICT,Urban,Transgender,70-74,,,,,
BANNU DISTRICT,Urban,Transgender,75 AND ABOVE,,,,,
LAKKI MARWAT DISTRICT,All,Overall,10-14,49,16,169,143,293
LAKKI MARWAT DISTRICT,All,Overall,15-19,78,41,123,183,278
LAKKI MARWAT DISTRICT,All,Overall,20-24,93,38,42,152,244
LAKKI MARWAT DISTRICT,All,Overall,25-29,84,29,13,119,160
LAKKI MARWAT DISTRICT,All,Overall,30-34,58,15,4,78,97
LAKKI MARWAT DISTRICT,All,Overall,35-39,57,11,2,61,71
LAKKI MARWAT DISTRICT,All,Overall,40-44,52,8,1,59,66
LAKKI MARWAT DISTRICT,All,Overall,45-49,49,7,,46,48
LAKKI MARWAT DISTRICT,All,Overall,50-54,39,2,,47,60
LAKKI MARWAT DISTRICT,All,Overall,55-59,36,5,,60,48
LAKKI MARWAT DISTRICT,All,Overall,60-64,31,2,,40,72
LAKKI MARWAT DISTRICT,All,Overall,65-69,19,2,,44,47
LAKKI MARWAT DISTRICT,All,Overall,70-74,15,2,,25,43
LAKKI MARWAT DISTRICT,All,Overall,75 AND ABOVE,18,1,,41,55
LAKKI MARWAT DISTRICT,All,Male,10-14,34,14,136,54,196
LAKKI MARWAT DISTRICT,All,Male,15-19,56,33,101,71,198
LAKKI MARWAT DISTRICT,All,Male,20-24,84,30,34,61,186
LAKKI MARWAT DISTRICT,All,Male,25-29,76,27,12,47,113
LAKKI MARWAT DISTRICT,All,Male,30-34,52,15,4,27,69
LAKKI MARWAT DISTRICT,All,Male,35-39,57,10,1,16,50
LAKKI MARWAT DISTRICT,All,Male,40-44,52,8,1,28,48
LAKKI MARWAT DISTRICT,All,Male,45-49,48,7,,28,39
LAKKI MARWAT DISTRICT,All,Male,50-54,37,2,,18,43
LAKKI MARWAT DISTRICT,All,Male,55-59,33,5,,28,41
LAKKI MARWAT DISTRICT,All,Male,60-64,31,2,,14,49
LAKKI MARWAT DISTRICT,All,Male,65-69,18,2,,23,36
LAKKI MARWAT DISTRICT,All,Male,70-74,13,2,,15,29
