district,localities,gender,age_group,working,seeking_work,students,housekeeping,other
SARGODHA DISTRICT,All,Male,50-54,235,20,,57,172
SARGODHA DISTRICT,All,Male,55-59,131,6,,45,115
SARGODHA DISTRICT,All,Male,60-64,114,3,,42,104
SARGODHA DISTRICT,All,Male,65-69,73,4,,31,106
SARGODHA DISTRICT,All,Male,70-74,61,4,,24,76
SARGODHA DISTRICT,All,Male,75 AND ABOVE,70,2,,60,105
SARGODHA DISTRICT,All,Female,10-14,38,14,213,248,311
SARGODHA DISTRICT,All,Female,15-19,41,19,107,324,291
SARGODHA DISTRICT,All,Female,20-24,35,9,37,331,219
SARGODHA DISTRICT,All,Female,25-29,35,6,16,314,190
SARGODHA DISTRICT,All,Female,30-34,23,8,6,211,129
SARGODHA DISTRICT,All,Female,35-39,18,4,1,205,115
SARGODHA DISTRICT,All,Female,40-44,24,1,1,160,91
SARGODHA DISTRICT,All,Female,45-49,17,1,,137,40
SARGODHA DISTRICT,All,Female,50-54,6,4,,105,67
SARGODHA DISTRICT,All,Female,55-59,6,2,,80,49
SARGODHA DISTRICT,All,Female,60-64,7,,,55,41
SARGODHA DISTRICT,All,Female,65-69,5,,,64,37
SARGODHA DISTRICT,All,Female,70-74,10,2,,37,25
SARGODHA DISTRICT,All,Female,75 AND ABOVE,10,,,63,58
SARGODHA DISTRICT,All,Transgender,10-14,,,,,
SARGODHA DISTRICT,All,Transgender,15-19,2,,,,
SARGODHA DISTRICT,All,Transgender,20-24,1,1,1,1,4
SARGODHA DISTRICT,All,Transgender,25-29,4,,,2,1
SARGODHA DISTRICT,All,Transgender,30-34,6,1,,2,
SARGODHA DISTRICT,All,Transgender,35-39,1,,,1,
SARGODHA DISTRICT,All,Transgender,40-44,1,,,1,1
SARGODHA DISTRICT,All,Transgender,45-49,1,1,,,
SARGODHA DISTRICT,All,Transgender,50-54,,,,,1
SARGODHA DISTRICT,All,Transgender,55-59,,,,,1
SARGODHA DISTRICT,All,Transgender,60-64,,,,1,1
SARGODHA DISTRICT,All,Transgender,65-69,,,,2,1
SARGODHA DISTRICT,All,Transgender,70-74,2,,,,
SARGODHA DISTRICT,All,Transgender,75 AND ABOVE,,,,3,1
SARGODHA DISTRICT,Rural,Overall,10-14,113,50,464,348,662
SARGODHA DISTRICT,Rural,Overall,15-19,231,55,241,429,629
SARGODHA DISTRICT,Rural,Overall,20-24,252,64,69,385,488
SARGODHA DISTRICT,Rural,Overall,25-29,307,40,22,351,378
SARGODHA DISTRICT,Rural,Overall,30-34,247,28,7,242,310
SARGODHA DISTRICT,Rural,Overall,35-39,230,19,1,220,267
SARGODHA DISTRICT,Rural,Overall,40-44,192,8,1,172,217
SARGODHA DISTRICT,Rural,Overall,45-49,187,8,,154,150
SARGODHA DISTRICT,Rural,Overall,50-54,190,15,,116,174
SARGODHA DISTRICT,Rural,Overall,55-59,103,6,,91,138
SARGODHA DISTRICT,Rural,Overall,60-64,101,3,,69,111
SARGODHA DISTRICT,Rural,Overall,65-69,60,4,,76,121
SARGODHA DISTRICT,Rural,Overall,70-74,62,5,,40,86
SARGODHA DISTRICT,Rural,Overall,75 AND ABOVE,71,2,,94,137
SARGODHA DISTRICT,Rural,Male,10-14,82,38,315,154,406
SARGODHA DISTRICT,Rural,Male,15-19,197,40,162,172,413
SARGODHA DISTRICT,Rural,Male,20-24,230,56,50,138,325
SARGODHA DISTRICT,Rural,Male,25-29,283,36,16,111,241
SARGODHA DISTRICT,Rural,Male,30-34,227,22,2,83,215
SARGODHA DISTRICT,Rural,Male,35-39,217,16,1,64,174
SARGODHA DISTRICT,Rural,Male,40-44,177,7,1,55,148
SARGODHA DISTRICT,Rural,Male,45-49,173,7,,48,118
SARGODHA DISTRICT,Rural,Male,50-54,186,12,,42,126
SARGODHA DISTRICT,Rural,Male,55-59,98,4,,39,98
SARGODHA DISTRICT,Rural,Male,60-64,95,3,,33,80
SARGODHA DISTRICT,Rural,Male,65-69,57,4,,22,88
SARGODHA DISTRICT,Rural,Male,70-74,51,3,,16,65
SARGODHA DISTRICT,Rural,Male,75 AND ABOVE,63,2,,43,84
SARGODHA DISTRICT,Rural,Female,10-14,31,12,149,194,256
SARGODHA DISTRICT,Rural,Female,15-19,33,15,79,257,216
SARGODHA DISTRICT,Rural,Female,20-24,22,7,19,247,162
SARGODHA DISTRICT,Rural,Female,25-29,20,4,6,239,137
SARGODHA DISTRICT,Rural,Female,30-34,15,5,5,158,95
SARGODHA DISTRICT,Rural,Female,35-39,12,3,,156,93
SARGODHA DISTRICT,Rural,Female,40-44,15,1,,116,69
SARGODHA DISTRICT,Rural,Female,45-49,14,1,,106,32
SARGODHA DISTRICT,Rural,Female,50-54,4,3,,74,48
SARGODHA DISTRICT,Rural,Female,55-59,5,2,,52,40
SARGODHA DISTRICT,Rural,Female,60-64,6,,,35,30
SARGODHA DISTRICT,Rural,Female,65-69,3,,,52,32
SARGODHA DISTRICT,Rural,Female,70-74,9,2,,24,21
SARGODHA DISTRICT,Rural,Female,75 AND ABOVE,8,,,49,52
SARGODHA DISTRICT,Rural,Transgender,10-14,,,,,
SARGODHA DISTRICT,Rural,Transgender,15-19,1,,,,
SARGODHA DISTRICT,Rural,Transgender,20-24,,1,,,1
SARGODHA DISTRICT,Rural,Transgender,25-29,4,,,1,
SARGODHA DISTRICT,Rural,Transgender,30-34,5,1,,1,
SARGODHA DISTRICT,Rural,Transgender,35-39,1,,,,
SARGODHA DISTRICT,Rural,Transgender,40-44,,,,1,
SARGODHA DISTRICT,Rural,Transgender,45-49,,,,,
SARGODHA DISTRICT,Rural,Transgender,50-54,,,,,
SARGODHA DISTRICT,Rural,Transgender,55-59,,,,,
SARGODHA DISTRICT,Rural,Transgender,60-64,,,,1,1
SARGODHA DISTRICT,Rural,Transgender,65-69,,,,2,1
SARGODHA DISTRICT,Rural,Transgender,70-74,2,,,,
SARGODHA DISTRICT,Rural,Transgender,75 AND ABOVE,,,,2,1
SARGODHA DISTRICT,Urban,Overall,10-14,21,9,200,79,173
SARGODHA DISTRICT,Urban,Overall,15-19,61,25,108,108,184
SARGODHA DISTRICT,Urban,Overall,20-24,91,30,62,138,190
SARGODHA DISTRICT,Urban,Overall,25-29,115,17,21,124,157
SARGODHA DISTRICT,Urban,Overall,30-34,87,18,3,86,93
SARGODHA DISTRICT,Urban,Overall,35-39,85,8,5,69,70
SARGODHA DISTRICT,Urban,Overall,40-44,60,3,2,58,67
SARGODHA DISTRICT,Urban,Overall,45-49,61,3,,48,40
SARGODHA DISTRICT,Urban,Overall,50-54,51,9,,46,66
SARGODHA DISTRICT,Urban,Overall,55-59,34,2,,34,27
SARGODHA DISTRICT,Urban,Overall,60-64,20,,,29,35
SARGODHA DISTRICT,Urban,Overall,65-69,18,,,21,23
SARGODHA DISTRICT,Urban,Overall,70-74,11,1,,21,15
SARGODHA DISTRICT,Urban,Overall,75 AND ABOVE,9,,,32,27
SARGODHA DISTRICT,Urban,Male,10-14,14,7,136,25,118
SARGODHA DISTRICT,Urban,Male,15-19,52,21,80,41,109
SARGODHA DISTRICT,Urban,Male,20-24,77,28,43,53,130
SARGODHA DISTRICT,Urban,Male,25-29,100,15,11,48,103
SARGODHA DISTRICT,Urban,Male,30-34,78,15,2,32,59
SARGODHA DISTRICT,Urban,Male,35-39,79,7,4,19,48
SARGODHA DISTRICT,Urban,Male,40-44,50,3,1,14,44
SARGODHA DISTRICT,Urban,Male,45-49,57,2,,17,32
SARGODHA DISTRICT,Urban,Male,50-54,49,8,,15,46
SARGODHA DISTRICT,Urban,Male,55-59,33,2,,6,17
SARGODHA DISTRICT,Urban,Male,60-64,19,,,9,24
SARGODHA DISTRICT,Urban,Male,65-69,16,,,9,18
SARGODHA DISTRICT,Urban,Male,70-74,10,1,,8,11
SARGODHA DISTRICT,Urban,Male,75 AND ABOVE,7,,,17,21
SARGODHA DISTRICT,Urban,Female,10-14,7,2,64,54,55
SARGODHA DISTRICT,Urban,Female,15-19,8,4,28,67,75
SARGODHA DISTRICT,Urban,Female,20-24,13,2,18,84,57
SARGODHA DISTRICT,Urban,Female,25-29,15,2,10,75,53
SARGODHA DISTRICT,Urban,Female,30-34,8,3,1,53,34
SARGODHA DISTRICT,Urban,Female,35-39,6,1,1,49,22
SARGODHA DISTRICT,Urban,Female,40-44,9,,1,44,22
SARGODHA DISTRICT,Urban,Female,45-49,3,,,31,8
SARGODHA DISTRICT,Urban,Female,50-54,2,1,,31,19
SARGODHA DISTRICT,Urban,Female,55-59,1,,,28,9
SARGODHA DISTRICT,Urban,Female,60-64,1,,,20,11
SARGODHA DISTRICT,Urban,Female,65-69,2,,,12,5
SARGODHA DISTRICT,Urban,Female,70-74,1,,,13,4
SARGODHA DISTRICT,Urban,Female,75 AND ABOVE,2,,,14,6
SARGODHA DISTRICT,Urban,Transgender,10-14,,,,,
SARGODHA DISTRICT,Urban,Transgender,15-19,1,,,,
SARGODHA DISTRICT,Urban,Transgender,20-24,1,,1,1,3
SARGODHA DISTRICT,Urban,Transgender,25-29,,,,1,1
SARGODHA DISTRICT,Urban,Transgender,30-34,1,,,1,
SARGODHA DISTRICT,Urban,Transgender,35-39,,,,1,
SARGODHA DISTRICT,Urban,Transgender,40-44,1,,,,1
SARGODHA DISTRICT,Urban,Transgender,45-49,1,1,,,
SARGODHA DISTRICT,Urban,Transgender,50-54,,,,,1
SARGODHA DISTRICT,Urban,Transgender,55-59,,,,,1
SARGODHA DISTRICT,Urban,Transgender,60-64,,,,,
SARGODHA DISTRICT,Urban,Transgender,65-69,,,,,
SARGODHA DISTRICT,Urban,Transgender,70-74,,,,,
SARGODHA DISTRICT,Urban,Transgender,75 AND ABOVE,,,,1,
MIANWALI DISTRICT,All,Overall,10-14,68,34,250,232,292
MIANWALI DISTRICT,All,Overall,15-19,121,54,153,269,325
MIANWALI DISTRICT,All,Overall,20-24,119,50,57,279,256
MIANWALI DISTRICT,All,Overall,25-29,118,50,16,199,206
MIANWALI DISTRICT,All,Overall,30-34,116,28,6,156,188
MIANWALI DISTRICT,All,Overall,35-39,104,24,2,145,151
MIANWALI DISTRICT,All,Overall,40-44,90,13,1,82,129
MIANWALI DISTRICT,All,Overall,45-49,102,8,,103,96
MIANWALI DISTRICT,All,Overall,50-54,86,6,,74,102
MIANWALI DISTRICT,All,Overall,55-59,67,3,,70,81
MIANWALI DISTRICT,All,Overall,60-64,40,1,,54,62
MIANWALI DISTRICT,All,Overall,65-69,51,5,,39,58
MIANWALI DISTRICT,All,Overall,70-74,27,1,,37,48
MIANWALI DISTRICT,All,Overall,75 AND ABOVE,35,,,45,51
MIANWALI DISTRICT,All,Male,10-14,43,23,163,111,170
MIANWALI DISTRICT,All,Male,15-19,94,36,103,96,222
MIANWALI DISTRICT,All,Male,20-24,95,36,40,96,164
MIANWALI DISTRICT,All,Male,25-29,93,41,9,69,135
MIANWALI DISTRICT,All,Male,30-34,95,21,4,57,124
MIANWALI DISTRICT,All,Male,35-39,86,18,1,44,100
MIANWALI DISTRICT,All,Male,40-44,79,10,,31,91
MIANWALI DISTRICT,All,Male,45-49,84,6,,34,63
MIANWALI DISTRICT,All,Male,50-54,76,3,,34,69
MIANWALI DISTRICT,All,Male,55-59,63,3,,29,56
MIANWALI DISTRICT,All,Male,60-64,36,1,,19,46
MIANWALI DISTRICT,All,Male,65-69,45,3,,14,40
MIANWALI DISTRICT,All,Male,70-74,26,1,,19,28
MIANWALI DISTRICT,All,Male,75 AND ABOVE,32,,,16,33
MIANWALI DISTRICT,All,Female,10-14,25,11,87,121,122
MIANWALI DISTRICT,All,Female,15-19,25,18,48,170,103
MIANWALI DISTRICT,All,Female,20-24,24,14,17,181,90
MIANWALI DISTRICT,All,Female,25-29,25,8,7,128,70
MIANWALI DISTRICT,All,Female,30-34,21,7,2,98,63
MIANWALI DISTRICT,All,Female,35-39,18,6,1,98,50
MIANWALI DISTRICT,All,Female,40-44,11,3,1,51,38
MIANWALI DISTRICT,All,Female,45-49,18,2,,68,33
MIANWALI DISTRICT,All,Female,50-54,10,3,,40,32
MIANWALI DISTRICT,All,Female,55-59,4,,,41,25
MIANWALI DISTRICT,All,Female,60-64,4,,,35,14
MIANWALI DISTRICT,All,Female,65-69,6,2,,25,18
MIANWALI DISTRICT,All,Female,70-74,1,,,17,20
MIANWALI DISTRICT,All,Female,75 AND ABOVE,3,,,27,17
MIANWALI DISTRICT,All,Transgender,10-14,,,,,
MIANWALI DISTRICT,All,Transgender,15-19,2,,2,3,
MIANWALI DISTRICT,All,Transgender,20-24,,,,2,2
MIANWALI DISTRICT,All,Transgender,25-29,,1,,2,1
MIANWALI DISTRICT,All,Transgender,30-34,,,,1,1
MIANWALI DISTRICT,All,Transgender,35-39,,,,3,1
MIANWALI DISTRICT,All,Transgender,40-44,,,,,
MIANWALI DISTRICT,All,Transgender,45-49,,,,1,
MIANWALI DISTRICT,All,Transgender,50-54,,,,,1
MIANWALI DISTRICT,All,Transgender,55-59,,,,,
MIANWALI DISTRICT,All,Transgender,60-64,,,,,2
MIANWALI DISTRICT,All,Transgender,65-69,,,,,
MIANWALI DISTRICT,All,Transgender,70-74,,,,1,
MIANWALI DISTRICT,All,Transgender,75 AND ABOVE,,,,2,1
MIANWALI DISTRICT,Rural,Overall,10-14,57,29,193,190,214
MIANWALI DISTRICT,Rural,Overall,15-19,96,38,111,208,231
MIANWALI DISTRICT,Rural,Overall,20-24,96,36,40,221,178
MIANWALI DISTRICT,Rural,Overall,25-29,86,40,13,154,153
MIANWALI DISTRICT,Rural,Overall,30-34,91,24,5,113,131
MIANWALI DISTRICT,Rural,Overall,35-39,83,14,2,109,105
MIANWALI DISTRICT,Rural,Overall,40-44,64,7,1,60,99
MIANWALI DISTRICT,Rural,Overall,45-49,78,6,,73,64
MIANWALI DISTRICT,Rural,Overall,50-54,64,5,,59,78
MIANWALI DISTRICT,Rural,Overall,55-59,48,2,,58,65
MIANWALI DISTRICT,Rural,Overall,60-64,33,1,,43,47
MIANWALI DISTRICT,Rural,Overall,65-69,40,4,,31,40
MIANWALI DISTRICT,Rural,Overall,70-74,24,1,,28,32
MIANWALI DISTRICT,Rural,Overall,75 AND ABOVE,29,,,35,36
MIANWALI DISTRICT,Rural,Male,10-14,38,20,130,93,126
MIANWALI DISTRICT,Rural,Male,15-19,76,25,78,79,160
MIANWALI DISTRICT,Rural,Male,20-24,76,25,29,80,118
MIANWALI DISTRICT,Rural,Male,25-29,70,32,8,56,101
MIANWALI DISTRICT,Rural,Male,30-34,74,18,3,45,89
MIANWALI DISTRICT,Rural,Male,35-39,69,10,1,33,73
MIANWALI DISTRICT,Rural,Male,40-44,57,5,,21,69
MIANWALI DISTRICT,Rural,Male,45-49,64,4,,27,46
MIANWALI DISTRICT,Rural,Male,50-54,58,2,,28,52
MIANWALI DISTRICT,Rural,Male,55-59,45,2,,26,46
MIANWALI DISTRICT,Rural,Male,60-64,29,1,,14,34
MIANWALI DISTRICT,Rural,Male,65-69,37,3,,11,28
MIANWALI DISTRICT,Rural,Male,70-74,23,1,,15,21
MIANWALI DISTRICT,Rural,Male,75 AND ABOVE,26,,,15,25
MIANWALI DISTRICT,Rural,Female,10-14,19,9,63,97,88
MIANWALI DISTRICT,Rural,Female,15-19,18,13,33,128,71
MIANWALI DISTRICT,Rural,Female,20-24,20,11,11,139,58
MIANWALI DISTRICT,Rural,Female,25-29,16,7,5,97,51
MIANWALI DISTRICT,Rural,Female,30-34,17,6,2,67,41
MIANWALI DISTRICT,Rural,Female,35-39,14,4,1,74,31
MIANWALI DISTRICT,Rural,Female,40-44,7,2,1,39,30
MIANWALI DISTRICT,Rural,Female,45-49,14,2,,46,18
MIANWALI DISTRICT,Rural,Female,50-54,6,3,,31,25
MIANWALI DISTRICT,Rural,Female,55-59,3,,,32,19
MIANWALI DISTRICT,Rural,Female,60-64,4,,,29,11
MIANWALI DISTRICT,Rural,Female,65-69,3,1,,20,12
MIANWALI DISTRICT,Rural,Female,70-74,1,,,12,11
MIANWALI DISTRICT,Rural,Female,75 AND ABOVE,3,,,19,11
MIANWALI DISTRICT,Rural,Transgender,10-14,,,,,
MIANWALI DISTRICT,Rural,Transgender,15-19,2,,,1,
MIANWALI DISTRICT,Rural,Transgender,20-24,,,,2,2
MIANWALI DISTRICT,Rural,Transgender,25-29,,1,,1,1
MIANWALI DISTRICT,Rural,Transgender,30-34,,,,1,1
MIANWALI DISTRICT,Rural,Transgender,35-39,,,,2,1
MIANWALI DISTRICT,Rural,Transgender,40-44,,,,,
MIANWALI DISTRICT,Rural,Transgender,45-49,,,,,
MIANWALI DISTRICT,Rural,Transgender,50-54,,,,,1
MIANWALI DISTRICT,Rural,Transgender,55-59,,,,,
MIANWALI DISTRICT,Rural,Transgender,60-64,,,,,2
MIANWALI DISTRICT,Rural,Transgender,65-69,,,,,
MIANWALI DISTRICT,Rural,Transgender,70-74,,,,1,
MIANWALI DISTRICT,Rural,Transgender,75 AND ABOVE,,,,1,
MIANWALI DISTRICT,Urban,Overall,10-14,11,5,57,42,78
MIANWALI DISTRICT,Urban,Overall,15-19,25,16,42,61,94
MIANWALI DISTRICT,Urban,Overall,20-24,23,14,17,58,78
MIANWALI DISTRICT,Urban,Overall,25-29,32,10,3,45,53
MIANWALI DISTRICT,Urban,Overall,30-34,25,4,1,43,57
MIANWALI DISTRICT,Urban,Overall,35-39,21,10,,36,46
MIANWALI DISTRICT,Urban,Overall,40-44,26,6,,22,30
MIANWALI DISTRICT,Urban,Overall,45-49,24,2,,30,32
MIANWALI DISTRICT,Urban,Overall,50-54,22,1,,15,24
MIANWALI DISTRICT,Urban,Overall,55-59,19,1,,12,16
MIANWALI DISTRICT,Urban,Overall,60-64,7,,,11,15
MIANWALI DISTRICT,Urban,Overall,65-69,11,1,,8,18
MIANWALI DISTRICT,Urban,Overall,70-74,3,,,9,16
MIANWALI DISTRICT,Urban,Overall,75 AND ABOVE,6,,,10,15
MIANWALI DISTRICT,Urban,Male,10-14,5,3,33,18,44
MIANWALI DISTRICT,Urban,Male,15-19,18,11,25,17,62
MIANWALI DISTRICT,Urban,Male,20-24,19,11,11,16,46
MIANWALI DISTRICT,Urban,Male,25-29,23,9,1,13,34
MIANWALI DISTRICT,Urban,Male,30-34,21,3,1,12,35
MIANWALI DISTRICT,Urban,Male,35-39,17,8,,11,27
MIANWALI DISTRICT,Urban,Male,40-44,22,5,,10,22
MIANWALI DISTRICT,Urban,Male,45-49,20,2,,7,17
MIANWALI DISTRICT,Urban,Male,50-54,18,1,,6,17
MIANWALI DISTRICT,Urban,Male,55-59,18,1,,3,10
MIANWALI DISTRICT,Urban,Male,60-64,7,,,5,12
MIANWALI DISTRICT,Urban,Male,65-69,8,,,3,12
MIANWALI DISTRICT,Urban,Male,70-74,3,,,4,7
MIANWALI DISTRICT,Urban,Male,75 AND ABOVE,6,,,1,8
MIANWALI DISTRICT,Urban,Female,10-14,6,2,24,24,34
MIANWALI DISTRICT,Urban,Female,15-19,7,5,15,42,32
MIANWALI DISTRICT,Urban,Female,20-24,4,3,6,42,32
MIANWALI DISTRICT,Urban,Female,25-29,9,1,2,31,19
MIANWALI DISTRICT,Urban,Female,30-34,4,1,,31,22
MIANWALI DISTRICT,Urban,Female,35-39,4,2,,24,19
MIANWALI DISTRICT,Urban,Female,40-44,4,1,,12,8
MIANWALI DISTRICT,Urban,Female,45-49,4,,,22,15
MIANWALI DISTRICT,Urban,Female,50-54,4,,,9,7
MIANWALI DISTRICT,Urban,Female,55-59,1,,,9,6
MIANWALI DISTRICT,Urban,Female,60-64,,,,6,3
MIANWALI DISTRICT,Urban,Female,65-69,3,1,,5,6
MIANWALI DISTRICT,Urban,Female,70-74,,,,5,9
MIANWALI DISTRICT,Urban,Female,75 AND ABOVE,,,,8,6
MIANWALI DISTRICT,Urban,Transgender,10-14,,,,,
MIANWALI DISTRICT,Urban,Transgender,15-19,,,2,2,
MIANWALI DISTRICT,Urban,Transgender,20-24,,,,,
MIANWALI DISTRICT,Urban,Transgender,25-29,,,,1,
MIANWALI DISTRICT,Urban,Transgender,30-34,,,,,
MIANWALI DISTRICT,Urban,Transgender,35-39,,,,1,
MIANWALI DISTRICT,Urban,Transgender,40-44,,,,,
MIANWALI DISTRICT,Urban,Transgender,45-49,,,,1,
MIANWALI DISTRICT,Urban,Transgender,50-54,,,,,
MIANWALI DISTRICT,Urban,Transgender,55-59,,,,,
MIANWALI DISTRICT,Urban,Transgender,60-64,,,,,
MIANWALI DISTRICT,Urban,Transgender,65-69,,,,,
MIANWALI DISTRICT,Urban,Transgender,70-74,,,,,
MIANWALI DISTRICT,Urban,Transgender,75 AND ABOVE,,,,1,1
GUJRANWALA DISTRICT,All,Overall,10-14,151,78,779,355,512
GUJRANWALA DISTRICT,All,Overall,15-19,322,81,415,493,652
GUJRANWALA DISTRICT,All,Overall,20-24,479,95,170,510,605
GUJRANWALA DISTRICT,All,Overall,25-29,495,76,57,456,494
GUJRANWALA DISTRICT,All,Overall,30-34,403,43,12,327,362
GUJRANWALA DISTRICT,All,Overall,35-39,335,29,4,249,285
GUJRANWALA DISTRICT,All,Overall,40-44,286,26,3,191,232
GUJRANWALA DISTRICT,All,Overall,45-49,182,10,,127,156
GUJRANWALA DISTRICT,All,Overall,50-54,182,21,,112,179
GUJRANWALA DISTRICT,All,Overall,55-59,129,9,,99,125
GUJRANWALA DISTRICT,All,Overall,60-64,94,11,,85,117
GUJRANWALA DISTRICT,All,Overall,65-69,56,7,,58,73
GUJRANWALA DISTRICT,All,Overall,70-74,47,3,,53,76
GUJRANWALA DISTRICT,All,Overall,75 AND ABOVE,59,8,,60,101
GUJRANWALA DISTRICT,All,Male,10-14,99,51,442,175,316
GUJRANWALA DISTRICT,All,Male,15-19,233,54,221,193,436
GUJRANWALA DISTRICT,All,Male,20-24,388,69,97,197,424
GUJRANWALA DISTRICT,All,Male,25-29,418,60,30,157,353
GUJRANWALA DISTRICT,All,Male,30-34,331,32,9,93,253
GUJRANWALA DISTRICT,All,Male,35-39,297,23,3,70,209
GUJRANWALA DISTRICT,All,Male,40-44,253,20,2,61,176
GUJRANWALA DISTRICT,All,Male,45-49,165,7,,39,110
GUJRANWALA DISTRICT,All,Male,50-54,171,16,,38,130
GUJRANWALA DISTRICT,All,Male,55-59,116,7,,33,90
GUJRANWALA DISTRICT,All,Male,60-64,83,10,,36,90
GUJRANWALA DISTRICT,All,Male,65-69,49,5,,26,55
GUJRANWALA DISTRICT,All,Male,70-74,36,3,,20,51
GUJRANWALA DISTRICT,All,Male,75 AND ABOVE,47,6,,29,61
GUJRANWALA DISTRICT,All,Female,10-14,52,27,337,180,196
GUJRANWALA DISTRICT,All,Female,15-19,84,27,181,296,213
GUJRANWALA DISTRICT,All,Female,20-24,85,24,70,309,175
GUJRANWALA DISTRICT,All,Female,25-29,70,16,26,293,137
GUJRANWALA DISTRICT,All,Female,30-34,67,11,3,230,108
GUJRANWALA DISTRICT,All,Female,35-39,34,6,1,177,74
GUJRANWALA DISTRICT,All,Female,40-44,33,6,1,127,55
GUJRANWALA DISTRICT,All,Female,45-49,17,3,,86,45
GUJRANWALA DISTRICT,All,Female,50-54,11,5,,72,48
GUJRANWALA DISTRICT,All,Female,55-59,9,2,,64,33
GUJRANWALA DISTRICT,All,Female,60-64,11,1,,48,26
GUJRANWALA DISTRICT,All,Female,65-69,7,2,,30,17
GUJRANWALA DISTRICT,All,Female,70-74,8,,,31,23
GUJRANWALA DISTRICT,All,Female,75 AND ABOVE,12,2,,27,40
GUJRANWALA DISTRICT,All,Transgender,10-14,,,,,
GUJRANWALA DISTRICT,All,Transgender,15-19,5,,13,4,3
GUJRANWALA DISTRICT,All,Transgender,20-24,6,2,3,4,6
GUJRANWALA DISTRICT,All,Transgender,25-29,7,,1,6,4
GUJRANWALA DISTRICT,All,Transgender,30-34,5,,,4,1
GUJRANWALA DISTRICT,All,Transgender,35-39,4,,,2,2
GUJRANWALA DISTRICT,All,Transgender,40-44,,,,3,1
GUJRANWALA DISTRICT,All,Transgender,45-49,,,,2,1
GUJRANWALA DISTRICT,All,Transgender,50-54,,,,2,1
GUJRANWALA DISTRICT,All,Transgender,55-59,4,,,2,2
GUJRANWALA DISTRICT,All,Transgender,60-64,,,,1,1
GUJRANWALA DISTRICT,All,Transgender,65-69,,,,2,1
GUJRANWALA DISTRICT,All,Transgender,70-74,3,,,2,2
GUJRANWALA DISTRICT,All,Transgender,75 AND ABOVE,,,,4,
GUJRANWALA DISTRICT,Rural,Overall,10-14,70,35,316,165,203
GUJRANWALA DISTRICT,Rural,Overall,15-19,128,36,130,198,232
GUJRANWALA DISTRICT,Rural,Overall,20-24,175,42,44,210,211
GUJRANWALA DISTRICT,Rural,Overall,25-29,180,27,22,171,180
GUJRANWALA DISTRICT,Rural,Overall,30-34,138,16,4,115,117
GUJRANWALA DISTRICT,Rural,Overall,35-39,128,11,,101,103
GUJRANWALA DISTRICT,Rural,Overall,40-44,104,10,1,66,62
GUJRANWALA DISTRICT,Rural,Overall,45-49,82,6,,44,53
GUJRANWALA DISTRICT,Rural,Overall,50-54,70,5,,33,49
GUJRANWALA DISTRICT,Rural,Overall,55-59,53,2,,23,44
GUJRANWALA DISTRICT,Rural,Overall,60-64,38,3,,37,41
GUJRANWALA DISTRICT,Rural,Overall,65-69,20,,,20,25
GUJRANWALA DISTRICT,Rural,Overall,70-74,18,,,18,28
GUJRANWALA DISTRICT,Rural,Overall,75 AND ABOVE,23,2,,25,53
GUJRANWALA DISTRICT,Rural,Male,10-14,48,21,168,92,132
GUJRANWALA DISTRICT,Rural,Male,15-19,93,21,66,86,160
GUJRANWALA DISTRICT,Rural,Male,20-24,151,28,25,89,140
GUJRANWALA DISTRICT,Rural,Male,25-29,152,17,14,62,132
GUJRANWALA DISTRICT,Rural,Male,30-34,115,10,3,35,85
GUJRANWALA DISTRICT,Rural,Male,35-39,113,7,,30,72
GUJRANWALA DISTRICT,Rural,Male,40-44,93,8,1,24,53
GUJRANWALA DISTRICT,Rural,Male,45-49,77,3,,11,37
GUJRANWALA DISTRICT,Rural,Male,50-54,65,3,,12,37
GUJRANWALA DISTRICT,Rural,Male,55-59,47,1,,6,30
GUJRANWALA DISTRICT,Rural,Male,60-64,34,3,,16,33
GUJRANWALA DISTRICT,Rural,Male,65-69,17,,,10,20
GUJRANWALA DISTRICT,Rural,Male,70-74,14,,,5,18
GUJRANWALA DISTRICT,Rural,Male,75 AND ABOVE,20,1,,13,34
GUJRANWALA DISTRICT,Rural,Female,10-14,22,14,148,73,71
GUJRANWALA DISTRICT,Rural,Female,15-19,33,15,56,111,70
GUJRANWALA DISTRICT,Rural,Female,20-24,22,14,19,120,69
GUJRANWALA DISTRICT,Rural,Female,25-29,25,10,7,107,45
GUJRANWALA DISTRICT,Rural,Female,30-34,21,6,1,78,32
GUJRANWALA DISTRICT,Rural,Female,35-39,12,4,,70,30
GUJRANWALA DISTRICT,Rural,Female,40-44,11,2,,41,9
GUJRANWALA DISTRICT,Rural,Female,45-49,5,3,,31,15
GUJRANWALA DISTRICT,Rural,Female,50-54,5,2,,19,11
GUJRANWALA DISTRICT,Rural,Female,55-59,5,1,,16,12
GUJRANWALA DISTRICT,Rural,Female,60-64,4,,,21,8
GUJRANWALA DISTRICT,Rural,Female,65-69,3,,,9,5
GUJRANWALA DISTRICT,Rural,Female,70-74,3,,,12,9
GUJRANWALA DISTRICT,Rural,Female,75 AND ABOVE,3,1,,8,19
GUJRANWALA DISTRICT,Rural,Transgender,10-14,,,,,
GUJRANWALA DISTRICT,Rural,Transgender,15-19,2,,8,1,2
GUJRANWALA DISTRICT,Rural,Transgender,20-24,2,,,1,2
GUJRANWALA DISTRICT,Rural,Transgender,25-29,3,,1,2,3
