district,tehsil,hh_anysource,radio,tv,newspaper,telephone,mobile,computerinternet
GHOTKI DISTRICT,KHANGARH TALUKA,20264,611,6232,2277,347,19586,549
GHOTKI DISTRICT,MIRPUR MATHELO TALUKA,47525,1517,17164,4676,1587,46306,2325
GHOTKI DISTRICT,UBAURO TALUKA,47941,690,14446,2306,304,46919,1362
KHAIRPUR DISTRICT,FAIZ GANJ TALUKA,33257,817,8518,1346,333,32600,722
KHAIRPUR DISTRICT,GAMBAT TALUKA,34147,633,15693,1679,914,33233,1524
KHAIRPUR DISTRICT,KHAIRPUR TALUKA,64436,1828,39130,4875,1641,62496,5889
KHAIRPUR DISTRICT,KINGRI TALUKA,46024,1925,21500,3918,689,44388,1987
KHAIRPUR DISTRICT,KOT DIJI TALUKA,45827,547,19633,997,369,44321,1486
KHAIRPUR DISTRICT,MIRWAH TALUKA,46919,641,16196,2918,423,45830,1204
KHAIRPUR DISTRICT,NARA TALUKA,19889,147,3728,639,157,19679,469
KHAIRPUR DISTRICT,SOBHO DERO TALUKA,37379,809,16957,2046,707,36310,1337
SUKKUR DISTRICT,NEW SUKKUR TALUKA,48305,873,28861,2916,1309,46704,3287
SUKKUR DISTRICT,PANO AQIL TALUKA,62775,1304,24822,2558,1176,61463,2685
SUKKUR DISTRICT,ROHRI TALUKA,52296,637,25033,2394,1209,50753,2403
SUKKUR DISTRICT,SALEHPAT TALUKA,19019,638,4070,769,173,18498,444
SUKKUR DISTRICT,SUKKUR CITY TALUKA,40688,1088,36440,3152,4218,39597,6416
BADIN DISTRICT,BADIN TALUKA,59914,5522,17149,5299,1023,57916,3403
BADIN DISTRICT,GOLARCHI (S.F.RAHU) TALUKA,43437,5487,11700,4974,1580,42352,1765
BADIN DISTRICT,MATLI TALUKA,58789,2677,18977,5076,861,57236,2679
BADIN DISTRICT,TALHAR TALUKA,22274,790,5754,1166,269,21406,1285
BADIN DISTRICT,TANDO BAGO TALUKA,56634,4148,11967,2517,1151,54553,2224
DADU DISTRICT,DADU TALUKA,72409,1604,46618,4177,1392,69492,5156
DADU DISTRICT,JOHI TALUKA,40720,2268,17152,1102,646,39439,916
DADU DISTRICT,KHAIRPUR NATHAN SHAH TALUKA,47389,1886,24157,2952,1139,45082,1750
DADU DISTRICT,MEHAR TALUKA,64024,2939,35172,3618,1119,60959,2129
HYDERABAD DISTRICT,HYDERABAD CITY TALUKA,137909,4370,127396,11367,8857,132855,19912
HYDERABAD DISTRICT,HYDERABAD TALUKA,67828,8494,41757,8273,3866,63636,6160
HYDERABAD DISTRICT,LATIFABAD TALUKA,136258,5468,120603,11146,9103,132117,26453
HYDERABAD DISTRICT,QASIMABAD TALUKA,56099,3587,47672,10719,7935,54684,20085
JAMSHORO DISTRICT,KOTRI TALUKA,68783,2051,48346,3856,2544,67065,7625
JAMSHORO DISTRICT,MANJHAND TALUKA,21639,3552,11313,2468,279,20781,934
JAMSHORO DISTRICT,SEHWAN TALUKA,41589,1155,26585,2447,1253,38614,1929
JAMSHORO DISTRICT,THANO BULA KHAN TALUKA,13665,1486,5296,1135,769,12895,1305
MATIARI DISTRICT,HALA TALUKA,37282,1867,23233,1932,707,35696,2325
MATIARI DISTRICT,MATIARI TALUKA,47778,1998,21357,2788,583,45334,1796
MATIARI DISTRICT,SAEEDABAD TALUKA,24501,1008,9933,1507,196,23576,775
SUJAWAL DISTRICT,JATI TALUKA,22560,2093,2124,971,164,21981,370
SUJAWAL DISTRICT,KHARO CHAN TALUKA,1371,30,22,13,4,1358,15
SUJAWAL DISTRICT,MIRPUR BATHORO TALUKA,24804,1415,6045,1766,370,24149,1035
SUJAWAL DISTRICT,SHAH BUNDER TALUKA,19763,830,2184,1029,541,19534,536
SUJAWAL DISTRICT,SUJAWAL TALUKA,22305,896,4791,1924,185,21602,823
TANDO ALLAHYAR DISTRICT,CHAMBER TALUKA,29353,750,10782,1387,337,28078,951
TANDO ALLAHYAR DISTRICT,JHANDO MARI TALUKA,32235,937,11731,1449,397,30728,936
TANDO ALLAHYAR DISTRICT,TANDO ALLAHYAR TALUKA,59983,943,35742,3166,1414,57197,4325
TANDO MUHAMMAD KHAN DISTRICT,BULRI SHAH KARIM TALUKA,26229,2680,5024,876,176,25018,671
TANDO MUHAMMAD KHAN DISTRICT,TANDO GHULAM HYDER TALUKA,21278,1929,4958,1369,274,20352,577
TANDO MUHAMMAD KHAN DISTRICT,TANDO MUHAMMAD KHAN TALUKA,35404,1485,17470,1749,757,33996,2264
THATTA DISTRICT,GHORABARI TALUKA,22106,1523,2168,1041,175,21561,346
THATTA DISTRICT,KETI BUNDER TALUKA,8813,661,384,419,26,8719,248
THATTA DISTRICT,MIRPUR SAKRO TALUKA,46670,1866,10839,1681,439,45894,1328
THATTA DISTRICT,THATTA TALUKA,52631,4187,16437,3388,1079,50823,2960
KARACHI CENTRAL DISTRICT,GULBERG SUB-DIVISION,94592,12705,83571,22709,21467,93448,49886
KARACHI CENTRAL DISTRICT,LIAQUATABAD SUB-DIVISION,83690,2029,75741,7084,3503,82262,15403
KARACHI CENTRAL DISTRICT,NAZIMABAD SUB-DIVISION,80427,8089,70316,11949,12789,79195,26519
KARACHI CENTRAL DISTRICT,NEW KARACHI SUB-DIVISION,146695,6282,126729,11994,8227,144501,33217
KARACHI CENTRAL DISTRICT,NORTH NAZIMABAD SUB-DIVISION,124859,10518,108973,23397,28000,123506,59711
KARACHI EAST DISTRICT,FEROZABAD SUB-DIVISION,139186,8649,122250,20528,21592,136971,48737
KARACHI EAST DISTRICT,GULSHAN-E-IQBAL SUB-DIVISION,153053,11322,135082,35697,45133,151352,88540
KARACHI EAST DISTRICT,GULZAR-E-HIJRI SUB-DIVISION,114885,4541,72606,11063,10360,113222,28559
KARACHI EAST DISTRICT,JAMSHED QUARTERS SUB-DIVISION,85935,4009,74872,12097,20074,84560,37988
KARACHI SOUTH DISTRICT,ARAM BAGH SUB-DIVISION,24853,583,21485,2331,3412,24345,6296
KARACHI SOUTH DISTRICT,CIVIL LINES SUB-DIVISION,87970,13338,75569,27456,30360,87205,47528
KARACHI SOUTH DISTRICT,GARDEN SUB-DIVISION,66509,2382,60098,4557,4075,65290,13591
KARACHI SOUTH DISTRICT,LYARI SUB-DIVISION,109785,3354,95451,8380,3081,107275,14187
KARACHI SOUTH DISTRICT,SADDAR SUB-DIVISION,26594,3145,24314,6934,7083,26307,12412
KARACHI WEST DISTRICT,BALDIA SUB-DIVISION,126538,11905,91143,6589,2234,124734,17415
KARACHI WEST DISTRICT,HARBOUR SUB-DIVISION,63982,1616,38300,3753,1911,62961,6627
KARACHI WEST DISTRICT,MANGHOPIR SUB-DIVISION,109775,3319,76216,4673,3058,108170,14246
KARACHI WEST DISTRICT,MAURIPUR SUB-DIVISION,29206,1220,20043,1464,874,28650,3584
KARACHI WEST DISTRICT,MOMINABAD SUB-DIVISION,142196,10739,115735,10778,2923,139284,19724
KARACHI WEST DISTRICT,ORANGI SUB-DIVISION,79875,2640,53231,4131,1682,78693,9329
KARACHI WEST DISTRICT,SITE SUB-DIVISION,61051,3766,43392,4475,1574,60343,9349
KORANGI DISTRICT,KORANGI SUB-DIVISION,181400,7607,145430,10329,5276,178528,23143
KORANGI DISTRICT,LANDHI SUB-DIVISION,91207,1677,81133,4993,3280,89921,15202
KORANGI DISTRICT,MODEL COLONY SUB-DIVISION,69776,14634,64156,10280,8510,68679,23151
KORANGI DISTRICT,SHAH FAISAL SUB-DIVISION,91657,6173,80287,12756,11543,90429,33899
MALIR DISTRICT,AIRPORT SUB-DIVISION,31389,2314,27486,4797,4871,31069,11982
MALIR DISTRICT,BIN QASIM SUB-DIVISION,39309,1933,27734,4405,3659,38728,9872
MALIR DISTRICT,GADAP SUB-DIVISION,10077,630,3552,503,93,9780,369
MALIR DISTRICT,IBRAHIM HYDRI SUB-DIVISION,156765,7007,98327,15612,5482,153990,19391
MALIR DISTRICT,MURAD MEMON SUB-DIVISION,60292,3055,46232,6666,2064,58662,7045
MALIR DISTRICT,SHAH MUREED SUB-DIVISION,5133,234,1673,160,16,5042,112
MIRPUR KHAS DISTRICT,DIGRI TALUKA,31436,660,11330,1438,699,30947,1832
MIRPUR KHAS DISTRICT,HUSSAIN BUX MARI TALUKA,21510,1197,7933,1005,194,20675,812
MIRPUR KHAS DISTRICT,JHUDO TALUKA,29836,1412,9185,2988,614,29323,1293
MIRPUR KHAS DISTRICT,KOT GHULAM MUHAMMAD TALUKA,41079,601,10805,1180,305,40410,989
MIRPUR KHAS DISTRICT,MIRPUR KHAS TALUKA,43866,1050,35781,3088,2432,42881,5443
MIRPUR KHAS DISTRICT,SHUJAABAD TALUKA,25319,1076,10119,1402,220,24563,715
MIRPUR KHAS DISTRICT,SINDHRI TALUKA,33551,1738,6907,1732,205,32829,707
THARPARKAR DISTRICT,CHACHRO TALUKA,37362,700,1103,749,182,37073,481
THARPARKAR DISTRICT,DAHLI TALUKA,32984,1049,255,392,100,32788,294
THARPARKAR DISTRICT,DIPLO TALUKA,22279,1077,1457,907,426,21882,441
THARPARKAR DISTRICT,ISLAMKOT TALUKA,35019,1245,2156,1407,382,34812,944
THARPARKAR DISTRICT,KALOI TALUKA,14960,646,977,980,88,14707,296
THARPARKAR DISTRICT,MITHI TALUKA,33423,639,5296,1765,670,33091,1617
THARPARKAR DISTRICT,NAGAR PARKAR TALUKA,31667,1430,723,407,170,31184,238
UMER KOT DISTRICT,KUNRI TALUKA,31916,1330,11062,1021,488,31225,1196
UMER KOT DISTRICT,PITHORO TALUKA,17109,1073,3234,846,123,16816,464
UMER KOT DISTRICT,SAMARO TALUKA,22285,1041,5329,955,223,21683,637
UMER KOT DISTRICT,UMER KOT TALUKA,84557,2590,18021,5559,1710,83177,4123
SANGHAR DISTRICT,JAM NAWAZ ALI TALUKA,21085,513,5152,457,202,20577,407
SANGHAR DISTRICT,KHIPRO TALUKA,46589,1837,9798,2334,752,45870,2044
SANGHAR DISTRICT,SANGHAR TALUKA,63143,1562,22581,4100,1152,61842,3028
SANGHAR DISTRICT,SHAHDADPUR TALUKA,67596,1678,32928,2879,1177,65565,3138
SANGHAR DISTRICT,SINJHORO TALUKA,46661,931,17919,894,475,45675,1379
SANGHAR DISTRICT,TANDO ADAM TALUKA,53713,5244,32885,4274,1338,52018,3527
NAUSHAHRO FEROZE DISTRICT,BHIRIA TALUKA,43288,857,26903,1519,790,41675,1747
NAUSHAHRO FEROZE DISTRICT,KANDIARO TALUKA,45381,1129,26173,2007,936,43639,2014
NAUSHAHRO FEROZE DISTRICT,MEHRABPUR TALUKA,36363,999,19322,1687,714,35343,1918
NAUSHAHRO FEROZE DISTRICT,MORO TALUKA,55465,3338,32408,3432,1462,52454,2745
NAUSHAHRO FEROZE DISTRICT,NAUSHAHRO FEROZE TALUKA,52739,1293,27242,1687,651,50760,2628
SHAHEED BENAZIRABAD DISTRICT,DAUR TALUKA,70155,2542,27935,2866,795,67858,2287
SHAHEED BENAZIRABAD DISTRICT,KAZI AHMED TALUKA,51922,1316,24080,1594,548,50085,1465
SHAHEED BENAZIRABAD DISTRICT,NAWABSHAH TALUKA,64831,1874,47480,4431,3178,62859,7041
SHAHEED BENAZIRABAD DISTRICT,SAKRAND TALUKA,54284,2044,27820,2684,692,51567,2316
AWARAN DISTRICT,AWARAN TEHSIL,3522,106,292,73,36,3513,52
AWARAN DISTRICT,GISHKORE SUB-TEHSIL,334,54,41,7,71,225,7
AWARAN DISTRICT,JHAL JAO SUB-TEHSIL,1905,1864,56,23,28,34,14
AWARAN DISTRICT,MASHKAI TEHSIL,3408,437,423,20,41,3279,31
KALAT DISTRICT,GAZG SUB-TEHSIL,312,292,26,,1,23,2
KALAT DISTRICT,JOHAN SUB-TEHSIL,231,195,8,4,2,52,4
KALAT DISTRICT,KALAT TEHSIL,15755,2052,3522,748,311,15278,1011
KALAT DISTRICT,MANGOCHAR TEHSIL,7700,1075,1099,462,98,7614,314
KALAT DISTRICT,SURAB TEHSIL,19666,2615,2870,2270,513,19089,978
KHARAN DISTRICT,KHARAN TEHSIL,8707,1250,3937,1077,756,8245,777
KHARAN DISTRICT,SAR KHARAN TEHSIL,6429,447,264,201,36,6358,65
KHARAN DISTRICT,SUB TEHSIL TOHMULK,2917,1051,27,45,198,2279,22
KHUZDAR DISTRICT,ARANJI SUB-TEHSIL,1463,596,48,15,26,1099,25
KHUZDAR DISTRICT,KARAKH SUB-TEHSIL,3841,1016,132,234,80,3602,69
KHUZDAR DISTRICT,KHUZDAR TEHSIL,36764,4978,15015,5729,2652,35470,3280
KHUZDAR DISTRICT,MOOLA SUB-TEHSIL,2604,359,85,100,243,2423,100
KHUZDAR DISTRICT,NAL SUB-TEHSIL,15685,4402,2481,1052,454,14716,341
KHUZDAR DISTRICT,ORNACH SUB-TEHSIl,4452,1843,339,236,430,3797,61
KHUZDAR DISTRICT,SAROONA SUB-TEHSIL,1238,1004,28,46,8,256,9
KHUZDAR DISTRICT,WADH TEHSIL,12924,3475,1211,1057,191,12613,363
KHUZDAR DISTRICT,ZEHRI TEHSIL,7116,1672,2239,826,1029,5563,419
LASBELA DISTRICT,BELA TEHSIL,14927,913,2504,842,276,14722,406
LASBELA DISTRICT,DUREJI TEHSIL,3359,2266,583,63,237,1207,38
LASBELA DISTRICT,GADDANI TEHSIL,3986,447,1920,155,30,3910,71
LASBELA DISTRICT,HUB TEHSIL,24621,496,10055,1729,282,24360,1502
LASBELA DISTRICT,KANRAJ TEHSIL,399,121,12,3,99,196,91
LASBELA DISTRICT,LAKHRA TEHSIL,4339,199,120,68,7,4307,43
LASBELA DISTRICT,LIARI TEHSIL,969,190,26,17,11,832,13
LASBELA DISTRICT,SONMIANI/WINDER TEHSIL,9006,456,3260,679,220,8907,370
LASBELA DISTRICT,UTHAL TEHSIL,9102,263,1765,276,30,8982,319
MASTUNG DISTRICT,DASHT TEHSIL,8277,1306,1811,142,133,7917,213
MASTUNG DISTRICT,KHAD KOCHA SUB-TEHSIL,5276,298,294,74,39,5219,92
MASTUNG DISTRICT,KIRDGAP SUB-TEHSIL,2970,819,854,270,433,2615,111
MASTUNG DISTRICT,MASTUNG TEHSIL,17165,1452,5658,1211,303,17020,1602
WASHUK DISTRICT,BESIMA SUB-TEHSIL,3233,2258,1126,946,1871,392,153
WASHUK DISTRICT,MASHKHEL SUB-TEHSIL,4908,595,1015,73,490,4754,390
WASHUK DISTRICT,NAG SUB-TEHSIL,1879,472,262,290,424,1377,27
WASHUK DISTRICT,SHAHGORI SUB-TEHSIL,1562,1090,309,12,64,311,15
WASHUK DISTRICT,WASHUK SUB-TEHSIL,2432,536,124,51,145,2135,54
GWADAR DISTRICT,GWADAR TEHSIL,19330,2894,13433,1576,928,18993,1753
GWADAR DISTRICT,JIWANI TEHSIL,4135,524,1232,78,33,4100,109
GWADAR DISTRICT,ORMARA TEHSIL,3941,441,2000,439,178,3845,220
GWADAR DISTRICT,PASNI TEHSIL,7164,599,3457,484,119,7017,350
GWADAR DISTRICT,SUNTSER SUB-TEHSIL,1849,1178,54,8,10,1795,23
KECH DISTRICT,BALNIGORE SUB-TEHSIL,6527,3537,1714,420,291,5767,203
KECH DISTRICT,BULAIDA SUB-TEHSIL,7975,2238,3224,543,1240,7344,942
KECH DISTRICT,DASHT SUB-TEHSIL,10643,4591,1602,654,402,10096,357
KECH DISTRICT,HOSHAB SUB-TEHSIL,6316,2742,3215,1985,2216,5851,1306
KECH DISTRICT,KECH (TURBAT) TEHSIL,64301,17901,43051,14201,9669,61125,8473
KECH DISTRICT,MAND SUB-TEHSIL,7800,573,2225,535,64,7659,120
KECH DISTRICT,TUMP SUB-TEHSIL,16435,4430,9829,1126,1061,14763,769
KECH DISTRICT,ZAMORAN SUB-TEHSIL,3125,1822,191,132,49,1884,41
PANJGUR DISTRICT,GICHK SUB-TEHSIL,469,93,15,9,8,364,14
PANJGUR DISTRICT,GOWARGO TEHSIL,804,314,60,4,43,622,7
PANJGUR DISTRICT,PANJGUR TEHSIL,31851,10856,22658,6685,5132,30968,3911
PANJGUR DISTRICT,PAROME TEHSIL,1902,791,3,2,8,1670,10
JAFFARABAD DISTRICT,GANDHAKA TEHSIL,11125,837,4382,130,94,10992,134
JAFFARABAD DISTRICT,JHAT PAT TEHSIL,33544,912,11548,557,403,32975,849
JAFFARABAD DISTRICT,USTA MUHAMMAD TEHSIL,22656,498,10388,491,274,22003,612
JHAL MAGSI DISTRICT,GANDAWA TEHSIL,7070,297,1048,73,91,7016,106
JHAL MAGSI DISTRICT,JHAL MAGSI TEHSIL,12868,1107,2523,290,350,12670,342
JHAL MAGSI DISTRICT,MIRPUR SUB-TEHSIL,1374,143,3,8,1,1368,3
KACHHI DISTRICT,BALANARI SUB-TEHSIL,6157,506,2921,129,78,6062,102
KACHHI DISTRICT,BHAG TEHSIL,10147,321,2904,155,127,9994,175
KACHHI DISTRICT,DHADAR TEHSIL,5393,147,2471,226,62,5328,243
KACHHI DISTRICT,KHATTAN SUB-TEHSIL,1591,253,526,125,27,1528,30
KACHHI DISTRICT,MACH SUB-TEHSIL,4940,477,2467,345,190,4846,373
KACHHI DISTRICT,SANNI SUB-TEHSIL,9637,1770,873,152,132,9521,105
NASIRABAD DISTRICT,BABA KOT TEHSIL,5891,369,1388,157,274,5718,103
NASIRABAD DISTRICT,CHATTAR SUB-TEHSIL,7345,616,1560,116,56,7243,76
NASIRABAD DISTRICT,DERA MURAD JAMALI TEHSIL,27921,703,10823,676,428,27489,694
NASIRABAD DISTRICT,TAMBOO TEHSIL,16421,1153,6390,650,562,16075,390
SOHBATPUR DISTRICT,FARIDABAD TEHSIL,7469,95,2203,163,56,7393,169
SOHBATPUR DISTRICT,SANHRI TEHSIL,11412,96,2655,105,78,11286,195
SOHBATPUR DISTRICT,SOHBATPUR TEHSIL,6628,209,2874,120,108,6496,124
CHAGAI DISTRICT,CHAGAI SUB-TEHSIL,6825,426,153,149,41,6776,109
CHAGAI DISTRICT,DALBANDIN TEHSIL,11881,2847,1853,487,872,11495,488
CHAGAI DISTRICT,NOKUNDI SUB-TEHSIL,2448,89,172,30,28,2421,41
CHAGAI DISTRICT,TAFTAN SUB-TEHSIL,1787,389,1005,113,266,1680,111
KILLA ABDULLAH DISTRICT,CHAMAN TEHSIL,48495,24362,10338,5764,2015,47196,3657
KILLA ABDULLAH DISTRICT,DOBANDI SUB-TEHSIL,6433,5348,164,44,3631,1797,79
KILLA ABDULLAH DISTRICT,GULISTAN TEHSIL,15363,4992,1863,1725,430,15183,695
KILLA ABDULLAH DISTRICT,KILLA ABDULLAH TEHSIL,21157,10657,3113,4201,1325,20427,1921
NUSHKI DISTRICT,NUSHKI TEHSIL,19969,3314,7186,2604,1020,19332,3384
PISHIN DISTRICT,BARSHORE SUB-TEHSIL,14771,9355,1253,904,2772,12085,422
PISHIN DISTRICT,HURRAM ZAI SUB-TEHSIL,21878,8999,2060,3023,1121,21347,1977
PISHIN DISTRICT,KAREZAT SUB-TEHSIL,20456,10405,5124,5214,1219,18832,1717
PISHIN DISTRICT,PISHIN TEHSIL,50080,15502,12072,9720,2016,49009,5181
PISHIN DISTRICT,SARANAN TEHSIL,9458,3123,813,1164,306,9301,1332
QUETTA DISTRICT,PANJ PAI SUB-TEHSIL,2067,224,381,152,38,2052,121
QUETTA DISTRICT,QUETTA CITY TEHSIL,199238,13741,127527,17380,19977,197242,46220
QUETTA DISTRICT,QUETTA SADDAR TEHSIL,64645,11857,26844,6428,3672,63684,10804
DERA BUGTI DISTRICT,BAIKER SUB-TEHSIL,793,134,18,1,24,713,9
DERA BUGTI DISTRICT,DERA BUGTI TEHSIL,2610,917,1797,20,901,41,475
DERA BUGTI DISTRICT,LOTI TEHSIL,1380,1372,14,8,4,15,3
DERA BUGTI DISTRICT,MALAM SUB-TEHSIL,1271,941,51,31,35,677,6
DERA BUGTI DISTRICT,PHELAWAGH TEHSIL,3004,432,59,5,29,2951,28
DERA BUGTI DISTRICT,PIR KOH SUB-TEHSIL,2929,2608,239,28,541,221,74
DERA BUGTI DISTRICT,SANGSILLAH SUB-TEHSIL,253,114,81,2,84,21,29
DERA BUGTI DISTRICT,SUI TEHSIL,12120,2987,5717,368,1861,8502,987
HARNAI DISTRICT,HARNAI TEHSIL,8872,589,1636,281,169,8662,285
HARNAI DISTRICT,KHOAST SUB-TEHSIL,1147,214,88,89,62,1034,32
HARNAI DISTRICT,SHAHRIG TEHSIL,3551,1058,721,278,126,3516,89
KOHLU DISTRICT,GRISANI SUB-TEHSIL,1896,1322,37,93,62,1731,14
KOHLU DISTRICT,KAHAN TEHSIL,2014,1320,74,48,94,876,37
KOHLU DISTRICT,KOHLU TEHSIL,6117,1662,3040,468,651,5985,281
KOHLU DISTRICT,MAWAND TEHSIL,2019,1617,468,38,315,366,14
KOHLU DISTRICT,TAMBOO TEHSIL,3115,685,437,95,29,3047,190
SIBI DISTRICT,KOT MANDAI SUB-TEHSIL,103,14,,3,1,92,
SIBI DISTRICT,LEHRI TEHSIL,6394,195,2456,75,111,6280,144
SIBI DISTRICT,SANGAN SUB-TEHSIL,318,301,33,21,22,132,2
SIBI DISTRICT,SIBI TEHSIL,17109,599,12102,508,648,16614,1633
ZIARAT DISTRICT,SINJAWI SUB-TEHSIL,13112,2742,1804,981,246,12908,403
ZIARAT DISTRICT,ZIARAT TEHSIL,10509,3864,1621,1992,288,8987,622
BARKHAN DISTRICT,BARKHAN TEHSIL,21974,5079,4226,1116,1619,21499,965
KILLA SAIFULLAH DISTRICT,BADINI SUB-TEHSIL,1713,768,5,4,2,1591,17
KILLA SAIFULLAH DISTRICT,KAN MEHTARZAI SUB-TEHSIL,4738,398,142,227,8,4705,78
KILLA SAIFULLAH DISTRICT,KILLA SAIFULLAH TEHSIL,18296,3670,2979,1183,288,18093,1017
KILLA SAIFULLAH DISTRICT,LOIBAND TEHSIL,3954,1884,58,41,132,3746,37
KILLA SAIFULLAH DISTRICT,MUSLIM BAGH TEHSIL,11660,2073,2436,1270,210,11509,626
KILLA SAIFULLAH DISTRICT,SHINKI SUB-TEHSIL,7409,578,140,93,13,7378,71
LORALAI DISTRICT,DUKI TEHSIL,19439,2357,2902,681,534,19203,619
LORALAI DISTRICT,LORALAI\BORI TEHSIL,25029,5148,8488,2161,845,24737,1876
LORALAI DISTRICT,MEKHTAR SUB-TEHSIL,5268,462,328,83,42,5240,72
MUSAKHEL DISTRICT,DRUG TEHSIL,5148,2060,701,16,34,5053,82
MUSAKHEL DISTRICT,KINGRI TEHSIL,3834,258,474,26,142,3792,112
MUSAKHEL DISTRICT,MUSAKHEL TEHSIL,12907,1941,729,182,255,12621,306
SHERANI DISTRICT,SHERANI SUB-DIVISION,17710,6392,326,394,1100,17182,717
ZHOB DISTRICT,ASHWAT SUB-TEHSIL,410,78,22,2,14,344,1
ZHOB DISTRICT,KASHATOO SUB-TEHSIL,192,186,1,,,2,3
ZHOB DISTRICT,QAMAR DIN KAREZ TEHSIL,1298,1271,290,191,163,171,73
ZHOB DISTRICT,SAMBAZA SUB-TEHSIL,1130,438,20,9,15,970,12
ZHOB DISTRICT,ZHOB TEHSIL,32491,4771,7351,2235,953,32090,1513
ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,330372,35074,276164,68999,72082,327560,134594
