district,hhsize,room_in_house_1,room_in_house_2,room_in_house_3,room_in_house_4,room_in_house_5,room_in_house_6,room_in_house_7,room_in_house_8,room_in_house_9
NOWSHERA DISTRICT,4 PERSONS,7038,6773,2846,1209,437,220,101,59,70
NOWSHERA DISTRICT,5 PERSONS,8226,9646,4467,1788,659,338,146,66,89
NOWSHERA DISTRICT,6 PERSONS,7512,11137,5483,2419,834,402,151,82,106
NOWSHERA DISTRICT,7 PERSONS,5067,9741,5457,2443,808,422,159,90,82
NOWSHERA DISTRICT,8 PERSONS,2919,7230,4790,2240,824,348,146,82,108
NOWSHERA DISTRICT,9 PERSONS,1481,4739,3683,2045,763,354,129,63,97
NOWSHERA DISTRICT,10 PERSONS AND ABOVE,1679,7267,10876,10577,5745,3648,1553,1013,1133
NUSHKI DISTRICT,1 PERSON,146,81,33,13,7,7,2,1,4
NUSHKI DISTRICT,2 PERSONS,478,548,190,99,26,9,3,,3
NUSHKI DISTRICT,3 PERSONS,461,608,319,154,36,13,7,5,3
NUSHKI DISTRICT,4 PERSONS,377,789,440,219,53,14,8,2,8
NUSHKI DISTRICT,5 PERSONS,383,789,504,283,76,29,16,6,6
NUSHKI DISTRICT,6 PERSONS,321,810,580,356,114,49,14,9,19
NUSHKI DISTRICT,7 PERSONS,275,760,577,481,160,58,14,8,2
NUSHKI DISTRICT,8 PERSONS,209,626,541,472,178,73,24,20,13
NUSHKI DISTRICT,9 PERSONS,123,524,500,443,192,93,26,27,15
NUSHKI DISTRICT,10 PERSONS AND ABOVE,272,1055,1358,1434,902,568,252,175,353
OKARA DISTRICT,1 PERSON,6172,2472,826,324,129,62,43,20,29
OKARA DISTRICT,2 PERSONS,18674,9404,2838,1063,403,163,163,44,64
OKARA DISTRICT,3 PERSONS,20835,14285,4855,1713,601,275,206,53,76
OKARA DISTRICT,4 PERSONS,25088,21600,7902,3088,1030,493,326,102,124
OKARA DISTRICT,5 PERSONS,27287,29040,11791,4375,1705,704,460,141,184
OKARA DISTRICT,6 PERSONS,24624,31054,13149,5526,1869,889,494,192,211
OKARA DISTRICT,7 PERSONS,16992,25576,11590,4745,1671,775,452,167,209
OKARA DISTRICT,8 PERSONS,10004,17815,8865,3850,1439,672,353,160,144
OKARA DISTRICT,9 PERSONS,5019,10983,6330,3014,1103,562,262,117,125
OKARA DISTRICT,10 PERSONS AND ABOVE,5679,16455,14424,9340,4266,2507,1100,761,810
ORAKZAI AGENCY,1 PERSON,67,50,25,19,8,8,2,4,3
ORAKZAI AGENCY,2 PERSONS,441,520,216,107,36,28,12,7,16
ORAKZAI AGENCY,3 PERSONS,472,763,394,200,94,58,32,25,38
ORAKZAI AGENCY,4 PERSONS,449,984,646,330,126,72,50,36,43
ORAKZAI AGENCY,5 PERSONS,436,1086,762,551,169,125,76,29,47
ORAKZAI AGENCY,6 PERSONS,349,1079,847,648,273,186,86,59,71
ORAKZAI AGENCY,7 PERSONS,259,916,881,691,293,236,122,69,69
ORAKZAI AGENCY,8 PERSONS,175,732,762,668,281,240,137,74,97
ORAKZAI AGENCY,9 PERSONS,98,460,612,641,266,224,125,70,73
ORAKZAI AGENCY,10 PERSONS AND ABOVE,134,699,1367,1969,1365,1173,634,482,823
PAKPATTAN DISTRICT,1 PERSON,4616,1682,614,253,93,50,24,15,29
PAKPATTAN DISTRICT,2 PERSONS,12536,5814,1763,672,244,90,77,38,42
PAKPATTAN DISTRICT,3 PERSONS,14939,8885,3131,1130,396,165,106,35,59
PAKPATTAN DISTRICT,4 PERSONS,17835,13313,4897,1935,656,312,161,77,99
PAKPATTAN DISTRICT,5 PERSONS,18853,17401,7063,2887,1031,422,220,99,104
PAKPATTAN DISTRICT,6 PERSONS,16547,18354,7867,3278,1154,580,237,134,120
PAKPATTAN DISTRICT,7 PERSONS,11203,15024,6821,2892,1096,513,250,125,137
PAKPATTAN DISTRICT,8 PERSONS,6394,10476,5298,2361,924,459,201,104,92
PAKPATTAN DISTRICT,9 PERSONS,3165,6597,3724,1839,778,373,147,81,93
PAKPATTAN DISTRICT,10 PERSONS AND ABOVE,2852,8562,7784,5085,2588,1437,674,414,580
PANJGUR DISTRICT,1 PERSON,248,93,15,21,6,6,4,2,3
PANJGUR DISTRICT,2 PERSONS,637,433,147,129,30,23,26,5,6
PANJGUR DISTRICT,3 PERSONS,687,742,362,298,107,58,24,4,17
PANJGUR DISTRICT,4 PERSONS,869,1384,808,660,240,92,62,21,38
PANJGUR DISTRICT,5 PERSONS,674,1320,1066,961,362,171,87,37,66
PANJGUR DISTRICT,6 PERSONS,534,1220,1237,1179,535,260,167,53,65
PANJGUR DISTRICT,7 PERSONS,370,932,1149,1250,676,298,177,65,83
PANJGUR DISTRICT,8 PERSONS,258,637,920,1127,667,413,203,99,95
PANJGUR DISTRICT,9 PERSONS,195,398,685,890,500,357,245,127,158
PANJGUR DISTRICT,10 PERSONS AND ABOVE,471,906,1580,2573,1881,1207,637,617,1113
PESHAWAR DISTRICT,1 PERSON,3092,1323,1004,580,307,233,129,72,219
PESHAWAR DISTRICT,2 PERSONS,6812,4500,2423,1367,712,518,258,157,238
PESHAWAR DISTRICT,3 PERSONS,8521,7636,4313,2138,1105,783,362,224,320
PESHAWAR DISTRICT,4 PERSONS,10884,12094,7382,3819,1883,1218,604,369,499
PESHAWAR DISTRICT,5 PERSONS,12903,17573,11170,5735,2910,1872,919,533,737
PESHAWAR DISTRICT,6 PERSONS,12398,20543,13636,6683,3288,2295,1050,606,806
PESHAWAR DISTRICT,7 PERSONS,9478,19416,13402,6798,3258,2147,1022,587,842
PESHAWAR DISTRICT,8 PERSONS,6264,15813,12188,6390,2906,1940,979,534,713
PESHAWAR DISTRICT,9 PERSONS,3471,11232,10093,5618,2728,1782,816,472,675
PESHAWAR DISTRICT,10 PERSONS AND ABOVE,4799,20475,33607,31662,20753,15018,7837,5181,7543
PISHIN DISTRICT,1 PERSON,1818,762,196,111,29,22,21,8,24
PISHIN DISTRICT,2 PERSONS,8811,6886,1931,814,262,162,120,71,171
PISHIN DISTRICT,3 PERSONS,4697,5409,1924,735,261,186,120,72,158
PISHIN DISTRICT,4 PERSONS,3937,6150,2534,1116,350,230,156,78,235
PISHIN DISTRICT,5 PERSONS,2951,5858,2697,1204,408,245,187,82,224
PISHIN DISTRICT,6 PERSONS,2204,5497,2877,1311,459,300,212,110,247
PISHIN DISTRICT,7 PERSONS,1702,4680,2893,1455,494,317,200,115,218
PISHIN DISTRICT,8 PERSONS,1169,3750,2840,1444,546,345,224,113,225
PISHIN DISTRICT,9 PERSONS,762,2744,2276,1314,503,325,202,136,260
PISHIN DISTRICT,10 PERSONS AND ABOVE,1165,4087,4184,2891,1394,903,507,386,788
QUETTA DISTRICT,1 PERSON,2172,1453,951,508,210,144,77,77,99
QUETTA DISTRICT,2 PERSONS,5247,4529,2090,1036,494,383,214,139,283
QUETTA DISTRICT,3 PERSONS,5174,6035,3323,1607,717,400,224,180,350
QUETTA DISTRICT,4 PERSONS,5141,8547,5345,2455,1063,586,338,231,427
QUETTA DISTRICT,5 PERSONS,4695,10046,7177,3394,1478,850,431,310,463
QUETTA DISTRICT,6 PERSONS,3875,10039,7852,4048,1728,1057,538,351,537
QUETTA DISTRICT,7 PERSONS,2749,8810,7768,4236,1789,1059,534,388,572
QUETTA DISTRICT,8 PERSONS,1868,7007,7007,4220,1877,1066,481,343,498
QUETTA DISTRICT,9 PERSONS,1114,5429,6082,3975,1847,1049,491,339,547
QUETTA DISTRICT,10 PERSONS AND ABOVE,2136,10158,16691,16837,10961,7783,4100,3121,5278
RAHIM YAR KHAN DISTRICT,1 PERSON,6481,2783,1155,570,219,104,74,40,39
RAHIM YAR KHAN DISTRICT,2 PERSONS,23715,10897,3660,1522,589,250,207,83,93
RAHIM YAR KHAN DISTRICT,3 PERSONS,27950,16749,6295,2564,886,422,305,114,157
RAHIM YAR KHAN DISTRICT,4 PERSONS,33201,25255,10393,4466,1594,687,416,182,252
RAHIM YAR KHAN DISTRICT,5 PERSONS,34435,33322,15399,6655,2503,1102,673,241,298
RAHIM YAR KHAN DISTRICT,6 PERSONS,31623,35913,17590,8172,2909,1442,784,291,356
RAHIM YAR KHAN DISTRICT,7 PERSONS,24926,31758,16074,7363,2749,1310,711,314,343
RAHIM YAR KHAN DISTRICT,8 PERSONS,17748,25192,13276,6382,2250,1110,590,300,296
RAHIM YAR KHAN DISTRICT,9 PERSONS,11191,18052,10176,5225,1932,1034,473,240,259
RAHIM YAR KHAN DISTRICT,10 PERSONS AND ABOVE,15898,34881,29335,19733,8848,5604,2705,1826,2002
RAJANPUR DISTRICT,1 PERSON,2670,717,250,116,47,12,14,6,12
RAJANPUR DISTRICT,2 PERSONS,12664,2557,695,228,84,34,61,15,24
RAJANPUR DISTRICT,3 PERSONS,14138,3775,1098,360,132,59,64,25,49
RAJANPUR DISTRICT,4 PERSONS,15938,5864,1700,581,187,75,97,43,51
RAJANPUR DISTRICT,5 PERSONS,16640,7905,2358,821,311,120,123,40,64
RAJANPUR DISTRICT,6 PERSONS,15965,9744,3032,1090,366,184,147,41,71
RAJANPUR DISTRICT,7 PERSONS,13982,10521,3309,1192,398,185,155,44,73
RAJANPUR DISTRICT,8 PERSONS,10886,9860,3398,1237,375,171,147,45,90
RAJANPUR DISTRICT,9 PERSONS,7536,8091,3257,1167,377,169,131,38,73
RAJANPUR DISTRICT,10 PERSONS AND ABOVE,11640,19667,13916,8075,3454,1944,994,567,815
RAWALPINDI DISTRICT,1 PERSON,9144,6673,4596,2270,834,637,267,190,390
RAWALPINDI DISTRICT,2 PERSONS,10807,19279,13904,6127,2183,1425,597,386,549
RAWALPINDI DISTRICT,3 PERSONS,11542,26379,23152,9791,3472,2071,869,538,665
RAWALPINDI DISTRICT,4 PERSONS,14039,40824,38378,17517,5929,3496,1384,959,988
RAWALPINDI DISTRICT,5 PERSONS,13566,48732,53368,24354,8923,5232,1988,1321,1345
RAWALPINDI DISTRICT,6 PERSONS,9575,40351,48246,24410,8753,5696,2057,1388,1445
RAWALPINDI DISTRICT,7 PERSONS,5244,24855,32473,18174,7074,4775,1770,1290,1225
RAWALPINDI DISTRICT,8 PERSONS,2756,13621,20203,12901,5335,3902,1388,1062,996
RAWALPINDI DISTRICT,9 PERSONS,1419,7479,12516,8998,4137,3228,1058,916,878
RAWALPINDI DISTRICT,10 PERSONS AND ABOVE,2360,10788,23152,21771,12314,12444,4903,4644,5846
SAHIWAL DISTRICT,1 PERSON,3843,2206,991,485,184,110,54,36,54
SAHIWAL DISTRICT,2 PERSONS,9681,7544,3056,1335,546,262,134,69,74
SAHIWAL DISTRICT,3 PERSONS,11555,11494,5294,2267,852,395,225,115,119
SAHIWAL DISTRICT,4 PERSONS,14083,17248,8815,4112,1518,742,342,169,180
SAHIWAL DISTRICT,5 PERSONS,15913,22337,13082,6007,2358,1038,539,247,265
SAHIWAL DISTRICT,6 PERSONS,13797,22712,13466,6615,2635,1227,566,299,270
SAHIWAL DISTRICT,7 PERSONS,9364,17576,11423,5827,2259,1167,507,263,284
SAHIWAL DISTRICT,8 PERSONS,5469,12044,8303,4576,1892,977,423,259,216
SAHIWAL DISTRICT,9 PERSONS,2987,7456,6076,3578,1581,738,335,182,168
SAHIWAL DISTRICT,10 PERSONS AND ABOVE,3504,11110,13249,10607,5776,3723,1717,1106,1389
SANGHAR DISTRICT,1 PERSON,8167,1049,300,121,49,27,63,8,32
SANGHAR DISTRICT,2 PERSONS,38256,5714,1397,584,223,72,237,47,120
SANGHAR DISTRICT,3 PERSONS,36442,6852,1773,619,250,93,270,35,107
SANGHAR DISTRICT,4 PERSONS,37328,9166,2457,906,244,100,287,40,141
SANGHAR DISTRICT,5 PERSONS,35259,10653,2866,1123,319,157,286,36,116
SANGHAR DISTRICT,6 PERSONS,31186,11387,3014,1222,357,189,270,39,112
SANGHAR DISTRICT,7 PERSONS,24277,10160,2829,1152,346,154,256,34,89
SANGHAR DISTRICT,8 PERSONS,17309,8187,2304,899,257,157,193,38,86
SANGHAR DISTRICT,9 PERSONS,10884,5910,1824,718,200,119,130,31,43
SANGHAR DISTRICT,10 PERSONS AND ABOVE,12607,9505,4231,2218,785,453,319,119,148
SARGODHA DISTRICT,1 PERSON,6007,3461,1471,680,252,161,62,48,72
SARGODHA DISTRICT,2 PERSONS,15791,12495,4827,2042,728,428,218,117,158
SARGODHA DISTRICT,3 PERSONS,18404,18074,8468,3360,1256,677,333,142,198
SARGODHA DISTRICT,4 PERSONS,23377,28726,14014,6048,2198,1078,542,281,324
SARGODHA DISTRICT,5 PERSONS,24948,36804,20502,8886,3376,1628,762,387,434
SARGODHA DISTRICT,6 PERSONS,21458,36449,21250,9725,3568,1891,779,441,467
SARGODHA DISTRICT,7 PERSONS,13543,27050,17237,8149,3097,1577,776,376,408
SARGODHA DISTRICT,8 PERSONS,7606,17577,12214,6356,2399,1367,578,326,328
SARGODHA DISTRICT,9 PERSONS,3908,10446,8450,4900,1958,1179,472,293,301
SARGODHA DISTRICT,10 PERSONS AND ABOVE,4517,15518,17717,13872,7249,4785,2129,1370,1743
SHAHEED BENAZIRABAD DISTRICT,1 PERSON,7319,776,237,94,50,17,50,11,22
SHAHEED BENAZIRABAD DISTRICT,2 PERSONS,32298,4390,983,387,192,87,199,40,89
SHAHEED BENAZIRABAD DISTRICT,3 PERSONS,30289,5465,1226,464,188,87,215,49,88
SHAHEED BENAZIRABAD DISTRICT,4 PERSONS,30860,7300,1643,656,280,140,223,51,107
SHAHEED BENAZIRABAD DISTRICT,5 PERSONS,28367,8686,1965,784,331,148,234,57,121
SHAHEED BENAZIRABAD DISTRICT,6 PERSONS,24731,9153,2177,803,290,163,222,50,86
SHAHEED BENAZIRABAD DISTRICT,7 PERSONS,18810,8022,1842,714,234,165,195,43,69
SHAHEED BENAZIRABAD DISTRICT,8 PERSONS,12931,6399,1704,613,185,116,129,29,44
SHAHEED BENAZIRABAD DISTRICT,9 PERSONS,7940,4683,1240,490,155,98,94,23,31
SHAHEED BENAZIRABAD DISTRICT,10 PERSONS AND ABOVE,9494,7773,3203,1618,553,302,257,109,134
SHANGLA DISTRICT,1 PERSON,214,148,31,13,8,4,1,2,
SHANGLA DISTRICT,2 PERSONS,1098,1289,216,104,24,14,7,4,8
SHANGLA DISTRICT,3 PERSONS,1230,2089,455,177,50,22,13,10,11
SHANGLA DISTRICT,4 PERSONS,1557,3469,879,306,61,54,23,10,14
SHANGLA DISTRICT,5 PERSONS,1664,4455,1396,537,146,70,33,19,35
SHANGLA DISTRICT,6 PERSONS,1613,5316,1981,862,197,115,37,21,38
SHANGLA DISTRICT,7 PERSONS,1311,5463,2463,1168,284,151,45,31,38
SHANGLA DISTRICT,8 PERSONS,913,4729,2447,1264,298,177,57,47,50
SHANGLA DISTRICT,9 PERSONS,560,3421,2223,1122,269,223,55,42,52
SHANGLA DISTRICT,10 PERSONS AND ABOVE,833,7034,7503,5939,2296,1895,559,544,730
SHEIKHUPURA DISTRICT,1 PERSON,5139,2589,1061,555,191,103,58,45,55
SHEIKHUPURA DISTRICT,2 PERSONS,11430,7797,2770,1218,403,237,119,72,79
SHEIKHUPURA DISTRICT,3 PERSONS,14901,12737,5255,2148,719,399,222,93,126
SHEIKHUPURA DISTRICT,4 PERSONS,18943,20532,9159,3905,1367,695,375,179,242
SHEIKHUPURA DISTRICT,5 PERSONS,22059,29399,14754,6545,2383,1188,541,289,341
SHEIKHUPURA DISTRICT,6 PERSONS,20807,32915,17593,8293,2827,1542,673,357,424
SHEIKHUPURA DISTRICT,7 PERSONS,14434,26929,15642,7546,2743,1429,677,384,393
SHEIKHUPURA DISTRICT,8 PERSONS,8187,18521,11958,6193,2218,1177,462,301,313
SHEIKHUPURA DISTRICT,9 PERSONS,4005,11267,8692,4819,1943,1009,482,237,266
SHEIKHUPURA DISTRICT,10 PERSONS AND ABOVE,4614,16938,19674,15747,7376,5194,2182,1627,1768
SHERANI DISTRICT,1 PERSON,55,30,15,7,2,,1,1,1
SHERANI DISTRICT,2 PERSONS,590,579,271,97,26,13,9,4,8
SHERANI DISTRICT,3 PERSONS,540,664,270,87,34,18,8,7,12
SHERANI DISTRICT,4 PERSONS,562,873,417,121,79,54,20,9,26
SHERANI DISTRICT,5 PERSONS,421,862,455,132,66,68,36,5,21
SHERANI DISTRICT,6 PERSONS,408,794,509,167,70,63,63,28,32
SHERANI DISTRICT,7 PERSONS,283,718,530,218,87,67,56,35,37
SHERANI DISTRICT,8 PERSONS,225,575,492,209,106,72,66,42,65
SHERANI DISTRICT,9 PERSONS,161,462,430,207,75,59,24,35,53
SHERANI DISTRICT,10 PERSONS AND ABOVE,324,1096,1298,795,482,379,211,162,461
SHIKARPUR DISTRICT,1 PERSON,3728,439,119,66,17,7,26,2,8
SHIKARPUR DISTRICT,2 PERSONS,19917,2464,625,237,79,40,120,11,22
SHIKARPUR DISTRICT,3 PERSONS,18505,3170,680,280,97,53,115,18,30
SHIKARPUR DISTRICT,4 PERSONS,19501,4263,931,404,99,58,152,12,41
SHIKARPUR DISTRICT,5 PERSONS,18464,5033,1174,467,148,74,113,20,40
SHIKARPUR DISTRICT,6 PERSONS,16501,5245,1202,518,130,55,139,12,39
SHIKARPUR DISTRICT,7 PERSONS,13984,5123,1164,492,131,72,103,17,36
SHIKARPUR DISTRICT,8 PERSONS,10945,4496,1115,471,123,60,104,16,21
SHIKARPUR DISTRICT,9 PERSONS,7428,3713,942,426,123,47,91,11,26
SHIKARPUR DISTRICT,10 PERSONS AND ABOVE,11938,7721,3126,1428,458,272,224,90,119
SIALKOT DISTRICT,1 PERSON,4000,2940,1652,1033,466,315,142,94,150
SIALKOT DISTRICT,2 PERSONS,6468,7879,4539,2599,1156,656,304,204,238
SIALKOT DISTRICT,3 PERSONS,8729,13107,8755,5024,2081,1220,542,342,344
SIALKOT DISTRICT,4 PERSONS,11394,20200,14813,8696,3788,2148,895,583,569
SIALKOT DISTRICT,5 PERSONS,13473,27031,21665,13106,5729,3392,1370,801,845
SIALKOT DISTRICT,6 PERSONS,12397,28598,23938,14918,6602,4036,1597,984,1069
SIALKOT DISTRICT,7 PERSONS,8411,21968,19875,13007,5906,3498,1497,957,981
SIALKOT DISTRICT,8 PERSONS,4862,14472,14058,10003,4543,2806,1203,846,825
SIALKOT DISTRICT,9 PERSONS,2339,8236,9177,7074,3424,2329,936,693,762
SIALKOT DISTRICT,10 PERSONS AND ABOVE,2721,11807,19109,19957,12172,9692,4548,3937,5099
SIBI DISTRICT,1 PERSON,363,152,35,18,13,3,3,2,6
SIBI DISTRICT,2 PERSONS,1979,628,166,69,28,13,10,9,9
SIBI DISTRICT,3 PERSONS,1665,761,240,83,36,14,12,8,7
SIBI DISTRICT,4 PERSONS,1608,1095,283,129,44,23,11,6,9
SIBI DISTRICT,5 PERSONS,1349,1340,388,154,52,21,18,10,12
SIBI DISTRICT,6 PERSONS,1070,1368,437,152,54,26,19,13,12
SIBI DISTRICT,7 PERSONS,860,1236,468,175,43,28,12,5,14
SIBI DISTRICT,8 PERSONS,556,970,454,202,51,23,8,10,13
SIBI DISTRICT,9 PERSONS,387,726,377,170,49,25,9,12,12
SIBI DISTRICT,10 PERSONS AND ABOVE,593,1180,989,730,355,195,82,64,59
SOHBATPUR DISTRICT,1 PERSON,379,48,12,4,2,,,,1
SOHBATPUR DISTRICT,2 PERSONS,2376,267,67,25,7,1,6,2,5
SOHBATPUR DISTRICT,3 PERSONS,2457,317,94,35,7,,7,,2
SOHBATPUR DISTRICT,4 PERSONS,2712,428,115,46,6,2,7,1,9
SOHBATPUR DISTRICT,5 PERSONS,2808,575,147,30,7,2,11,,5
SOHBATPUR DISTRICT,6 PERSONS,2686,589,206,54,8,2,16,,10
SOHBATPUR DISTRICT,7 PERSONS,2393,684,173,47,12,5,10,3,4
SOHBATPUR DISTRICT,8 PERSONS,1964,649,165,52,18,6,17,7,5
SOHBATPUR DISTRICT,9 PERSONS,1385,521,154,53,13,8,13,1,3
SOHBATPUR DISTRICT,10 PERSONS AND ABOVE,2637,1540,610,210,51,42,26,13,17
SOUTH WAZIRISTAN AGENCY,1 PERSON,370,374,202,90,55,22,13,9,28
SOUTH WAZIRISTAN AGENCY,2 PERSONS,1491,1725,853,507,144,97,49,16,43
SOUTH WAZIRISTAN AGENCY,3 PERSONS,1305,2066,1206,668,201,133,61,34,59
SOUTH WAZIRISTAN AGENCY,4 PERSONS,1099,2628,1703,976,296,169,79,47,68
SOUTH WAZIRISTAN AGENCY,5 PERSONS,865,2490,2284,1326,346,242,127,60,104
SOUTH WAZIRISTAN AGENCY,6 PERSONS,718,2401,2570,1522,539,294,156,67,123
SOUTH WAZIRISTAN AGENCY,7 PERSONS,577,2097,2413,1664,613,360,196,105,194
SOUTH WAZIRISTAN AGENCY,8 PERSONS,438,1559,2052,1706,655,372,202,137,182
SOUTH WAZIRISTAN AGENCY,9 PERSONS,273,1057,1692,1504,655,412,221,137,178
SOUTH WAZIRISTAN AGENCY,10 PERSONS AND ABOVE,710,2378,4310,4493,3126,2519,1580,1237,2559
SUJAWAL DISTRICT,1 PERSON,5162,169,43,17,12,3,25,2,8
SUJAWAL DISTRICT,2 PERSONS,20808,958,163,85,43,20,88,8,32
SUJAWAL DISTRICT,3 PERSONS,19543,1390,236,71,40,12,105,4,21
SUJAWAL DISTRICT,4 PERSONS,20069,1899,301,106,56,18,86,6,33
SUJAWAL DISTRICT,5 PERSONS,17963,2097,374,118,54,9,95,7,33
SUJAWAL DISTRICT,6 PERSONS,15506,2006,387,119,43,15,65,5,31
SUJAWAL DISTRICT,7 PERSONS,12001,1828,350,102,44,14,76,5,18
SUJAWAL DISTRICT,8 PERSONS,8495,1539,329,106,37,10,54,5,17
SUJAWAL DISTRICT,9 PERSONS,5477,1252,247,78,32,5,43,,14
SUJAWAL DISTRICT,10 PERSONS AND ABOVE,6090,2055,637,243,80,29,64,7,21
SUKKUR DISTRICT,1 PERSON,4684,820,275,92,35,24,33,5,10
SUKKUR DISTRICT,2 PERSONS,24299,4716,1207,437,168,89,142,28,51
SUKKUR DISTRICT,3 PERSONS,22391,5916,1534,549,173,76,151,22,50
SUKKUR DISTRICT,4 PERSONS,23327,7738,2265,778,261,122,206,43,66
SUKKUR DISTRICT,5 PERSONS,21707,8890,2861,961,303,152,176,50,70
SUKKUR DISTRICT,6 PERSONS,19090,8875,2922,1074,327,160,198,34,59
SUKKUR DISTRICT,7 PERSONS,14984,7566,2379,982,279,139,202,34,56
SUKKUR DISTRICT,8 PERSONS,11066,5990,2038,804,226,98,123,27,52
SUKKUR DISTRICT,9 PERSONS,7369,4296,1441,632,208,81,94,23,37
SUKKUR DISTRICT,10 PERSONS AND ABOVE,10301,7842,3496,1940,624,399,230,116,148
SWABI DISTRICT,1 PERSON,1548,795,267,132,42,40,6,4,15
SWABI DISTRICT,2 PERSONS,4502,2777,911,433,144,95,58,19,21
SWABI DISTRICT,3 PERSONS,5188,4174,1528,679,222,105,47,30,29
SWABI DISTRICT,4 PERSONS,6895,7195,2872,1284,353,206,92,51,54
SWABI DISTRICT,5 PERSONS,8129,10532,4687,2093,631,299,137,66,70
SWABI DISTRICT,6 PERSONS,7505,12516,5935,2793,774,389,184,81,83
SWABI DISTRICT,7 PERSONS,5538,11123,5996,2962,908,349,184,84,84
SWABI DISTRICT,8 PERSONS,3474,8483,5168,2746,792,406,162,86,69
SWABI DISTRICT,9 PERSONS,1783,5434,4162,2386,750,392,130,77,69
SWABI DISTRICT,10 PERSONS AND ABOVE,1980,8523,12423,11844,5949,3836,1408,942,909
SWAT DISTRICT,1 PERSON,696,372,153,128,57,42,14,7,20
SWAT DISTRICT,2 PERSONS,3105,2535,812,483,208,137,68,55,67
SWAT DISTRICT,3 PERSONS,4211,4870,1819,1059,384,243,119,70,96
SWAT DISTRICT,4 PERSONS,5626,8199,3515,1905,684,408,208,136,166
SWAT DISTRICT,5 PERSONS,6323,11534,5807,3301,1148,729,272,204,264
SWAT DISTRICT,6 PERSONS,5922,13822,7675,4413,1607,1023,382,292,304
SWAT DISTRICT,7 PERSONS,4401,12817,8101,4643,1701,1035,416,268,340
SWAT DISTRICT,8 PERSONS,2758,10104,7418,4480,1567,1019,352,252,358
SWAT DISTRICT,9 PERSONS,1558,7088,5949,3957,1404,938,346,265,294
SWAT DISTRICT,10 PERSONS AND ABOVE,2268,13405,18634,18678,9195,7852,3114,2584,3716
TANDO ALLAHYAR DISTRICT,1 PERSON,3820,404,91,29,20,7,17,2,12
TANDO ALLAHYAR DISTRICT,2 PERSONS,20537,2203,387,148,79,33,115,26,56
TANDO ALLAHYAR DISTRICT,3 PERSONS,19361,2830,501,202,94,37,115,25,48
TANDO ALLAHYAR DISTRICT,4 PERSONS,19575,3678,700,252,88,25,147,24,54
TANDO ALLAHYAR DISTRICT,5 PERSONS,18072,4207,853,281,107,36,138,21,60
TANDO ALLAHYAR DISTRICT,6 PERSONS,16246,4169,917,295,106,38,128,24,38
TANDO ALLAHYAR DISTRICT,7 PERSONS,12217,3316,766,265,90,31,111,10,32
TANDO ALLAHYAR DISTRICT,8 PERSONS,7681,2525,589,186,83,20,76,16,27
TANDO ALLAHYAR DISTRICT,9 PERSONS,4317,1736,461,157,54,23,29,7,13
TANDO ALLAHYAR DISTRICT,10 PERSONS AND ABOVE,4046,2255,822,434,127,64,68,13,28
TANDO MUHAMMAD KHAN DISTRICT,1 PERSON,3274,263,75,38,10,3,16,3,6
TANDO MUHAMMAD KHAN DISTRICT,2 PERSONS,16598,1238,245,108,54,16,105,25,33
TANDO MUHAMMAD KHAN DISTRICT,3 PERSONS,16001,1536,299,118,48,18,96,20,43
TANDO MUHAMMAD KHAN DISTRICT,4 PERSONS,16173,2069,382,169,60,36,113,20,49
TANDO MUHAMMAD KHAN DISTRICT,5 PERSONS,15250,2413,462,172,67,32,94,26,42
TANDO MUHAMMAD KHAN DISTRICT,6 PERSONS,13758,2481,520,199,52,30,100,14,46
TANDO MUHAMMAD KHAN DISTRICT,7 PERSONS,10367,2195,431,140,41,29,98,16,24
TANDO MUHAMMAD KHAN DISTRICT,8 PERSONS,6881,1655,309,103,45,31,54,18,19
TANDO MUHAMMAD KHAN DISTRICT,9 PERSONS,4066,1187,266,118,34,25,48,14,15
TANDO MUHAMMAD KHAN DISTRICT,10 PERSONS AND ABOVE,4510,1922,611,321,66,51,78,24,36
TANK DISTRICT,1 PERSON,228,121,53,28,12,11,5,1,1
TANK DISTRICT,2 PERSONS,748,501,173,62,34,20,4,5,12
TANK DISTRICT,3 PERSONS,736,738,251,113,45,18,18,9,16
TANK DISTRICT,4 PERSONS,842,1098,461,205,69,47,21,12,16
TANK DISTRICT,5 PERSONS,940,1619,755,272,114,54,30,15,19
TANK DISTRICT,6 PERSONS,795,1842,1102,430,166,82,38,13,44
TANK DISTRICT,7 PERSONS,635,1815,1313,584,233,99,45,29,40
TANK DISTRICT,8 PERSONS,435,1507,1331,707,263,112,41,22,35
TANK DISTRICT,9 PERSONS,273,1170,1145,748,288,125,44,28,38
TANK DISTRICT,10 PERSONS AND ABOVE,360,1870,3289,3481,2191,1375,732,470,678
THARPARKAR DISTRICT,1 PERSON,6206,1928,445,170,53,20,43,6,21
THARPARKAR DISTRICT,2 PERSONS,22417,14054,3246,855,185,100,172,38,59
THARPARKAR DISTRICT,3 PERSONS,14979,13173,4281,1166,252,108,131,29,56
THARPARKAR DISTRICT,4 PERSONS,13539,16931,6648,1981,385,150,137,29,64
THARPARKAR DISTRICT,5 PERSONS,10937,16337,8054,2499,542,218,160,34,76
THARPARKAR DISTRICT,6 PERSONS,8838,14944,8710,3042,626,201,160,34,74
THARPARKAR DISTRICT,7 PERSONS,6300,11869,8091,3200,677,229,128,45,77
