district,localities,hhsize,room_in_house_1,room_in_house_2,room_in_house_3,room_in_house_4,room_in_house_5,room_in_house_6,room_in_house_7,room_in_house_8,room_in_house_9
AWARAN DISTRICT,URBAN,8 PERSONS,28,108,83,78,22,14,6,2,4
AWARAN DISTRICT,URBAN,9 PERSONS,24,96,48,58,27,16,13,3,6
AWARAN DISTRICT,URBAN,10 PERSONS AND ABOVE,26,117,143,190,130,126,83,50,170
BADIN DISTRICT,RURAL,1 PERSON,9281,391,156,36,36,7,40,8,14
BADIN DISTRICT,RURAL,2 PERSONS,40078,2201,525,134,144,23,231,31,92
BADIN DISTRICT,RURAL,3 PERSONS,35998,2654,516,127,122,24,193,13,91
BADIN DISTRICT,RURAL,4 PERSONS,35619,3393,580,166,125,23,206,20,63
BADIN DISTRICT,RURAL,5 PERSONS,33491,3946,719,191,116,23,177,20,78
BADIN DISTRICT,RURAL,6 PERSONS,30423,4285,773,185,145,24,197,13,59
BADIN DISTRICT,RURAL,7 PERSONS,22506,3973,755,145,103,25,126,16,60
BADIN DISTRICT,RURAL,8 PERSONS,15055,3072,644,152,83,26,80,14,41
BADIN DISTRICT,RURAL,9 PERSONS,8840,2348,556,123,58,15,56,8,27
BADIN DISTRICT,RURAL,10 PERSONS AND ABOVE,8805,3416,1155,390,121,42,96,15,33
BADIN DISTRICT,URBAN,1 PERSON,2099,278,81,37,14,4,13,2,6
BADIN DISTRICT,URBAN,2 PERSONS,8466,1193,292,122,32,14,59,10,23
BADIN DISTRICT,URBAN,3 PERSONS,8185,1672,384,158,59,20,58,15,32
BADIN DISTRICT,URBAN,4 PERSONS,8470,2157,579,175,52,13,77,10,26
BADIN DISTRICT,URBAN,5 PERSONS,7950,2459,672,215,86,20,64,14,23
BADIN DISTRICT,URBAN,6 PERSONS,6773,2311,667,236,83,25,61,12,29
BADIN DISTRICT,URBAN,7 PERSONS,4706,1804,596,200,75,36,35,12,21
BADIN DISTRICT,URBAN,8 PERSONS,3011,1359,430,151,41,9,26,7,11
BADIN DISTRICT,URBAN,9 PERSONS,1700,910,285,118,38,16,30,1,7
