district,localities,hhsize,room_in_house_1,room_in_house_2,room_in_house_3,room_in_house_4,room_in_house_5,room_in_house_6,room_in_house_7,room_in_house_8,room_in_house_9
HARIPUR DISTRICT,URBAN,5 PERSONS,452,1178,1029,596,213,118,70,29,24
HARIPUR DISTRICT,URBAN,6 PERSONS,294,993,985,614,229,121,51,34,44
HARIPUR DISTRICT,URBAN,7 PERSONS,148,591,637,417,181,128,46,25,40
HARIPUR DISTRICT,URBAN,8 PERSONS,75,362,471,292,125,87,37,22,21
HARIPUR DISTRICT,URBAN,9 PERSONS,30,180,299,225,114,71,35,20,21
HARIPUR DISTRICT,URBAN,10 PERSONS AND ABOVE,46,243,491,605,379,335,160,141,156
HARNAI DISTRICT,RURAL,1 PERSON,221,40,22,5,2,,2,,
HARNAI DISTRICT,RURAL,2 PERSONS,1270,460,132,32,7,13,8,11,11
HARNAI DISTRICT,RURAL,3 PERSONS,850,474,159,33,10,7,10,5,10
HARNAI DISTRICT,RURAL,4 PERSONS,756,538,190,46,12,7,8,4,11
HARNAI DISTRICT,RURAL,5 PERSONS,627,558,235,55,19,14,13,5,15
HARNAI DISTRICT,RURAL,6 PERSONS,525,545,284,78,25,12,9,6,10
HARNAI DISTRICT,RURAL,7 PERSONS,385,485,283,97,26,11,9,9,9
HARNAI DISTRICT,RURAL,8 PERSONS,240,375,233,107,19,7,9,2,12
HARNAI DISTRICT,RURAL,9 PERSONS,154,277,185,72,20,16,4,7,14
HARNAI DISTRICT,RURAL,10 PERSONS AND ABOVE,220,334,331,185,100,44,23,22,29
HARNAI DISTRICT,URBAN,1 PERSON,68,21,22,9,3,,1,,1
HARNAI DISTRICT,URBAN,2 PERSONS,275,101,66,41,29,26,10,6,7
HARNAI DISTRICT,URBAN,3 PERSONS,141,114,77,35,29,10,9,7,6
HARNAI DISTRICT,URBAN,4 PERSONS,116,154,128,53,35,26,17,10,8
HARNAI DISTRICT,URBAN,5 PERSONS,91,160,181,65,35,18,1,5,7
HARNAI DISTRICT,URBAN,6 PERSONS,59,138,165,67,44,24,5,7,10
HARNAI DISTRICT,URBAN,7 PERSONS,32,124,126,63,48,15,9,9,7
HARNAI DISTRICT,URBAN,8 PERSONS,40,93,94,61,21,13,7,4,10
HARNAI DISTRICT,URBAN,9 PERSONS,17,58,86,34,33,12,4,3,5
HARNAI DISTRICT,URBAN,10 PERSONS AND ABOVE,11,95,128,97,51,35,18,12,20
HYDERABAD DISTRICT,RURAL,1 PERSON,2174,138,26,18,5,4,13,1,2
HYDERABAD DISTRICT,RURAL,2 PERSONS,9057,757,145,48,45,3,50,9,24
HYDERABAD DISTRICT,RURAL,3 PERSONS,8782,956,175,57,22,7,50,9,33
HYDERABAD DISTRICT,RURAL,4 PERSONS,8865,1312,257,94,38,5,54,13,26
HYDERABAD DISTRICT,RURAL,5 PERSONS,8161,1534,345,99,31,10,54,9,17
HYDERABAD DISTRICT,RURAL,6 PERSONS,6959,1650,369,112,33,15,55,6,16
HYDERABAD DISTRICT,RURAL,7 PERSONS,5247,1349,322,112,29,11,30,2,12
HYDERABAD DISTRICT,RURAL,8 PERSONS,3289,1166,253,100,21,10,32,,11
HYDERABAD DISTRICT,RURAL,9 PERSONS,1963,816,187,88,32,3,14,2,4
HYDERABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,1996,1230,505,219,93,52,40,8,28
HYDERABAD DISTRICT,URBAN,1 PERSON,8258,2362,1396,610,259,224,92,67,92
HYDERABAD DISTRICT,URBAN,2 PERSONS,25365,9177,4837,2107,812,714,360,187,288
HYDERABAD DISTRICT,URBAN,3 PERSONS,27726,12244,6275,2522,918,820,394,197,311
HYDERABAD DISTRICT,URBAN,4 PERSONS,29739,16389,8763,3522,1245,1026,479,292,375
HYDERABAD DISTRICT,URBAN,5 PERSONS,25251,17496,9814,3843,1371,1133,480,281,337
HYDERABAD DISTRICT,URBAN,6 PERSONS,18333,15010,8263,3362,1054,935,423,237,298
HYDERABAD DISTRICT,URBAN,7 PERSONS,11104,10055,5411,2267,763,587,272,142,178
HYDERABAD DISTRICT,URBAN,8 PERSONS,6253,6610,3672,1464,525,392,179,98,128
HYDERABAD DISTRICT,URBAN,9 PERSONS,3396,4015,2254,998,349,286,131,66,80
HYDERABAD DISTRICT,URBAN,10 PERSONS AND ABOVE,3487,5443,4192,2551,1136,881,355,221,280
JACOBABAD DISTRICT,RURAL,1 PERSON,2571,162,51,16,3,,24,4,10
JACOBABAD DISTRICT,RURAL,2 PERSONS,14244,748,248,114,39,6,90,8,59
JACOBABAD DISTRICT,RURAL,3 PERSONS,13455,1032,268,92,38,9,95,18,44
JACOBABAD DISTRICT,RURAL,4 PERSONS,14550,1308,363,132,40,3,91,16,49
JACOBABAD DISTRICT,RURAL,5 PERSONS,13736,1502,437,120,48,9,117,19,47
JACOBABAD DISTRICT,RURAL,6 PERSONS,12588,1582,409,122,47,11,102,10,35
JACOBABAD DISTRICT,RURAL,7 PERSONS,10722,1675,432,122,45,8,83,14,54
JACOBABAD DISTRICT,RURAL,8 PERSONS,8237,1517,421,126,41,7,75,13,27
JACOBABAD DISTRICT,RURAL,9 PERSONS,5584,1303,377,132,35,12,42,3,29
JACOBABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,7697,2531,1018,401,115,47,109,27,51
JACOBABAD DISTRICT,URBAN,1 PERSON,1083,247,65,51,17,8,5,1,9
JACOBABAD DISTRICT,URBAN,2 PERSONS,4086,1093,300,153,41,28,33,11,15
JACOBABAD DISTRICT,URBAN,3 PERSONS,4039,1433,381,164,69,26,36,25,21
JACOBABAD DISTRICT,URBAN,4 PERSONS,4269,2131,532,236,71,30,45,17,21
JACOBABAD DISTRICT,URBAN,5 PERSONS,3918,2209,646,276,77,42,46,17,19
JACOBABAD DISTRICT,URBAN,6 PERSONS,3389,2172,668,260,52,45,57,15,22
JACOBABAD DISTRICT,URBAN,7 PERSONS,2648,1929,611,238,58,30,30,15,21
JACOBABAD DISTRICT,URBAN,8 PERSONS,1858,1549,497,247,63,36,23,16,11
JACOBABAD DISTRICT,URBAN,9 PERSONS,1172,1076,374,153,54,23,22,10,8
JACOBABAD DISTRICT,URBAN,10 PERSONS AND ABOVE,1369,1768,831,486,173,90,71,28,33
JAFFARABAD DISTRICT,RURAL,1 PERSON,1029,74,28,6,,1,1,,2
JAFFARABAD DISTRICT,RURAL,2 PERSONS,5760,421,149,23,14,1,22,6,7
JAFFARABAD DISTRICT,RURAL,3 PERSONS,4795,557,155,43,12,4,20,4,9
JAFFARABAD DISTRICT,RURAL,4 PERSONS,4980,748,236,40,13,6,22,6,3
JAFFARABAD DISTRICT,RURAL,5 PERSONS,4827,908,263,59,19,2,17,4,3
JAFFARABAD DISTRICT,RURAL,6 PERSONS,4546,1092,273,89,27,10,26,4,7
JAFFARABAD DISTRICT,RURAL,7 PERSONS,4040,1128,327,84,26,13,20,6,3
JAFFARABAD DISTRICT,RURAL,8 PERSONS,3361,1164,336,125,25,5,16,6,8
JAFFARABAD DISTRICT,RURAL,9 PERSONS,2433,979,310,127,37,12,15,3,3
JAFFARABAD DISTRICT,RURAL,10 PERSONS AND ABOVE,4253,2580,1101,481,170,88,90,47,56
JAFFARABAD DISTRICT,URBAN,1 PERSON,303,104,31,7,,4,4,,
JAFFARABAD DISTRICT,URBAN,2 PERSONS,1437,350,92,48,11,7,14,,3
JAFFARABAD DISTRICT,URBAN,3 PERSONS,1294,518,125,56,10,7,13,1,2
JAFFARABAD DISTRICT,URBAN,4 PERSONS,1458,698,199,71,22,6,15,7,1
JAFFARABAD DISTRICT,URBAN,5 PERSONS,1395,851,266,111,32,7,24,4,3
JAFFARABAD DISTRICT,URBAN,6 PERSONS,1288,864,276,126,23,10,29,4,4
JAFFARABAD DISTRICT,URBAN,7 PERSONS,1107,967,319,125,38,10,18,,2
JAFFARABAD DISTRICT,URBAN,8 PERSONS,780,801,292,122,32,16,12,3,2
JAFFARABAD DISTRICT,URBAN,9 PERSONS,527,676,288,108,37,19,13,,3
JAFFARABAD DISTRICT,URBAN,10 PERSONS AND ABOVE,850,1430,866,548,145,92,48,25,27
JAMSHORO DISTRICT,RURAL,1 PERSON,3455,288,115,30,11,13,25,2,8
JAMSHORO DISTRICT,RURAL,2 PERSONS,12765,1109,248,81,38,17,94,8,22
JAMSHORO DISTRICT,RURAL,3 PERSONS,11332,1360,333,93,45,21,67,10,20
JAMSHORO DISTRICT,RURAL,4 PERSONS,11819,1922,480,104,47,16,81,13,28
JAMSHORO DISTRICT,RURAL,5 PERSONS,10931,2060,564,150,69,29,73,12,18
JAMSHORO DISTRICT,RURAL,6 PERSONS,9538,2168,620,177,55,29,61,11,25
JAMSHORO DISTRICT,RURAL,7 PERSONS,7246,1890,572,158,40,16,59,12,15
JAMSHORO DISTRICT,RURAL,8 PERSONS,5184,1575,467,129,53,18,41,8,16
JAMSHORO DISTRICT,RURAL,9 PERSONS,3132,1119,299,99,32,16,30,8,13
JAMSHORO DISTRICT,RURAL,10 PERSONS AND ABOVE,3917,2082,926,373,115,64,56,33,41
JAMSHORO DISTRICT,URBAN,1 PERSON,1878,548,205,71,24,10,17,8,8
JAMSHORO DISTRICT,URBAN,2 PERSONS,5696,1863,476,226,57,36,62,11,19
JAMSHORO DISTRICT,URBAN,3 PERSONS,5592,2545,667,254,74,31,67,10,19
JAMSHORO DISTRICT,URBAN,4 PERSONS,5818,3415,923,341,115,58,62,20,25
JAMSHORO DISTRICT,URBAN,5 PERSONS,5088,3811,1137,387,117,35,85,26,23
JAMSHORO DISTRICT,URBAN,6 PERSONS,4226,3840,1270,432,134,50,66,19,27
JAMSHORO DISTRICT,URBAN,7 PERSONS,2916,3153,1091,404,105,38,66,13,24
JAMSHORO DISTRICT,URBAN,8 PERSONS,1815,2339,887,310,109,43,49,10,16
JAMSHORO DISTRICT,URBAN,9 PERSONS,1029,1600,693,240,87,31,35,15,7
JAMSHORO DISTRICT,URBAN,10 PERSONS AND ABOVE,1231,2488,1607,831,371,184,105,58,63
JHAL MAGSI DISTRICT,RURAL,1 PERSON,255,29,6,3,1,,,,1
JHAL MAGSI DISTRICT,RURAL,2 PERSONS,2511,369,64,8,7,5,8,1,4
JHAL MAGSI DISTRICT,RURAL,3 PERSONS,2070,457,92,12,2,4,9,,1
JHAL MAGSI DISTRICT,RURAL,4 PERSONS,2029,707,133,24,7,3,10,,1
JHAL MAGSI DISTRICT,RURAL,5 PERSONS,1703,865,165,34,4,5,5,,5
JHAL MAGSI DISTRICT,RURAL,6 PERSONS,1526,977,227,41,7,4,5,3,1
JHAL MAGSI DISTRICT,RURAL,7 PERSONS,1283,953,235,68,13,3,4,,
JHAL MAGSI DISTRICT,RURAL,8 PERSONS,903,821,261,75,7,1,2,1,
JHAL MAGSI DISTRICT,RURAL,9 PERSONS,624,655,265,77,14,2,8,1,1
JHAL MAGSI DISTRICT,RURAL,10 PERSONS AND ABOVE,848,1089,639,228,76,20,14,8,9
JHAL MAGSI DISTRICT,URBAN,1 PERSON,7,6,1,,,,,,
JHAL MAGSI DISTRICT,URBAN,2 PERSONS,67,70,13,2,,,,,
JHAL MAGSI DISTRICT,URBAN,3 PERSONS,56,56,17,6,,2,,,
JHAL MAGSI DISTRICT,URBAN,4 PERSONS,55,51,16,9,,,,,1
JHAL MAGSI DISTRICT,URBAN,5 PERSONS,49,48,24,7,1,,1,,
JHAL MAGSI DISTRICT,URBAN,6 PERSONS,37,55,30,4,1,,,,
JHAL MAGSI DISTRICT,URBAN,7 PERSONS,37,53,44,5,2,1,,,
JHAL MAGSI DISTRICT,URBAN,8 PERSONS,23,45,39,5,2,,,,
JHAL MAGSI DISTRICT,URBAN,9 PERSONS,22,42,31,20,2,,,,
JHAL MAGSI DISTRICT,URBAN,10 PERSONS AND ABOVE,18,53,67,23,12,3,2,,1
JHANG DISTRICT,RURAL,1 PERSON,4447,1845,652,292,139,60,41,14,37
JHANG DISTRICT,RURAL,2 PERSONS,11970,7588,2171,889,312,129,84,48,65
JHANG DISTRICT,RURAL,3 PERSONS,12196,10466,3577,1341,484,209,155,55,65
JHANG DISTRICT,RURAL,4 PERSONS,13510,14775,5565,2324,788,343,206,73,93
JHANG DISTRICT,RURAL,5 PERSONS,13897,19039,8437,3446,1212,467,258,105,128
JHANG DISTRICT,RURAL,6 PERSONS,11866,20262,9846,4218,1469,694,367,129,136
JHANG DISTRICT,RURAL,7 PERSONS,7957,16774,9138,4301,1678,727,355,145,169
JHANG DISTRICT,RURAL,8 PERSONS,4682,11762,7331,3806,1446,687,281,144,156
JHANG DISTRICT,RURAL,9 PERSONS,2372,7368,5507,3167,1347,606,241,134,166
JHANG DISTRICT,RURAL,10 PERSONS AND ABOVE,2567,10094,11564,9740,5309,3367,1512,1042,1373
JHANG DISTRICT,URBAN,1 PERSON,1115,730,380,180,95,56,22,9,21
JHANG DISTRICT,URBAN,2 PERSONS,2258,1875,906,426,188,91,50,18,35
JHANG DISTRICT,URBAN,3 PERSONS,2763,2756,1417,680,291,164,69,34,26
JHANG DISTRICT,URBAN,4 PERSONS,3606,4015,2230,1133,474,196,114,45,68
JHANG DISTRICT,URBAN,5 PERSONS,3718,5406,3265,1589,722,321,171,86,82
JHANG DISTRICT,URBAN,6 PERSONS,3254,5281,3318,1772,782,344,180,78,91
JHANG DISTRICT,URBAN,7 PERSONS,2206,3943,2550,1419,645,304,122,71,80
JHANG DISTRICT,URBAN,8 PERSONS,1240,2505,1865,1078,530,256,117,62,58
JHANG DISTRICT,URBAN,9 PERSONS,603,1585,1329,858,383,206,88,60,45
JHANG DISTRICT,URBAN,10 PERSONS AND ABOVE,734,2218,2869,2467,1428,883,429,294,320
JHELUM DISTRICT,RURAL,1 PERSON,1223,1431,886,525,247,134,59,48,70
JHELUM DISTRICT,RURAL,2 PERSONS,1873,3600,2162,1179,482,264,112,71,116
JHELUM DISTRICT,RURAL,3 PERSONS,2039,4692,3429,1771,751,406,151,97,115
JHELUM DISTRICT,RURAL,4 PERSONS,2501,6696,5134,2938,1164,613,232,133,170
JHELUM DISTRICT,RURAL,5 PERSONS,2535,7670,6654,3961,1656,822,269,193,196
JHELUM DISTRICT,RURAL,6 PERSONS,2046,6831,6702,4063,1687,905,358,181,218
JHELUM DISTRICT,RURAL,7 PERSONS,1299,4573,4796,3381,1488,767,337,162,210
JHELUM DISTRICT,RURAL,8 PERSONS,614,2809,3260,2494,1094,639,255,164,182
JHELUM DISTRICT,RURAL,9 PERSONS,333,1532,1963,1726,847,517,210,143,157
JHELUM DISTRICT,RURAL,10 PERSONS AND ABOVE,383,1876,3205,3529,2157,1662,746,612,791
JHELUM DISTRICT,URBAN,1 PERSON,726,496,354,246,104,78,30,33,16
JHELUM DISTRICT,URBAN,2 PERSONS,728,1332,902,522,209,134,70,42,58
JHELUM DISTRICT,URBAN,3 PERSONS,817,1860,1522,754,299,218,125,54,54
JHELUM DISTRICT,URBAN,4 PERSONS,1045,2689,2240,1177,511,323,192,85,67
JHELUM DISTRICT,URBAN,5 PERSONS,1003,3229,3092,1594,716,409,218,93,84
JHELUM DISTRICT,URBAN,6 PERSONS,782,2652,2724,1621,638,402,192,120,89
JHELUM DISTRICT,URBAN,7 PERSONS,438,1612,1816,1139,561,354,162,105,86
JHELUM DISTRICT,URBAN,8 PERSONS,189,890,1139,811,396,293,127,80,72
JHELUM DISTRICT,URBAN,9 PERSONS,125,443,686,559,291,231,106,67,60
JHELUM DISTRICT,URBAN,10 PERSONS AND ABOVE,166,634,1204,1263,814,749,308,264,270
KACHHI DISTRICT,RURAL,1 PERSON,417,112,27,14,2,2,2,,1
KACHHI DISTRICT,RURAL,2 PERSONS,1743,687,127,78,8,4,8,,4
KACHHI DISTRICT,RURAL,3 PERSONS,1520,943,217,77,21,2,9,,10
KACHHI DISTRICT,RURAL,4 PERSONS,1404,1344,332,82,11,12,10,2,5
KACHHI DISTRICT,RURAL,5 PERSONS,1176,1462,412,140,23,14,11,,3
KACHHI DISTRICT,RURAL,6 PERSONS,982,1628,504,169,36,18,11,6,5
KACHHI DISTRICT,RURAL,7 PERSONS,761,1541,554,218,57,29,12,4,10
KACHHI DISTRICT,RURAL,8 PERSONS,591,1500,673,247,59,34,26,14,13
KACHHI DISTRICT,RURAL,9 PERSONS,413,1126,750,250,74,32,22,20,18
KACHHI DISTRICT,RURAL,10 PERSONS AND ABOVE,663,2461,2931,1712,607,389,210,173,214
KACHHI DISTRICT,URBAN,1 PERSON,97,67,20,9,3,1,,,
KACHHI DISTRICT,URBAN,2 PERSONS,225,146,32,18,5,,2,,
KACHHI DISTRICT,URBAN,3 PERSONS,199,203,41,28,6,3,2,,
KACHHI DISTRICT,URBAN,4 PERSONS,198,301,99,54,9,1,1,,
KACHHI DISTRICT,URBAN,5 PERSONS,165,315,137,70,16,3,4,2,1
KACHHI DISTRICT,URBAN,6 PERSONS,143,329,139,73,13,1,6,1,6
KACHHI DISTRICT,URBAN,7 PERSONS,118,316,188,79,19,5,4,4,
KACHHI DISTRICT,URBAN,8 PERSONS,80,255,181,80,17,7,1,,4
KACHHI DISTRICT,URBAN,9 PERSONS,56,201,160,72,16,2,3,3,1
KACHHI DISTRICT,URBAN,10 PERSONS AND ABOVE,84,387,428,427,132,65,22,14,26
KALAT DISTRICT,RURAL,1 PERSON,419,167,72,49,14,5,1,2,11
KALAT DISTRICT,RURAL,2 PERSONS,1248,908,411,211,59,35,46,11,37
KALAT DISTRICT,RURAL,3 PERSONS,1016,1175,580,288,111,68,34,17,43
KALAT DISTRICT,RURAL,4 PERSONS,1069,1544,849,463,139,78,59,20,52
KALAT DISTRICT,RURAL,5 PERSONS,939,1474,1071,574,193,101,56,26,64
KALAT DISTRICT,RURAL,6 PERSONS,786,1507,1205,731,214,149,90,27,74
KALAT DISTRICT,RURAL,7 PERSONS,664,1385,1167,765,296,178,96,49,43
KALAT DISTRICT,RURAL,8 PERSONS,528,1117,1145,803,338,237,119,65,75
KALAT DISTRICT,RURAL,9 PERSONS,417,956,1001,756,298,264,140,75,97
KALAT DISTRICT,RURAL,10 PERSONS AND ABOVE,767,1849,2586,2184,1127,985,553,456,879
KALAT DISTRICT,URBAN,1 PERSON,14,20,9,10,7,2,5,2,5
KALAT DISTRICT,URBAN,2 PERSONS,75,142,86,66,31,33,23,13,13
KALAT DISTRICT,URBAN,3 PERSONS,46,190,149,100,64,59,31,19,34
KALAT DISTRICT,URBAN,4 PERSONS,55,228,201,190,81,70,47,24,50
KALAT DISTRICT,URBAN,5 PERSONS,45,240,262,221,86,85,61,26,37
KALAT DISTRICT,URBAN,6 PERSONS,48,201,262,275,98,84,73,32,59
KALAT DISTRICT,URBAN,7 PERSONS,28,197,188,283,121,89,62,29,42
KALAT DISTRICT,URBAN,8 PERSONS,38,144,195,238,103,100,68,38,36
KALAT DISTRICT,URBAN,9 PERSONS,16,90,139,218,106,79,52,30,46
KALAT DISTRICT,URBAN,10 PERSONS AND ABOVE,40,181,355,547,338,283,179,111,292
KAMBAR SHAHDAD KOT DISTRICT,RURAL,1 PERSON,2430,201,54,27,8,2,21,6,9
KAMBAR SHAHDAD KOT DISTRICT,RURAL,2 PERSONS,15318,1323,339,107,43,19,85,12,22
KAMBAR SHAHDAD KOT DISTRICT,RURAL,3 PERSONS,14063,1534,362,119,42,23,88,16,32
KAMBAR SHAHDAD KOT DISTRICT,RURAL,4 PERSONS,14673,2141,476,114,58,28,107,20,44
KAMBAR SHAHDAD KOT DISTRICT,RURAL,5 PERSONS,14523,2701,550,165,75,18,88,10,37
KAMBAR SHAHDAD KOT DISTRICT,RURAL,6 PERSONS,13295,3119,683,188,65,36,88,12,45
KAMBAR SHAHDAD KOT DISTRICT,RURAL,7 PERSONS,11732,3398,822,217,54,29,97,13,29
KAMBAR SHAHDAD KOT DISTRICT,RURAL,8 PERSONS,9500,3228,755,300,63,39,84,23,28
KAMBAR SHAHDAD KOT DISTRICT,RURAL,9 PERSONS,6627,2679,649,279,53,33,79,9,26
KAMBAR SHAHDAD KOT DISTRICT,RURAL,10 PERSONS AND ABOVE,10554,6089,2323,1001,337,205,198,63,67
KAMBAR SHAHDAD KOT DISTRICT,URBAN,1 PERSON,1260,208,71,43,11,13,8,4,2
KAMBAR SHAHDAD KOT DISTRICT,URBAN,2 PERSONS,5728,1303,569,232,72,41,42,19,19
KAMBAR SHAHDAD KOT DISTRICT,URBAN,3 PERSONS,4937,1527,534,252,66,34,57,16,17
KAMBAR SHAHDAD KOT DISTRICT,URBAN,4 PERSONS,5179,2068,726,278,85,49,52,10,18
KAMBAR SHAHDAD KOT DISTRICT,URBAN,5 PERSONS,4747,2338,821,303,101,57,62,17,26
KAMBAR SHAHDAD KOT DISTRICT,URBAN,6 PERSONS,4195,2457,932,351,122,57,53,15,22
KAMBAR SHAHDAD KOT DISTRICT,URBAN,7 PERSONS,3372,2246,852,318,97,46,37,12,9
KAMBAR SHAHDAD KOT DISTRICT,URBAN,8 PERSONS,2512,1833,823,277,76,37,37,13,14
KAMBAR SHAHDAD KOT DISTRICT,URBAN,9 PERSONS,1646,1434,621,238,72,37,31,4,17
KAMBAR SHAHDAD KOT DISTRICT,URBAN,10 PERSONS AND ABOVE,2296,2720,1525,699,247,120,115,35,45
KARACHI CENTRAL DISTRICT,RURAL,1 PERSON,,,,,,,,,
KARACHI CENTRAL DISTRICT,RURAL,2 PERSONS,,,,,,,,,
KARACHI CENTRAL DISTRICT,RURAL,3 PERSONS,,,,,,,,,
KARACHI CENTRAL DISTRICT,RURAL,4 PERSONS,,,,,,,,,
KARACHI CENTRAL DISTRICT,RURAL,5 PERSONS,,,,,,,,,
KARACHI CENTRAL DISTRICT,RURAL,6 PERSONS,,,,,,,,,
KARACHI CENTRAL DISTRICT,RURAL,7 PERSONS,,,,,,,,,
KARACHI CENTRAL DISTRICT,RURAL,8 PERSONS,,,,,,,,,
KARACHI CENTRAL DISTRICT,RURAL,9 PERSONS,,,,,,,,,
KARACHI CENTRAL DISTRICT,RURAL,10 PERSONS AND ABOVE,,,,,,,,,
KARACHI CENTRAL DISTRICT,URBAN,1 PERSON,8323,3550,2673,1222,377,152,86,58,142
KARACHI CENTRAL DISTRICT,URBAN,2 PERSONS,15582,13864,9466,4421,1251,468,224,126,213
KARACHI CENTRAL DISTRICT,URBAN,3 PERSONS,18971,20324,14511,6554,1908,597,269,201,261
KARACHI CENTRAL DISTRICT,URBAN,4 PERSONS,22384,30897,22932,11254,2981,997,433,320,349
KARACHI CENTRAL DISTRICT,URBAN,5 PERSONS,19700,32620,25852,13149,3983,1421,527,416,510
KARACHI CENTRAL DISTRICT,URBAN,6 PERSONS,13385,25447,20211,10976,3313,1518,482,489,427
KARACHI CENTRAL DISTRICT,URBAN,7 PERSONS,7829,16325,12250,6863,2374,1255,379,399,367
KARACHI CENTRAL DISTRICT,URBAN,8 PERSONS,4315,9996,7578,4571,1587,1007,293,344,286
KARACHI CENTRAL DISTRICT,URBAN,9 PERSONS,2206,5999,4914,3117,1217,812,259,262,247
KARACHI CENTRAL DISTRICT,URBAN,10 PERSONS AND ABOVE,2782,9164,10096,8748,4489,3968,1259,1754,2114
KARACHI EAST DISTRICT,RURAL,1 PERSON,,,,,,,,,
KARACHI EAST DISTRICT,RURAL,2 PERSONS,,,,,,,,,
KARACHI EAST DISTRICT,RURAL,3 PERSONS,,,,,,,,,
KARACHI EAST DISTRICT,RURAL,4 PERSONS,,,,,,,,,
KARACHI EAST DISTRICT,RURAL,5 PERSONS,,,,,,,,,
KARACHI EAST DISTRICT,RURAL,6 PERSONS,,,,,,,,,
KARACHI EAST DISTRICT,RURAL,7 PERSONS,,,,,,,,,
KARACHI EAST DISTRICT,RURAL,8 PERSONS,,,,,,,,,
KARACHI EAST DISTRICT,RURAL,9 PERSONS,,,,,,,,,
KARACHI EAST DISTRICT,RURAL,10 PERSONS AND ABOVE,,,,,,,,,
KARACHI EAST DISTRICT,URBAN,1 PERSON,7903,3660,3526,2199,1250,286,125,108,196
KARACHI EAST DISTRICT,URBAN,2 PERSONS,11947,9991,9646,6261,3521,734,325,202,385
KARACHI EAST DISTRICT,URBAN,3 PERSONS,14135,13539,12835,8535,4765,982,405,252,422
KARACHI EAST DISTRICT,URBAN,4 PERSONS,16363,19822,19137,13532,7438,1471,599,401,617
KARACHI EAST DISTRICT,URBAN,5 PERSONS,15320,21399,20906,14793,8941,1835,768,486,687
KARACHI EAST DISTRICT,URBAN,6 PERSONS,12135,18186,16690,11790,7176,1923,697,509,708
KARACHI EAST DISTRICT,URBAN,7 PERSONS,7810,12725,10563,7050,4498,1393,574,406,524
KARACHI EAST DISTRICT,URBAN,8 PERSONS,4823,8776,7274,4386,2647,1047,364,366,391
KARACHI EAST DISTRICT,URBAN,9 PERSONS,2689,5775,4922,3077,1953,799,299,288,348
KARACHI EAST DISTRICT,URBAN,10 PERSONS AND ABOVE,4186,10952,11764,8714,5652,3641,1362,1547,2134
KARACHI SOUTH DISTRICT,RURAL,1 PERSON,,,,,,,,,
KARACHI SOUTH DISTRICT,RURAL,2 PERSONS,,,,,,,,,
KARACHI SOUTH DISTRICT,RURAL,3 PERSONS,,,,,,,,,
KARACHI SOUTH DISTRICT,RURAL,4 PERSONS,,,,,,,,,
KARACHI SOUTH DISTRICT,RURAL,5 PERSONS,,,,,,,,,
KARACHI SOUTH DISTRICT,RURAL,6 PERSONS,,,,,,,,,
KARACHI SOUTH DISTRICT,RURAL,7 PERSONS,,,,,,,,,
KARACHI SOUTH DISTRICT,RURAL,8 PERSONS,,,,,,,,,
KARACHI SOUTH DISTRICT,RURAL,9 PERSONS,,,,,,,,,
KARACHI SOUTH DISTRICT,RURAL,10 PERSONS AND ABOVE,,,,,,,,,
KARACHI SOUTH DISTRICT,URBAN,1 PERSON,7230,3929,2279,1041,538,413,199,134,144
KARACHI SOUTH DISTRICT,URBAN,2 PERSONS,10721,8989,4944,2080,1004,566,305,145,167
KARACHI SOUTH DISTRICT,URBAN,3 PERSONS,12527,12418,6898,2510,1179,637,363,163,173
KARACHI SOUTH DISTRICT,URBAN,4 PERSONS,14530,18646,10864,4050,1714,905,442,236,257
KARACHI SOUTH DISTRICT,URBAN,5 PERSONS,12841,20389,12426,4646,1956,1129,550,283,320
KARACHI SOUTH DISTRICT,URBAN,6 PERSONS,8927,16543,10678,4261,1693,1022,459,298,302
KARACHI SOUTH DISTRICT,URBAN,7 PERSONS,5270,10688,7269,3020,1170,811,330,234,234
KARACHI SOUTH DISTRICT,URBAN,8 PERSONS,2777,6348,4837,2221,776,590,232,190,169
KARACHI SOUTH DISTRICT,URBAN,9 PERSONS,1496,3779,3309,1638,617,487,182,157,143
KARACHI SOUTH DISTRICT,URBAN,10 PERSONS AND ABOVE,1949,6051,7591,5419,2349,2116,759,750,911
KARACHI WEST DISTRICT,RURAL,1 PERSON,1159,334,139,38,15,8,8,,3
KARACHI WEST DISTRICT,RURAL,2 PERSONS,1980,833,282,126,26,24,18,8,9
KARACHI WEST DISTRICT,RURAL,3 PERSONS,2135,1210,400,163,51,26,32,4,10
KARACHI WEST DISTRICT,RURAL,4 PERSONS,2312,1851,674,238,67,35,28,12,19
KARACHI WEST DISTRICT,RURAL,5 PERSONS,2184,2143,924,316,81,35,48,11,29
KARACHI WEST DISTRICT,RURAL,6 PERSONS,1748,2256,1046,328,82,48,33,12,21
KARACHI WEST DISTRICT,RURAL,7 PERSONS,1189,2003,1029,336,99,44,43,5,20
KARACHI WEST DISTRICT,RURAL,8 PERSONS,712,1460,935,302,94,38,33,6,18
KARACHI WEST DISTRICT,RURAL,9 PERSONS,374,997,758,280,88,45,24,10,10
KARACHI WEST DISTRICT,RURAL,10 PERSONS AND ABOVE,480,1678,1940,1251,646,363,174,90,86
