district,localities,material,location,owned,rented,rentfree
BAHAWALNAGAR DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,76615,14769,3521
BAHAWALNAGAR DISTRICT,Urban,Unbaked Bricks / Mud,Wall,3940,411,480
BAHAWALNAGAR DISTRICT,Urban,Wood / Bamboo,Wall,499,84,186
BAHAWALNAGAR DISTRICT,Urban,Others,Wall,711,132,175
BAHAWALNAGAR DISTRICT,Urban,Rcc / Rbc,Roof,26803,5569,968
BAHAWALNAGAR DISTRICT,Urban,Cement / Iron Sheets,Roof,3675,498,149
BAHAWALNAGAR DISTRICT,Urban,Garder / T.Iron,Roof,36106,6720,1618
BAHAWALNAGAR DISTRICT,Urban,Wood / Bamboo,Roof,12824,2132,1362
BAHAWALNAGAR DISTRICT,Urban,Others,Roof,2357,477,265
BAHAWALPUR DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,249975,3406,11551
BAHAWALPUR DISTRICT,Rural,Unbaked Bricks / Mud,Wall,102396,746,10157
BAHAWALPUR DISTRICT,Rural,Wood / Bamboo,Wall,3454,48,824
BAHAWALPUR DISTRICT,Rural,Others,Wall,4644,44,837
BAHAWALPUR DISTRICT,Rural,Rcc / Rbc,Roof,12549,329,652
BAHAWALPUR DISTRICT,Rural,Cement / Iron Sheets,Roof,4872,97,316
BAHAWALPUR DISTRICT,Rural,Garder / T.Iron,Roof,305034,3285,14548
BAHAWALPUR DISTRICT,Rural,Wood / Bamboo,Roof,34360,475,7107
BAHAWALPUR DISTRICT,Rural,Others,Roof,3654,58,746
BAHAWALPUR DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,138355,29497,6036
BAHAWALPUR DISTRICT,Urban,Unbaked Bricks / Mud,Wall,10367,898,1156
BAHAWALPUR DISTRICT,Urban,Wood / Bamboo,Wall,636,88,358
BAHAWALPUR DISTRICT,Urban,Others,Wall,1009,159,332
BAHAWALPUR DISTRICT,Urban,Rcc / Rbc,Roof,32543,12521,1658
BAHAWALPUR DISTRICT,Urban,Cement / Iron Sheets,Roof,2334,540,88
BAHAWALPUR DISTRICT,Urban,Garder / T.Iron,Roof,106927,16402,4311
BAHAWALPUR DISTRICT,Urban,Wood / Bamboo,Roof,7347,953,1427
BAHAWALPUR DISTRICT,Urban,Others,Roof,1216,226,398
BAJAUR AGENCY,Rural,Baked Bricks / Blocks / Stone,Wall,49671,977,4833
BAJAUR AGENCY,Rural,Unbaked Bricks / Mud,Wall,44568,1252,8632
BAJAUR AGENCY,Rural,Wood / Bamboo,Wall,5349,102,786
BAJAUR AGENCY,Rural,Others,Wall,4581,236,500
BAJAUR AGENCY,Rural,Rcc / Rbc,Roof,6449,467,540
BAJAUR AGENCY,Rural,Cement / Iron Sheets,Roof,2570,88,170
BAJAUR AGENCY,Rural,Garder / T.Iron,Roof,14527,478,1332
BAJAUR AGENCY,Rural,Wood / Bamboo,Roof,75642,1302,12188
BAJAUR AGENCY,Rural,Others,Roof,4981,232,521
BAJAUR AGENCY,Urban,Baked Bricks / Blocks / Stone,Wall,,,
BAJAUR AGENCY,Urban,Unbaked Bricks / Mud,Wall,,,
BAJAUR AGENCY,Urban,Wood / Bamboo,Wall,,,
BAJAUR AGENCY,Urban,Others,Wall,,,
BAJAUR AGENCY,Urban,Rcc / Rbc,Roof,,,
BAJAUR AGENCY,Urban,Cement / Iron Sheets,Roof,,,
BAJAUR AGENCY,Urban,Garder / T.Iron,Roof,,,
