district,localities,material,location,owned,rented,rentfree
DERA ISMAIL KHAN DISTRICT,Rural,Unbaked Bricks / Mud,Wall,70565,1444,3302
DERA ISMAIL KHAN DISTRICT,Rural,Wood / Bamboo,Wall,2868,68,628
DERA ISMAIL KHAN DISTRICT,Rural,Others,Wall,3197,125,997
DERA ISMAIL KHAN DISTRICT,Rural,Rcc / Rbc,Roof,2155,816,266
DERA ISMAIL KHAN DISTRICT,Rural,Cement / Iron Sheets,Roof,1206,41,68
DERA ISMAIL KHAN DISTRICT,Rural,Garder / T.Iron,Roof,78707,5072,2336
DERA ISMAIL KHAN DISTRICT,Rural,Wood / Bamboo,Roof,49185,1092,3082
DERA ISMAIL KHAN DISTRICT,Rural,Others,Roof,2958,97,926
DERA ISMAIL KHAN DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,32396,6608,1126
DERA ISMAIL KHAN DISTRICT,Urban,Unbaked Bricks / Mud,Wall,7946,495,259
DERA ISMAIL KHAN DISTRICT,Urban,Wood / Bamboo,Wall,354,29,124
DERA ISMAIL KHAN DISTRICT,Urban,Others,Wall,393,71,95
DERA ISMAIL KHAN DISTRICT,Urban,Rcc / Rbc,Roof,2783,1258,232
DERA ISMAIL KHAN DISTRICT,Urban,Cement / Iron Sheets,Roof,319,66,10
DERA ISMAIL KHAN DISTRICT,Urban,Garder / T.Iron,Roof,31753,5213,891
DERA ISMAIL KHAN DISTRICT,Urban,Wood / Bamboo,Roof,5814,587,381
DERA ISMAIL KHAN DISTRICT,Urban,Others,Roof,420,79,90
FAISALABAD DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,521580,31194,24115
FAISALABAD DISTRICT,Rural,Unbaked Bricks / Mud,Wall,31981,1095,4801
FAISALABAD DISTRICT,Rural,Wood / Bamboo,Wall,3158,153,558
FAISALABAD DISTRICT,Rural,Others,Wall,4455,195,1000
FAISALABAD DISTRICT,Rural,Rcc / Rbc,Roof,25712,3107,2153
FAISALABAD DISTRICT,Rural,Cement / Iron Sheets,Roof,6360,542,475
FAISALABAD DISTRICT,Rural,Garder / T.Iron,Roof,415182,23093,14342
FAISALABAD DISTRICT,Rural,Wood / Bamboo,Roof,101715,5255,11774
FAISALABAD DISTRICT,Rural,Others,Roof,12205,640,1730
FAISALABAD DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,432276,117622,22241
FAISALABAD DISTRICT,Urban,Unbaked Bricks / Mud,Wall,5954,1764,505
FAISALABAD DISTRICT,Urban,Wood / Bamboo,Wall,1363,309,366
FAISALABAD DISTRICT,Urban,Others,Wall,2210,592,467
FAISALABAD DISTRICT,Urban,Rcc / Rbc,Roof,175920,45458,9930
FAISALABAD DISTRICT,Urban,Cement / Iron Sheets,Roof,10878,2815,438
FAISALABAD DISTRICT,Urban,Garder / T.Iron,Roof,229141,64293,10220
FAISALABAD DISTRICT,Urban,Wood / Bamboo,Roof,22059,6693,2433
FAISALABAD DISTRICT,Urban,Others,Roof,3805,1028,558
FR BANNU,Rural,Baked Bricks / Blocks / Stone,Wall,817,,37
FR BANNU,Rural,Unbaked Bricks / Mud,Wall,1955,6,20
FR BANNU,Rural,Wood / Bamboo,Wall,246,1,13
FR BANNU,Rural,Others,Wall,996,,8
FR BANNU,Rural,Rcc / Rbc,Roof,35,,12
FR BANNU,Rural,Cement / Iron Sheets,Roof,74,,2
FR BANNU,Rural,Garder / T.Iron,Roof,778,3,18
FR BANNU,Rural,Wood / Bamboo,Roof,2125,4,37
FR BANNU,Rural,Others,Roof,1002,,9
FR BANNU,Urban,Baked Bricks / Blocks / Stone,Wall,,,
FR BANNU,Urban,Unbaked Bricks / Mud,Wall,,,
FR BANNU,Urban,Wood / Bamboo,Wall,,,
FR BANNU,Urban,Others,Wall,,,
FR BANNU,Urban,Rcc / Rbc,Roof,,,
FR BANNU,Urban,Cement / Iron Sheets,Roof,,,
FR BANNU,Urban,Garder / T.Iron,Roof,,,
FR BANNU,Urban,Wood / Bamboo,Roof,,,
FR BANNU,Urban,Others,Roof,,,
FR D.I.KHAN,Rural,Baked Bricks / Blocks / Stone,Wall,4100,31,107
FR D.I.KHAN,Rural,Unbaked Bricks / Mud,Wall,1625,40,30
FR D.I.KHAN,Rural,Wood / Bamboo,Wall,548,5,34
FR D.I.KHAN,Rural,Others,Wall,263,,36
FR D.I.KHAN,Rural,Rcc / Rbc,Roof,57,3,7
FR D.I.KHAN,Rural,Cement / Iron Sheets,Roof,76,3,1
FR D.I.KHAN,Rural,Garder / T.Iron,Roof,683,15,25
FR D.I.KHAN,Rural,Wood / Bamboo,Roof,5470,54,154
FR D.I.KHAN,Rural,Others,Roof,250,1,20
FR D.I.KHAN,Urban,Baked Bricks / Blocks / Stone,Wall,,,
FR D.I.KHAN,Urban,Unbaked Bricks / Mud,Wall,,,
FR D.I.KHAN,Urban,Wood / Bamboo,Wall,,,
FR D.I.KHAN,Urban,Others,Wall,,,
FR D.I.KHAN,Urban,Rcc / Rbc,Roof,,,
FR D.I.KHAN,Urban,Cement / Iron Sheets,Roof,,,
FR D.I.KHAN,Urban,Garder / T.Iron,Roof,,,
FR D.I.KHAN,Urban,Wood / Bamboo,Roof,,,
FR D.I.KHAN,Urban,Others,Roof,,,
FR KOHAT,Rural,Baked Bricks / Blocks / Stone,Wall,10076,281,136
FR KOHAT,Rural,Unbaked Bricks / Mud,Wall,2500,184,87
FR KOHAT,Rural,Wood / Bamboo,Wall,130,84,15
FR KOHAT,Rural,Others,Wall,638,4,13
FR KOHAT,Rural,Rcc / Rbc,Roof,3775,94,43
FR KOHAT,Rural,Cement / Iron Sheets,Roof,675,14,9
FR KOHAT,Rural,Garder / T.Iron,Roof,6559,146,93
FR KOHAT,Rural,Wood / Bamboo,Roof,1989,295,98
FR KOHAT,Rural,Others,Roof,346,4,8
FR KOHAT,Urban,Baked Bricks / Blocks / Stone,Wall,,,
FR KOHAT,Urban,Unbaked Bricks / Mud,Wall,,,
FR KOHAT,Urban,Wood / Bamboo,Wall,,,
FR KOHAT,Urban,Others,Wall,,,
FR KOHAT,Urban,Rcc / Rbc,Roof,,,
FR KOHAT,Urban,Cement / Iron Sheets,Roof,,,
FR KOHAT,Urban,Garder / T.Iron,Roof,,,
FR KOHAT,Urban,Wood / Bamboo,Roof,,,
FR KOHAT,Urban,Others,Roof,,,
FR LAKKI MARWAT,Rural,Baked Bricks / Blocks / Stone,Wall,850,,5
FR LAKKI MARWAT,Rural,Unbaked Bricks / Mud,Wall,2055,6,33
FR LAKKI MARWAT,Rural,Wood / Bamboo,Wall,204,1,4
FR LAKKI MARWAT,Rural,Others,Wall,131,,15
FR LAKKI MARWAT,Rural,Rcc / Rbc,Roof,21,,1
FR LAKKI MARWAT,Rural,Cement / Iron Sheets,Roof,19,,
FR LAKKI MARWAT,Rural,Garder / T.Iron,Roof,916,3,19
FR LAKKI MARWAT,Rural,Wood / Bamboo,Roof,2151,4,22
FR LAKKI MARWAT,Rural,Others,Roof,133,,15
FR LAKKI MARWAT,Urban,Baked Bricks / Blocks / Stone,Wall,,,
FR LAKKI MARWAT,Urban,Unbaked Bricks / Mud,Wall,,,
FR LAKKI MARWAT,Urban,Wood / Bamboo,Wall,,,
FR LAKKI MARWAT,Urban,Others,Wall,,,
FR LAKKI MARWAT,Urban,Rcc / Rbc,Roof,,,
FR LAKKI MARWAT,Urban,Cement / Iron Sheets,Roof,,,
FR LAKKI MARWAT,Urban,Garder / T.Iron,Roof,,,
FR LAKKI MARWAT,Urban,Wood / Bamboo,Roof,,,
FR LAKKI MARWAT,Urban,Others,Roof,,,
FR PESHAWAR,Rural,Baked Bricks / Blocks / Stone,Wall,3863,7,53
FR PESHAWAR,Rural,Unbaked Bricks / Mud,Wall,2817,5,61
FR PESHAWAR,Rural,Wood / Bamboo,Wall,96,,10
FR PESHAWAR,Rural,Others,Wall,158,,4
FR PESHAWAR,Rural,Rcc / Rbc,Roof,575,,7
FR PESHAWAR,Rural,Cement / Iron Sheets,Roof,118,,
FR PESHAWAR,Rural,Garder / T.Iron,Roof,3834,10,53
FR PESHAWAR,Rural,Wood / Bamboo,Roof,2257,2,65
FR PESHAWAR,Rural,Others,Roof,150,,3
FR PESHAWAR,Urban,Baked Bricks / Blocks / Stone,Wall,,,
FR PESHAWAR,Urban,Unbaked Bricks / Mud,Wall,,,
FR PESHAWAR,Urban,Wood / Bamboo,Wall,,,
FR PESHAWAR,Urban,Others,Wall,,,
FR PESHAWAR,Urban,Rcc / Rbc,Roof,,,
FR PESHAWAR,Urban,Cement / Iron Sheets,Roof,,,
FR PESHAWAR,Urban,Garder / T.Iron,Roof,,,
FR PESHAWAR,Urban,Wood / Bamboo,Roof,,,
FR PESHAWAR,Urban,Others,Roof,,,
FR TANK,Rural,Baked Bricks / Blocks / Stone,Wall,1149,12,37
FR TANK,Rural,Unbaked Bricks / Mud,Wall,2332,49,21
FR TANK,Rural,Wood / Bamboo,Wall,354,1,3
FR TANK,Rural,Others,Wall,153,2,3
FR TANK,Rural,Rcc / Rbc,Roof,49,,26
FR TANK,Rural,Cement / Iron Sheets,Roof,62,,
FR TANK,Rural,Garder / T.Iron,Roof,1459,43,15
FR TANK,Rural,Wood / Bamboo,Roof,2266,19,20
FR TANK,Rural,Others,Roof,152,2,3
FR TANK,Urban,Baked Bricks / Blocks / Stone,Wall,,,
FR TANK,Urban,Unbaked Bricks / Mud,Wall,,,
FR TANK,Urban,Wood / Bamboo,Wall,,,
FR TANK,Urban,Others,Wall,,,
FR TANK,Urban,Rcc / Rbc,Roof,,,
FR TANK,Urban,Cement / Iron Sheets,Roof,,,
FR TANK,Urban,Garder / T.Iron,Roof,,,
FR TANK,Urban,Wood / Bamboo,Roof,,,
FR TANK,Urban,Others,Roof,,,
GHOTKI DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,109215,832,1898
GHOTKI DISTRICT,Rural,Unbaked Bricks / Mud,Wall,67645,401,4819
GHOTKI DISTRICT,Rural,Wood / Bamboo,Wall,29635,307,4959
GHOTKI DISTRICT,Rural,Others,Wall,4479,36,1523
GHOTKI DISTRICT,Rural,Rcc / Rbc,Roof,2768,281,141
GHOTKI DISTRICT,Rural,Cement / Iron Sheets,Roof,3193,32,106
GHOTKI DISTRICT,Rural,Garder / T.Iron,Roof,116636,610,2187
GHOTKI DISTRICT,Rural,Wood / Bamboo,Roof,83749,621,9677
GHOTKI DISTRICT,Rural,Others,Roof,4628,32,1088
GHOTKI DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,42737,8378,867
GHOTKI DISTRICT,Urban,Unbaked Bricks / Mud,Wall,5716,500,346
GHOTKI DISTRICT,Urban,Wood / Bamboo,Wall,1953,154,653
GHOTKI DISTRICT,Urban,Others,Wall,393,66,429
GHOTKI DISTRICT,Urban,Rcc / Rbc,Roof,4010,2046,139
GHOTKI DISTRICT,Urban,Cement / Iron Sheets,Roof,1875,366,18
GHOTKI DISTRICT,Urban,Garder / T.Iron,Roof,37892,6182,719
GHOTKI DISTRICT,Urban,Wood / Bamboo,Roof,6676,436,1041
GHOTKI DISTRICT,Urban,Others,Roof,346,68,378
GUJRANWALA DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,259836,12025,12282
GUJRANWALA DISTRICT,Rural,Unbaked Bricks / Mud,Wall,8372,589,938
GUJRANWALA DISTRICT,Rural,Wood / Bamboo,Wall,1301,107,214
GUJRANWALA DISTRICT,Rural,Others,Wall,3467,157,374
GUJRANWALA DISTRICT,Rural,Rcc / Rbc,Roof,112563,5495,3450
GUJRANWALA DISTRICT,Rural,Cement / Iron Sheets,Roof,18459,870,1129
GUJRANWALA DISTRICT,Rural,Garder / T.Iron,Roof,42719,1639,2508
GUJRANWALA DISTRICT,Rural,Wood / Bamboo,Roof,95039,4680,6255
GUJRANWALA DISTRICT,Rural,Others,Roof,4196,194,466
GUJRANWALA DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,348721,69001,13009
GUJRANWALA DISTRICT,Urban,Unbaked Bricks / Mud,Wall,5857,1581,419
GUJRANWALA DISTRICT,Urban,Wood / Bamboo,Wall,1375,394,276
GUJRANWALA DISTRICT,Urban,Others,Wall,3830,799,333
GUJRANWALA DISTRICT,Urban,Rcc / Rbc,Roof,275026,52473,9281
GUJRANWALA DISTRICT,Urban,Cement / Iron Sheets,Roof,29475,5692,1069
GUJRANWALA DISTRICT,Urban,Garder / T.Iron,Roof,14046,3764,1050
GUJRANWALA DISTRICT,Urban,Wood / Bamboo,Roof,36763,8927,2288
GUJRANWALA DISTRICT,Urban,Others,Roof,4473,919,349
GUJRAT DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,272024,8264,12368
GUJRAT DISTRICT,Rural,Unbaked Bricks / Mud,Wall,7188,422,923
GUJRAT DISTRICT,Rural,Wood / Bamboo,Wall,1647,180,457
GUJRAT DISTRICT,Rural,Others,Wall,1385,81,248
GUJRAT DISTRICT,Rural,Rcc / Rbc,Roof,113255,3500,3572
GUJRAT DISTRICT,Rural,Cement / Iron Sheets,Roof,30028,917,1668
GUJRAT DISTRICT,Rural,Garder / T.Iron,Roof,79770,2724,4087
GUJRAT DISTRICT,Rural,Wood / Bamboo,Roof,56038,1646,4225
GUJRAT DISTRICT,Rural,Others,Roof,3153,160,444
GUJRAT DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,93806,27244,4955
GUJRAT DISTRICT,Urban,Unbaked Bricks / Mud,Wall,2029,926,195
GUJRAT DISTRICT,Urban,Wood / Bamboo,Wall,790,355,317
GUJRAT DISTRICT,Urban,Others,Wall,630,217,301
GUJRAT DISTRICT,Urban,Rcc / Rbc,Roof,70405,19749,3240
GUJRAT DISTRICT,Urban,Cement / Iron Sheets,Roof,5391,1650,319
GUJRAT DISTRICT,Urban,Garder / T.Iron,Roof,10722,3937,723
GUJRAT DISTRICT,Urban,Wood / Bamboo,Roof,9787,3033,1170
GUJRAT DISTRICT,Urban,Others,Roof,950,373,316
GWADAR DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,6900,126,44
GWADAR DISTRICT,Rural,Unbaked Bricks / Mud,Wall,4513,51,17
GWADAR DISTRICT,Rural,Wood / Bamboo,Wall,4865,9,9
GWADAR DISTRICT,Rural,Others,Wall,479,3,
GWADAR DISTRICT,Rural,Rcc / Rbc,Roof,245,6,10
GWADAR DISTRICT,Rural,Cement / Iron Sheets,Roof,281,2,5
GWADAR DISTRICT,Rural,Garder / T.Iron,Roof,6484,112,23
GWADAR DISTRICT,Rural,Wood / Bamboo,Roof,9494,66,32
GWADAR DISTRICT,Rural,Others,Roof,253,3,
GWADAR DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,14727,1282,317
GWADAR DISTRICT,Urban,Unbaked Bricks / Mud,Wall,3347,261,58
GWADAR DISTRICT,Urban,Wood / Bamboo,Wall,1624,46,44
GWADAR DISTRICT,Urban,Others,Wall,413,48,11
GWADAR DISTRICT,Urban,Rcc / Rbc,Roof,1277,144,121
GWADAR DISTRICT,Urban,Cement / Iron Sheets,Roof,1394,159,31
GWADAR DISTRICT,Urban,Garder / T.Iron,Roof,11603,962,191
GWADAR DISTRICT,Urban,Wood / Bamboo,Roof,5396,310,74
GWADAR DISTRICT,Urban,Others,Roof,441,62,13
HAFIZABAD DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,95140,1419,6577
HAFIZABAD DISTRICT,Rural,Unbaked Bricks / Mud,Wall,7000,119,1789
HAFIZABAD DISTRICT,Rural,Wood / Bamboo,Wall,387,12,60
HAFIZABAD DISTRICT,Rural,Others,Wall,1157,27,195
HAFIZABAD DISTRICT,Rural,Rcc / Rbc,Roof,13817,311,746
HAFIZABAD DISTRICT,Rural,Cement / Iron Sheets,Roof,6917,151,967
HAFIZABAD DISTRICT,Rural,Garder / T.Iron,Roof,47364,535,2269
HAFIZABAD DISTRICT,Rural,Wood / Bamboo,Roof,34038,544,4396
HAFIZABAD DISTRICT,Rural,Others,Roof,1548,36,243
HAFIZABAD DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,50652,5983,1860
HAFIZABAD DISTRICT,Urban,Unbaked Bricks / Mud,Wall,1369,181,105
HAFIZABAD DISTRICT,Urban,Wood / Bamboo,Wall,185,17,59
HAFIZABAD DISTRICT,Urban,Others,Wall,538,73,63
HAFIZABAD DISTRICT,Urban,Rcc / Rbc,Roof,18806,2174,527
HAFIZABAD DISTRICT,Urban,Cement / Iron Sheets,Roof,4691,477,205
HAFIZABAD DISTRICT,Urban,Garder / T.Iron,Roof,16980,1899,509
HAFIZABAD DISTRICT,Urban,Wood / Bamboo,Roof,11185,1575,719
HAFIZABAD DISTRICT,Urban,Others,Roof,1082,129,127
HANGU DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,21623,2445,1103
HANGU DISTRICT,Rural,Unbaked Bricks / Mud,Wall,7540,1462,748
HANGU DISTRICT,Rural,Wood / Bamboo,Wall,681,215,91
HANGU DISTRICT,Rural,Others,Wall,897,160,116
HANGU DISTRICT,Rural,Rcc / Rbc,Roof,6340,809,182
HANGU DISTRICT,Rural,Cement / Iron Sheets,Roof,926,121,30
HANGU DISTRICT,Rural,Garder / T.Iron,Roof,14772,1598,638
HANGU DISTRICT,Rural,Wood / Bamboo,Roof,7833,1633,1108
HANGU DISTRICT,Rural,Others,Roof,870,121,100
HANGU DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,4969,1993,271
HANGU DISTRICT,Urban,Unbaked Bricks / Mud,Wall,867,952,372
HANGU DISTRICT,Urban,Wood / Bamboo,Wall,86,153,16
HANGU DISTRICT,Urban,Others,Wall,84,68,28
HANGU DISTRICT,Urban,Rcc / Rbc,Roof,3394,1235,144
HANGU DISTRICT,Urban,Cement / Iron Sheets,Roof,406,139,9
HANGU DISTRICT,Urban,Garder / T.Iron,Roof,1466,798,135
HANGU DISTRICT,Urban,Wood / Bamboo,Roof,641,917,369
HANGU DISTRICT,Urban,Others,Roof,99,77,30
HARIPUR DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,111910,10633,4061
HARIPUR DISTRICT,Rural,Unbaked Bricks / Mud,Wall,8792,701,1375
HARIPUR DISTRICT,Rural,Wood / Bamboo,Wall,1149,143,340
HARIPUR DISTRICT,Rural,Others,Wall,1047,141,435
HARIPUR DISTRICT,Rural,Rcc / Rbc,Roof,75101,8511,2219
HARIPUR DISTRICT,Rural,Cement / Iron Sheets,Roof,11512,456,321
HARIPUR DISTRICT,Rural,Garder / T.Iron,Roof,19208,1170,837
HARIPUR DISTRICT,Rural,Wood / Bamboo,Roof,15817,1303,2401
HARIPUR DISTRICT,Rural,Others,Roof,1260,178,433
HARIPUR DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,13933,6120,649
HARIPUR DISTRICT,Urban,Unbaked Bricks / Mud,Wall,78,87,62
HARIPUR DISTRICT,Urban,Wood / Bamboo,Wall,18,14,13
HARIPUR DISTRICT,Urban,Others,Wall,62,44,32
HARIPUR DISTRICT,Urban,Rcc / Rbc,Roof,12817,5650,568
HARIPUR DISTRICT,Urban,Cement / Iron Sheets,Roof,699,268,42
HARIPUR DISTRICT,Urban,Garder / T.Iron,Roof,309,187,47
HARIPUR DISTRICT,Urban,Wood / Bamboo,Roof,200,114,66
HARIPUR DISTRICT,Urban,Others,Roof,66,46,33
HARNAI DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,936,30,45
HARNAI DISTRICT,Rural,Unbaked Bricks / Mud,Wall,7793,51,309
HARNAI DISTRICT,Rural,Wood / Bamboo,Wall,1424,10,453
HARNAI DISTRICT,Rural,Others,Wall,1373,16,316
HARNAI DISTRICT,Rural,Rcc / Rbc,Roof,114,18,12
HARNAI DISTRICT,Rural,Cement / Iron Sheets,Roof,149,2,10
HARNAI DISTRICT,Rural,Garder / T.Iron,Roof,1999,16,57
HARNAI DISTRICT,Rural,Wood / Bamboo,Roof,7941,56,747
HARNAI DISTRICT,Rural,Others,Roof,1323,15,297
HARNAI DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,756,282,514
HARNAI DISTRICT,Urban,Unbaked Bricks / Mud,Wall,1706,378,246
HARNAI DISTRICT,Urban,Wood / Bamboo,Wall,77,44,82
HARNAI DISTRICT,Urban,Others,Wall,87,3,63
HARNAI DISTRICT,Urban,Rcc / Rbc,Roof,103,133,125
HARNAI DISTRICT,Urban,Cement / Iron Sheets,Roof,60,7,9
HARNAI DISTRICT,Urban,Garder / T.Iron,Roof,1113,209,38
HARNAI DISTRICT,Urban,Wood / Bamboo,Roof,1301,339,693
HARNAI DISTRICT,Urban,Others,Roof,49,19,40
HYDERABAD DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,40699,614,1663
HYDERABAD DISTRICT,Rural,Unbaked Bricks / Mud,Wall,13103,111,4235
HYDERABAD DISTRICT,Rural,Wood / Bamboo,Wall,6103,72,3320
HYDERABAD DISTRICT,Rural,Others,Wall,1318,22,765
HYDERABAD DISTRICT,Rural,Rcc / Rbc,Roof,3238,129,170
HYDERABAD DISTRICT,Rural,Cement / Iron Sheets,Roof,1287,19,65
HYDERABAD DISTRICT,Rural,Garder / T.Iron,Roof,34433,465,989
HYDERABAD DISTRICT,Rural,Wood / Bamboo,Roof,21012,180,7966
HYDERABAD DISTRICT,Rural,Others,Roof,1253,26,793
HYDERABAD DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,237933,68810,31118
HYDERABAD DISTRICT,Urban,Unbaked Bricks / Mud,Wall,8012,1223,1314
HYDERABAD DISTRICT,Urban,Wood / Bamboo,Wall,5073,264,1611
HYDERABAD DISTRICT,Urban,Others,Wall,2295,561,372
HYDERABAD DISTRICT,Urban,Rcc / Rbc,Roof,189901,58387,27103
HYDERABAD DISTRICT,Urban,Cement / Iron Sheets,Roof,4008,1188,664
HYDERABAD DISTRICT,Urban,Garder / T.Iron,Roof,41819,9277,3323
HYDERABAD DISTRICT,Urban,Wood / Bamboo,Roof,15010,1333,2907
HYDERABAD DISTRICT,Urban,Others,Roof,2575,673,418
JACOBABAD DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,25519,982,2782
JACOBABAD DISTRICT,Rural,Unbaked Bricks / Mud,Wall,36313,683,10220
JACOBABAD DISTRICT,Rural,Wood / Bamboo,Wall,28694,562,10463
JACOBABAD DISTRICT,Rural,Others,Wall,5716,309,1830
JACOBABAD DISTRICT,Rural,Rcc / Rbc,Roof,1243,508,221
JACOBABAD DISTRICT,Rural,Cement / Iron Sheets,Roof,2624,59,380
JACOBABAD DISTRICT,Rural,Garder / T.Iron,Roof,18857,236,1342
JACOBABAD DISTRICT,Rural,Wood / Bamboo,Roof,69693,1486,21803
JACOBABAD DISTRICT,Rural,Others,Roof,3825,247,1549
JACOBABAD DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,30649,6362,2746
JACOBABAD DISTRICT,Urban,Unbaked Bricks / Mud,Wall,7065,1302,452
JACOBABAD DISTRICT,Urban,Wood / Bamboo,Wall,2257,259,381
JACOBABAD DISTRICT,Urban,Others,Wall,558,122,190
JACOBABAD DISTRICT,Urban,Rcc / Rbc,Roof,2200,595,244
JACOBABAD DISTRICT,Urban,Cement / Iron Sheets,Roof,1932,308,71
JACOBABAD DISTRICT,Urban,Garder / T.Iron,Roof,26948,5308,1887
JACOBABAD DISTRICT,Urban,Wood / Bamboo,Roof,8888,1700,1395
JACOBABAD DISTRICT,Urban,Others,Roof,561,134,172
JAFFARABAD DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,6574,49,1209
JAFFARABAD DISTRICT,Rural,Unbaked Bricks / Mud,Wall,18915,159,13905
JAFFARABAD DISTRICT,Rural,Wood / Bamboo,Wall,4724,65,3936
JAFFARABAD DISTRICT,Rural,Others,Wall,2364,62,2889
JAFFARABAD DISTRICT,Rural,Rcc / Rbc,Roof,350,13,72
JAFFARABAD DISTRICT,Rural,Cement / Iron Sheets,Roof,839,13,182
JAFFARABAD DISTRICT,Rural,Garder / T.Iron,Roof,7232,44,808
JAFFARABAD DISTRICT,Rural,Wood / Bamboo,Roof,22848,191,17933
JAFFARABAD DISTRICT,Rural,Others,Roof,1308,74,2944
JAFFARABAD DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,13204,2476,516
JAFFARABAD DISTRICT,Urban,Unbaked Bricks / Mud,Wall,3754,974,332
JAFFARABAD DISTRICT,Urban,Wood / Bamboo,Wall,565,104,340
JAFFARABAD DISTRICT,Urban,Others,Wall,170,38,110
JAFFARABAD DISTRICT,Urban,Rcc / Rbc,Roof,244,160,43
JAFFARABAD DISTRICT,Urban,Cement / Iron Sheets,Roof,672,97,54
JAFFARABAD DISTRICT,Urban,Garder / T.Iron,Roof,11682,2073,439
JAFFARABAD DISTRICT,Urban,Wood / Bamboo,Roof,4939,1216,641
JAFFARABAD DISTRICT,Urban,Others,Roof,156,46,121
JAMSHORO DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,42787,4868,1444
JAMSHORO DISTRICT,Rural,Unbaked Bricks / Mud,Wall,29523,189,775
JAMSHORO DISTRICT,Rural,Wood / Bamboo,Wall,17865,69,1476
JAMSHORO DISTRICT,Rural,Others,Wall,3188,110,270
JAMSHORO DISTRICT,Rural,Rcc / Rbc,Roof,5572,3549,939
JAMSHORO DISTRICT,Rural,Cement / Iron Sheets,Roof,3819,169,136
JAMSHORO DISTRICT,Rural,Garder / T.Iron,Roof,39523,1204,417
JAMSHORO DISTRICT,Rural,Wood / Bamboo,Roof,40962,190,2194
JAMSHORO DISTRICT,Rural,Others,Roof,3487,124,279
JAMSHORO DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,50403,10870,3278
JAMSHORO DISTRICT,Urban,Unbaked Bricks / Mud,Wall,6242,609,179
JAMSHORO DISTRICT,Urban,Wood / Bamboo,Wall,2381,226,413
JAMSHORO DISTRICT,Urban,Others,Wall,1127,188,171
JAMSHORO DISTRICT,Urban,Rcc / Rbc,Roof,12936,3770,2090
JAMSHORO DISTRICT,Urban,Cement / Iron Sheets,Roof,1993,370,44
JAMSHORO DISTRICT,Urban,Garder / T.Iron,Roof,38105,6892,1126
JAMSHORO DISTRICT,Urban,Wood / Bamboo,Roof,6270,701,639
JAMSHORO DISTRICT,Urban,Others,Roof,849,160,142
JHAL MAGSI DISTRICT,Rural,Baked Bricks / Blocks / Stone,Wall,743,6,24
JHAL MAGSI DISTRICT,Rural,Unbaked Bricks / Mud,Wall,18909,68,545
JHAL MAGSI DISTRICT,Rural,Wood / Bamboo,Wall,1711,8,75
JHAL MAGSI DISTRICT,Rural,Others,Wall,1467,4,58
JHAL MAGSI DISTRICT,Rural,Rcc / Rbc,Roof,87,,5
JHAL MAGSI DISTRICT,Rural,Cement / Iron Sheets,Roof,223,4,21
JHAL MAGSI DISTRICT,Rural,Garder / T.Iron,Roof,2023,13,17
JHAL MAGSI DISTRICT,Rural,Wood / Bamboo,Roof,19473,66,598
JHAL MAGSI DISTRICT,Rural,Others,Roof,1024,3,61
JHAL MAGSI DISTRICT,Urban,Baked Bricks / Blocks / Stone,Wall,59,7,12
JHAL MAGSI DISTRICT,Urban,Unbaked Bricks / Mud,Wall,818,37,8
JHAL MAGSI DISTRICT,Urban,Wood / Bamboo,Wall,286,10,
JHAL MAGSI DISTRICT,Urban,Others,Wall,4,,3
JHAL MAGSI DISTRICT,Urban,Rcc / Rbc,Roof,8,1,8
JHAL MAGSI DISTRICT,Urban,Cement / Iron Sheets,Roof,4,4,1
JHAL MAGSI DISTRICT,Urban,Garder / T.Iron,Roof,168,3,5
JHAL MAGSI DISTRICT,Urban,Wood / Bamboo,Roof,981,46,6
JHAL MAGSI DISTRICT,Urban,Others,Roof,6,,3
